|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1544.87        500.000       0.745113E-003   99.7677                 NaN  0.231523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.50        500.000       0.118098E-002   99.7493                 NaN  0.249529       0.186604E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.14        500.000                 NaN   99.2590                 NaN  0.704340       0.366613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.5074                 NaN  0.467919       0.247237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.41        500.000                 NaN   99.5094                 NaN  0.467938       0.226577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        500.000                 NaN   99.5145                 NaN  0.462554       0.229112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.68        500.000                 NaN   99.5155                 NaN  0.462096       0.224128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.31        500.000                 NaN   99.5237                 NaN  0.454446       0.218574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.95        500.000                 NaN   99.5046                 NaN  0.473734       0.216863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000                 NaN   99.5481                 NaN  0.433244       0.186514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        500.000                 NaN   99.5337                 NaN  0.446979       0.193284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.85        500.000                 NaN   99.5344                 NaN  0.444961       0.206444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.48        500.000                 NaN   99.5107                 NaN  0.467374       0.219272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        500.000                 NaN   99.5755                 NaN  0.408412       0.160798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000                 NaN   98.9983                 NaN  0.945568       0.561260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.39        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.02        500.000                 NaN   99.6671                 NaN  0.320868       0.120611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.65        500.000                 NaN   99.8563                 NaN  0.139148       0.458353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
