|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1544.87        500.000       0.117727E-002   99.7289                 NaN  0.269972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.50        500.000       0.186609E-002   99.7071                 NaN  0.291053       0.223120E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.14        500.000                 NaN   99.1352                 NaN  0.821072       0.437749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.4246                 NaN  0.545856       0.295441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.41        500.000                 NaN   99.4269                 NaN  0.546057       0.270880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        500.000                 NaN   99.4327                 NaN  0.539891       0.274016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.68        500.000                 NaN   99.4337                 NaN  0.539505       0.268150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.31        500.000                 NaN   99.4431                 NaN  0.530764       0.261625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.95        500.000                 NaN   99.4206                 NaN  0.553382       0.259718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000                 NaN   99.4715                 NaN  0.506208       0.223413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        500.000                 NaN   99.4544                 NaN  0.522445       0.231631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.85        500.000                 NaN   99.4549                 NaN  0.520323       0.247569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.48        500.000                 NaN   99.4270                 NaN  0.546688       0.262955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        500.000                 NaN   99.5029                 NaN  0.477798       0.192975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000                 NaN   98.8267                 NaN   1.10597       0.672837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.39        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.02        500.000                 NaN   99.6098                 NaN  0.375741       0.144928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.65        500.000                 NaN   99.8315                 NaN  0.162988       0.550894E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.29        500.000                 NaN   99.1307                 NaN  0.841011       0.282938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.4869                 NaN  0.496562       0.165874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.56        500.000                 NaN   99.4891                 NaN  0.493782       0.171188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        500.000                 NaN   99.4940                 NaN  0.489624       0.164029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.83        500.000                 NaN   99.4926                 NaN  0.493646       0.137136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000                 NaN   99.5023                 NaN  0.483425       0.143083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.10        500.000                 NaN   99.4986                 NaN  0.487555       0.138512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
