|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.194587E-001   99.9805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.973605E-003   99.3290       0.154627       0.515435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.966519E-003   99.2616       0.227079       0.510318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.197024E-003   98.5914        1.02264       0.271024                 NaN  0.396847E-001  0.750868E-001            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN   99.9622       0.121382E-001  0.256969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.816093E-003   99.2900       0.489977       0.219194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.834906E-003   99.2770       0.498970       0.223212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.787646E-003   99.2807       0.222493       0.496064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.754408E-003   99.2780       0.223186       0.498084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.706424E-003   99.2937       0.487040       0.218565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.673047E-003   99.2900       0.489997       0.219287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.661159E-003   99.2952       0.218765       0.485379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.615759E-003   99.2978       0.212404       0.486096                 NaN            NaN  0.304294E-002            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.510495E-003   99.3036       0.495572       0.175926                 NaN            NaN  0.243738E-001            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.488963E-003   99.3096       0.165401       0.494122                 NaN            NaN  0.303818E-001            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.443444E-003   99.3118       0.162408       0.493424                 NaN            NaN  0.319192E-001            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.456995E-003   99.2685       0.521880       0.179248                 NaN            NaN  0.298874E-001            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.376761E-003   99.3628       0.157474       0.454303                 NaN            NaN  0.250478E-001            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.284941E-003   99.3013       0.573283       0.301391E-001            NaN            NaN  0.950040E-001            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.223236E-003   99.3485       0.236581       0.414736                 NaN            NaN  0.154976E-005            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.389240E-003   99.2393       0.234656       0.525653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.298089E-003   99.4052       0.173078       0.414520                 NaN            NaN  0.685947E-002            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.267618E-003   99.3323       0.161505       0.477466                 NaN            NaN  0.284348E-001            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.265095E-003   99.3320       0.175585       0.472889                 NaN            NaN  0.192218E-001            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.233709E-003   99.3355       0.169071       0.472374                 NaN            NaN  0.228510E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.201224E-003   99.3324       0.476846       0.167680                 NaN            NaN  0.228533E-001            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.199351E-003   99.3439       0.170490       0.464523                 NaN            NaN  0.209246E-001            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00       0.165150E-003   99.3415       0.168460       0.468624                 NaN            NaN  0.212277E-001            NaN            NaN            NaN            NaN            NaN
  1429.15        2500.00                 NaN   99.1111       0.494480       0.203919                 NaN            NaN  0.750864E-001            NaN  0.115460                 NaN            NaN            NaN
  1427.99        2500.00       0.197029E-002   98.3039       0.322637       0.590385                 NaN            NaN  0.265599                 NaN  0.515491                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.3316       0.309244       0.588321                 NaN            NaN  0.264005                 NaN  0.506822                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.3505       0.298181       0.584899                 NaN            NaN  0.264832                 NaN  0.501614                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.3361       0.592536       0.294796                 NaN            NaN  0.270312                 NaN  0.506263                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.4219       0.271257       0.566108                 NaN            NaN  0.260159                 NaN  0.480599                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4116       0.571535       0.270488                 NaN            NaN  0.263314                 NaN  0.483099                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.4317       0.566539       0.261260                 NaN            NaN  0.263387                 NaN  0.477110                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.4470       0.252860       0.563400                 NaN            NaN  0.264080                 NaN  0.472621                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.4645       0.243528       0.560093                 NaN            NaN  0.264449                 NaN  0.467469                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.4851       0.235868       0.554598                 NaN            NaN  0.263162                 NaN  0.461296                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5014       0.551736       0.227040                 NaN            NaN  0.263493                 NaN  0.456340                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.5182       0.548401       0.218819                 NaN            NaN  0.263351                 NaN  0.451269                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.5350       0.545059       0.210355                 NaN            NaN  0.263224                 NaN  0.446324                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5509       0.540523       0.203049                 NaN            NaN  0.263830                 NaN  0.441708                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.5609       0.540306       0.196570                 NaN            NaN  0.263989                 NaN  0.438265                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.5897       0.532073       0.187615                 NaN            NaN  0.261326                 NaN  0.429312                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.5919       0.173492       0.537759                 NaN            NaN  0.266500                 NaN  0.430355                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6207       0.524621       0.177266                 NaN            NaN  0.258270                 NaN  0.419136                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6288       0.165343       0.525554                 NaN            NaN  0.262381                 NaN  0.417909                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.6435       0.158212       0.522857                 NaN            NaN  0.262148                 NaN  0.413331                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.6574       0.151814       0.520060                 NaN            NaN  0.261742                 NaN  0.409001                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.6706       0.144856       0.517312                 NaN            NaN  0.262139                 NaN  0.405133                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.6837       0.137979       0.516017                 NaN            NaN  0.261492                 NaN  0.400843                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.6948       0.512903       0.133355                 NaN            NaN  0.261381                 NaN  0.397542                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.7134       0.123561       0.510287                 NaN            NaN  0.261019                 NaN  0.391692                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7233       0.507776       0.119227                 NaN            NaN  0.260925                 NaN  0.388758                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.7323       0.112291       0.508018                 NaN            NaN  0.261374                 NaN  0.386038                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.6046       0.115266       0.563384                 NaN            NaN  0.291653                 NaN  0.425102                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9122       0.439238       0.905360E-001            NaN            NaN  0.227338                 NaN  0.330686                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7731       0.499299       0.946510E-001            NaN            NaN  0.259606                 NaN  0.373374                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   97.4164        1.04780       0.194675                 NaN            NaN  0.553327                 NaN  0.787760                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   99.9950                 NaN            NaN            NaN            NaN            NaN            NaN  0.502926E-002            NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.9881       0.665163E-001  0.421839                 NaN            NaN  0.219970                 NaN  0.303563                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8207       0.746771E-001  0.490432                 NaN            NaN  0.256171                 NaN  0.358013                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.8307       0.489582       0.669972E-001            NaN            NaN  0.257347                 NaN  0.355342                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.8409       0.609034E-001  0.489029                 NaN            NaN  0.256932                 NaN  0.352226                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.8528       0.486470       0.561488E-001            NaN            NaN  0.256256                 NaN  0.348301                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.8607       0.484855       0.523289E-001            NaN            NaN  0.256277                 NaN  0.345843                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.8717       0.484400       0.468821E-001            NaN            NaN  0.254900                 NaN  0.342081                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.8825       0.435045E-001  0.480861                 NaN            NaN  0.254356                 NaN  0.338760                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.8928       0.380851E-001  0.479865                 NaN            NaN  0.253756                 NaN  0.335523                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9020       0.479050       0.327270E-001            NaN            NaN  0.253462                 NaN  0.332744                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.9078       0.296650E-001  0.480126                 NaN            NaN  0.252368                 NaN  0.330082                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9219       0.475300       0.252985E-001            NaN            NaN  0.251350                 NaN  0.326126                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   98.9294       0.475057       0.203286E-001            NaN            NaN  0.251394                 NaN  0.323817                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   98.9405       0.183448E-001  0.471916                 NaN            NaN  0.249232                 NaN  0.320009                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   98.9472       0.471925       0.130039E-001            NaN            NaN  0.249834                 NaN  0.318040                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.4386       0.705445                 NaN            NaN            NaN  0.380066                 NaN  0.475910                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.5000       0.220065       0.179654E-001            NaN            NaN  0.114008                 NaN  0.147953                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   98.9742       0.266703E-002  0.467878                 NaN            NaN  0.246250                 NaN  0.308989                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   98.9832       0.465473       0.135618E-002            NaN            NaN  0.244106                 NaN  0.305885                 NaN            NaN            NaN
