|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.127363E-001   99.9873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.638091E-003   99.4166       0.133342       0.449427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.633723E-003   99.3588       0.195744       0.444811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.129659E-003   98.7786       0.892483       0.233926                 NaN  0.340422E-001  0.607988E-001            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN   99.9672       0.104463E-001  0.223660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.535849E-003   99.3842       0.426618       0.188681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.548488E-003   99.3731       0.434309       0.192058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.517726E-003   99.3765       0.191334       0.431611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.496097E-003   99.3745       0.191846       0.433207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.464836E-003   99.3883       0.423482       0.187803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.443071E-003   99.3854       0.425865       0.188317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.435489E-003   99.3901       0.187769       0.421675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.405785E-003   99.3928       0.182221       0.422133                 NaN            NaN  0.244256E-002            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.336591E-003   99.3991       0.430155       0.150839                 NaN            NaN  0.195465E-001            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.322513E-003   99.4048       0.141751       0.428747                 NaN            NaN  0.243496E-001            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.292653E-003   99.4071       0.139101       0.427982                 NaN            NaN  0.255585E-001            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.301713E-003   99.3699       0.452449       0.153457                 NaN            NaN  0.239094E-001            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.248870E-003   99.4513       0.134729       0.393651                 NaN            NaN  0.200218E-001            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.188228E-003   99.4017       0.496476       0.257674E-001            NaN            NaN  0.758312E-001            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.147604E-003   99.4386       0.202193       0.359053                 NaN            NaN  0.123673E-005            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.257510E-003   99.3444       0.200446       0.454897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.197299E-003   99.4880       0.147752       0.358542                 NaN            NaN  0.546494E-002            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.177223E-003   99.4265       0.137823       0.412868                 NaN            NaN  0.226399E-001            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.175650E-003   99.4261       0.149755       0.408710                 NaN            NaN  0.152918E-001            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.154946E-003   99.4295       0.144121       0.408097                 NaN            NaN  0.181642E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.133412E-003   99.4272       0.411680       0.142826                 NaN            NaN  0.181337E-001            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.132344E-003   99.4371       0.145172       0.400956                 NaN            NaN  0.166082E-001            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00       0.109638E-003   99.4355       0.143350       0.404259                 NaN            NaN  0.168276E-001            NaN            NaN            NaN            NaN            NaN
  1429.15        2500.00                 NaN   99.2185       0.426450       0.173456                 NaN            NaN  0.594862E-001            NaN  0.122085                 NaN            NaN            NaN
  1427.99        2500.00       0.130851E-002   98.4602       0.274312       0.508974                 NaN            NaN  0.210046                 NaN  0.545166                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.4862       0.262677       0.506791                 NaN            NaN  0.208509                 NaN  0.535811                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5045       0.253068       0.503477                 NaN            NaN  0.208844                 NaN  0.530122                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.4927       0.509645       0.249972                 NaN            NaN  0.212848                 NaN  0.534858                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.5719       0.229751       0.486401                 NaN            NaN  0.204440                 NaN  0.507531                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.5637       0.490791       0.228922                 NaN            NaN  0.206632                 NaN  0.509994                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.5833       0.486044       0.220909                 NaN            NaN  0.206302                 NaN  0.503477                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.5985       0.213581       0.482909                 NaN            NaN  0.206479                 NaN  0.498545                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6155       0.205507       0.479681                 NaN            NaN  0.206403                 NaN  0.492911                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.6353       0.198863       0.474570                 NaN            NaN  0.205040                 NaN  0.486199                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.6513       0.471702       0.191228                 NaN            NaN  0.204962                 NaN  0.480772                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.6677       0.468428       0.184121                 NaN            NaN  0.204487                 NaN  0.475225                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.6841       0.465188       0.176839                 NaN            NaN  0.204048                 NaN  0.469809                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6996       0.460954       0.170522                 NaN            NaN  0.204177                 NaN  0.464742                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7101       0.460189       0.164881                 NaN            NaN  0.203907                 NaN  0.460910                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7371       0.452810       0.157244                 NaN            NaN  0.201533                 NaN  0.451277                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7400       0.145268       0.457362                 NaN            NaN  0.205176                 NaN  0.452162                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.7674       0.445664       0.148265                 NaN            NaN  0.198473                 NaN  0.440157                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7758       0.138164       0.446058                 NaN            NaN  0.201301                 NaN  0.438655                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.7902       0.132084       0.443400                 NaN            NaN  0.200734                 NaN  0.433632                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8039       0.126592       0.440525                 NaN            NaN  0.200089                 NaN  0.428871                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8169       0.120671       0.437799                 NaN            NaN  0.200049                 NaN  0.424594                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.8299       0.114809       0.436216                 NaN            NaN  0.199200                 NaN  0.419878                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.8410       0.433151       0.110867                 NaN            NaN  0.198764                 NaN  0.416198                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.8589       0.102606       0.430543                 NaN            NaN  0.198145                 NaN  0.409848                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8688       0.428018       0.989057E-001            NaN            NaN  0.197729                 NaN  0.406555                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.8780       0.930465E-001  0.427767                 NaN            NaN  0.197749                 NaN  0.403486                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.7660       0.954065E-001  0.474130                 NaN            NaN  0.220355                 NaN  0.444106                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   99.0396       0.369059       0.748527E-001            NaN            NaN  0.171335                 NaN  0.345177                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9177       0.419164       0.781840E-001            NaN            NaN  0.195378                 NaN  0.389579                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   97.7230       0.878748       0.160688                 NaN            NaN  0.415296                 NaN  0.822236                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   99.9948                 NaN            NaN            NaN            NaN            NaN            NaN  0.523312E-002            NaN            NaN            NaN
  1390.98        2500.00                 NaN   99.1115       0.547562E-001  0.352968                 NaN            NaN  0.164631                 NaN  0.316101                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.9644       0.614290E-001  0.410073                 NaN            NaN  0.191440                 NaN  0.372651                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.9744       0.408924       0.550504E-001            NaN            NaN  0.191996                 NaN  0.369644                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9844       0.499913E-001  0.408045                 NaN            NaN  0.191362                 NaN  0.366175                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.9961       0.405468       0.460376E-001            NaN            NaN  0.190531                 NaN  0.361867                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.0042       0.403654       0.428536E-001            NaN            NaN  0.190197                 NaN  0.359086                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0151       0.402821       0.383506E-001            NaN            NaN  0.188823                 NaN  0.354952                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.0255       0.355525E-001  0.399510                 NaN            NaN  0.188118                 NaN  0.351277                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.0356       0.310893E-001  0.398238                 NaN            NaN  0.187337                 NaN  0.347693                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.0448       0.397120       0.266859E-001            NaN            NaN  0.186816                 NaN  0.344585                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.0511       0.241581E-001  0.397515                 NaN            NaN  0.185601                 NaN  0.341603                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.0644       0.393164       0.205830E-001            NaN            NaN  0.184602                 NaN  0.337280                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0720       0.392505       0.165210E-001            NaN            NaN  0.184289                 NaN  0.334665                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.0827       0.148927E-001  0.389510                 NaN            NaN  0.182414                 NaN  0.330504                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0896       0.389070       0.105450E-001            NaN            NaN  0.182534                 NaN  0.328244                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.6504       0.580999                 NaN            NaN            NaN  0.277644                 NaN  0.491006                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.5692       0.180893       0.145257E-001            NaN            NaN  0.829553E-001            NaN  0.152377                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.1162       0.215556E-002  0.384461                 NaN            NaN  0.178959                 NaN  0.318238                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.1249       0.382042       0.109490E-002            NaN            NaN  0.177138                 NaN  0.314819                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.1156       0.313993       0.120163                 NaN            NaN  0.140060                 NaN  0.310228                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.1401       0.374832                 NaN            NaN            NaN  0.175790                 NaN  0.309234                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.1494       0.372432                 NaN            NaN            NaN  0.172653                 NaN  0.305562                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.1161       0.290612       0.155078                 NaN            NaN  0.129594                 NaN  0.308633                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1807       0.361877                 NaN            NaN            NaN  0.165469                 NaN  0.291946                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.1705       0.364181                 NaN            NaN            NaN  0.168172                 NaN  0.297148                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1781       0.361342                 NaN            NaN            NaN  0.166528                 NaN  0.293987                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.1859       0.357729                 NaN            NaN            NaN  0.165223                 NaN  0.291177                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.1929       0.353831                 NaN            NaN            NaN  0.164695                 NaN  0.288613                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.3438       0.272703                 NaN            NaN            NaN  0.145349                 NaN  0.238146                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.0641       0.417596                 NaN            NaN            NaN  0.186660                 NaN  0.331634                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.2134       0.346506                 NaN            NaN            NaN  0.159716                 NaN  0.280410                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.2100       0.346279                 NaN            NaN            NaN  0.162034                 NaN  0.281677                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2342       0.341119                 NaN            NaN            NaN  0.153162                 NaN  0.271515                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.2333       0.341761                 NaN            NaN            NaN  0.152829                 NaN  0.272104                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.2401       0.338816                 NaN            NaN            NaN  0.151539                 NaN  0.269517                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.2458       0.337361                 NaN            NaN            NaN  0.149781                 NaN  0.267095                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.2531       0.334334                 NaN            NaN            NaN  0.148383                 NaN  0.264193                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.2578       0.334904                 NaN            NaN            NaN  0.145354                 NaN  0.261946                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.2634       0.332478                 NaN            NaN            NaN  0.144396                 NaN  0.259750                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.2706       0.330145                 NaN            NaN            NaN  0.142330                 NaN  0.256877                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.3243       0.302195                 NaN            NaN            NaN  0.133945                 NaN  0.239590                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.2355       0.350713                 NaN            NaN            NaN  0.146785                 NaN  0.267033                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.2881       0.324174                 NaN            NaN            NaN  0.137790                 NaN  0.249931                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.2934       0.324517                 NaN            NaN            NaN  0.134740                 NaN  0.247298                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2982       0.321499                 NaN            NaN            NaN  0.134663                 NaN  0.245666                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.3036       0.323217                 NaN            NaN            NaN  0.130151                 NaN  0.242989                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.3102       0.316404                 NaN            NaN            NaN  0.132419                 NaN  0.240933                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.3191       0.310206                 NaN            NaN            NaN  0.132180                 NaN  0.238476                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.3200       0.317319                 NaN            NaN            NaN  0.126529                 NaN  0.236105                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.3256       0.313864                 NaN            NaN            NaN  0.126182                 NaN  0.234341                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.3315       0.311431                 NaN            NaN            NaN  0.125123                 NaN  0.231979                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3364       0.310880                 NaN            NaN            NaN  0.122741                 NaN  0.230009                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.3425       0.304400                 NaN            NaN            NaN  0.124725                 NaN  0.228414                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.3459       0.309054                 NaN            NaN            NaN  0.119334                 NaN  0.225674                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.3480       0.311434                 NaN            NaN            NaN  0.116111                 NaN  0.224444                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.3562       0.305862                 NaN            NaN            NaN  0.116270                 NaN  0.221684                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.3598       0.305202                 NaN            NaN            NaN  0.114854                 NaN  0.220162                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.3645       0.304429                 NaN            NaN            NaN  0.112954                 NaN  0.218071                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.3675       0.306579                 NaN            NaN            NaN  0.109538                 NaN  0.216433                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3732       0.301970                 NaN            NaN            NaN  0.110272                 NaN  0.214541                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.3768       0.296771                 NaN            NaN            NaN  0.111978                 NaN  0.214424                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.3842       0.301470                 NaN            NaN            NaN  0.105297                 NaN  0.209064                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.3862       0.299378                 NaN            NaN            NaN  0.105399                 NaN  0.209070                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.3877       0.305187                 NaN            NaN            NaN  0.996146E-001            NaN  0.207470                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.3939       0.299727                 NaN            NaN            NaN  0.100825                 NaN  0.205569                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.3959       0.304179                 NaN            NaN            NaN  0.958753E-001            NaN  0.204062                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.3884       0.323216                 NaN            NaN            NaN  0.828697E-001            NaN  0.205515                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.4119       0.293597                 NaN            NaN            NaN  0.965880E-001            NaN  0.197884                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.4092       0.299383                 NaN            NaN            NaN  0.928078E-001            NaN  0.198614                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.4132       0.297732                 NaN            NaN            NaN  0.917128E-001            NaN  0.197316                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.4162       0.298508                 NaN            NaN            NaN  0.894772E-001            NaN  0.195864                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.4190       0.299924                 NaN            NaN            NaN  0.866803E-001            NaN  0.194412                 NaN            NaN            NaN
