|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1400.64        500.000        99.5785       0.272365                 NaN            NaN  0.613763E-005  0.149175                 NaN            NaN            NaN            NaN
  1399.64        500.000        98.9519       0.120949       0.608379                 NaN  0.131768E-005  0.318743                 NaN            NaN            NaN            NaN
  1398.63        500.000        99.9895       0.480410E-002  0.374544E-002            NaN  0.742959E-003            NaN  0.116985E-002            NaN            NaN            NaN
  1397.63        500.000        97.7037       0.713358       0.821650                 NaN  0.103505       0.657795                 NaN            NaN            NaN            NaN
  1396.62        500.000        98.8661       0.371573       0.331236                 NaN  0.100916       0.330182                 NaN            NaN            NaN            NaN
  1395.62        500.000        98.8790       0.325293       0.367824                 NaN  0.101341       0.326529                 NaN            NaN            NaN            NaN
  1394.62        500.000        98.8897       0.365621       0.319151                 NaN  0.102005       0.323541                 NaN            NaN            NaN            NaN
  1393.61        500.000        98.9031       0.361688       0.312861                 NaN  0.102480       0.319861                 NaN            NaN            NaN            NaN
  1392.61        500.000        98.9160       0.306975       0.358151                 NaN  0.102711       0.316200                 NaN            NaN            NaN            NaN
  1391.60        500.000        98.9193       0.359226       0.299417                 NaN  0.105709       0.316354                 NaN            NaN            NaN            NaN
  1390.60        500.000        98.9476       0.349506       0.294537                 NaN  0.101773       0.306569                 NaN            NaN            NaN            NaN
  1389.59        500.000        98.9430       0.288115       0.352401                 NaN  0.106975       0.309469                 NaN            NaN            NaN            NaN
  1388.59        500.000        98.9030       0.304500       0.364592                 NaN  0.108302       0.319638                 NaN            NaN            NaN            NaN
  1387.59        500.000        99.9071       0.310454E-001  0.250407E-001            NaN  0.958513E-002  0.272034E-001            NaN            NaN            NaN            NaN
  1386.58        500.000        98.1157       0.508739       0.630318                 NaN  0.194282       0.550966                 NaN            NaN            NaN            NaN
  1385.58        500.000        98.9929       0.337951       0.266987                 NaN  0.107208       0.294994                 NaN            NaN            NaN            NaN
  1384.57        500.000        98.9126       0.287160       0.366657                 NaN  0.115818       0.317807                 NaN            NaN            NaN            NaN
  1383.57        500.000        99.1060       0.233206       0.301605                 NaN  0.974461E-001  0.261769                 NaN            NaN            NaN            NaN
  1382.57        500.000        99.0251       0.329700       0.251818                 NaN  0.107758       0.285614                 NaN            NaN            NaN            NaN
  1381.56        500.000        99.0342       0.246142       0.328299                 NaN  0.108395       0.282995                 NaN            NaN            NaN            NaN
  1380.56        500.000        98.9049       0.373649       0.278617                 NaN  0.122385       0.320482                 NaN            NaN            NaN            NaN
  1379.55        500.000        99.1862       0.204301       0.277296                 NaN  0.936762E-001  0.238484                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.0597       0.307562       0.284279                 NaN  0.770409E-001  0.271371                 NaN            NaN            NaN            NaN
  1377.55        500.000        99.0760       0.175923       0.330187                 NaN  0.142444       0.275481                 NaN            NaN            NaN            NaN
  1376.54        500.000        98.9940       0.244812       0.345383                 NaN  0.120540       0.295222                 NaN            NaN            NaN            NaN
  1375.54        500.000        99.1787       0.197128       0.282838                 NaN  0.100225       0.241146                 NaN            NaN            NaN            NaN
  1374.53        500.000        99.0999       0.311156       0.213357                 NaN  0.111191       0.264412                 NaN            NaN            NaN            NaN
  1373.53        500.000        99.1106       0.321066       0.162036                 NaN  0.141055       0.265238                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.1156       0.293814       0.253424                 NaN  0.813884E-001  0.255754                 NaN            NaN            NaN            NaN
  1371.52        500.000        99.1215       0.306165       0.201207                 NaN  0.112724       0.258400                 NaN            NaN            NaN            NaN
  1370.52        500.000        99.1371       0.197458       0.300595                 NaN  0.111437       0.253434                 NaN            NaN            NaN            NaN
  1369.51        500.000        99.1423       0.300110       0.192843                 NaN  0.112565       0.252202                 NaN            NaN            NaN            NaN
  1368.51        500.000        99.1500       0.189455       0.297914                 NaN  0.112689       0.249913                 NaN            NaN            NaN            NaN
  1367.50        500.000        99.1580       0.185669       0.295934                 NaN  0.112781       0.247604                 NaN            NaN            NaN            NaN
  1366.50        500.000        99.1659       0.294242       0.181044                 NaN  0.113408       0.245393                 NaN            NaN            NaN            NaN
  1365.50        500.000        99.1735       0.178294       0.291883                 NaN  0.113225       0.243078                 NaN            NaN            NaN            NaN
  1364.49        500.000        99.1813       0.173701       0.290088                 NaN  0.113871       0.241033                 NaN            NaN            NaN            NaN
  1363.49        500.000        99.1890       0.287913       0.170872                 NaN  0.113632       0.238568                 NaN            NaN            NaN            NaN
  1362.48        500.000        99.1957       0.286793       0.166935                 NaN  0.113878       0.236670                 NaN            NaN            NaN            NaN
  1361.48        500.000        99.2027       0.284981       0.163144                 NaN  0.114404       0.234743                 NaN            NaN            NaN            NaN
  1360.48        500.000        99.2109       0.160459       0.282549                 NaN  0.113906       0.232196                 NaN            NaN            NaN            NaN
  1359.47        500.000        99.2171       0.281126       0.157155                 NaN  0.114210       0.230388                 NaN            NaN            NaN            NaN
  1358.47        500.000        99.2232       0.279772       0.151964                 NaN  0.115960       0.229092                 NaN            NaN            NaN            NaN
  1357.46        500.000        99.2336       0.152821       0.275476                 NaN  0.112886       0.225261                 NaN            NaN            NaN            NaN
  1356.46        500.000        99.2378       0.275774       0.147802                 NaN  0.114349       0.224287                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.2444       0.143585       0.273940                 NaN  0.115388       0.222689                 NaN            NaN            NaN            NaN
  1354.45        500.000        99.2525       0.271667       0.142374                 NaN  0.113692       0.219800                 NaN            NaN            NaN            NaN
  1353.45        500.000        98.6982       0.250932       0.474539                 NaN  0.194978       0.381307                 NaN            NaN            NaN            NaN
  1352.44        500.000        99.8205       0.671577E-001  0.275961E-001            NaN  0.313644E-001  0.534291E-001            NaN            NaN            NaN            NaN
  1351.44        500.000        99.2712       0.266684       0.133308                 NaN  0.114354       0.214439                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.2767       0.130750       0.265445                 NaN  0.114296       0.212792                 NaN            NaN            NaN            NaN
  1349.43        500.000        99.2830       0.264137       0.128120                 NaN  0.113944       0.210801                 NaN            NaN            NaN            NaN
  1348.43        500.000        99.2893       0.262188       0.125396                 NaN  0.114050       0.209082                 NaN            NaN            NaN            NaN
  1347.42        500.000        99.3010       0.259710       0.117900                 NaN  0.115291       0.206056                 NaN            NaN            NaN            NaN
  1346.42        500.000        99.2943       0.142015       0.255419                 NaN  0.102558       0.205756                 NaN            NaN            NaN            NaN
  1345.41        500.000        99.3074       0.262778       0.101830                 NaN  0.123226       0.204757                 NaN            NaN            NaN            NaN
  1344.41        500.000        99.3122       0.116745       0.255875                 NaN  0.113104       0.202076                 NaN            NaN            NaN            NaN
  1343.41        500.000        99.3480       0.244530       0.107481                 NaN  0.108362       0.191613                 NaN            NaN            NaN            NaN
  1342.40        500.000        99.2937       0.116822       0.264541                 NaN  0.117655       0.207298                 NaN            NaN            NaN            NaN
  1341.40        500.000        99.3297       0.251307       0.110267                 NaN  0.112008       0.196698                 NaN            NaN            NaN            NaN
  1340.39        500.000        99.3346       0.108241       0.250013                 NaN  0.111928       0.195226                 NaN            NaN            NaN            NaN
  1339.39        500.000        99.3400       0.105926       0.248653                 NaN  0.111811       0.193591                 NaN            NaN            NaN            NaN
  1338.39        500.000        99.3453       0.104154       0.247251                 NaN  0.111343       0.191916                 NaN            NaN            NaN            NaN
  1337.38        500.000        99.3500       0.101692       0.246251                 NaN  0.111508       0.190591                 NaN            NaN            NaN            NaN
  1336.38        500.000        99.3559       0.242812       0.105368                 NaN  0.107648       0.188274                 NaN            NaN            NaN            NaN
  1335.37        500.000        99.3607       0.243943       0.953959E-001            NaN  0.112554       0.187443                 NaN            NaN            NaN            NaN
  1334.37        500.000        99.3660       0.241387       0.975870E-001            NaN  0.109560       0.185474                 NaN            NaN            NaN            NaN
  1333.36        500.000        99.3688       0.240419       0.969914E-001            NaN  0.109198       0.184622                 NaN            NaN            NaN            NaN
  1332.36        500.000        99.3764       0.237146       0.969680E-001            NaN  0.107410       0.182026                 NaN            NaN            NaN            NaN
  1331.36        500.000        99.3797       0.937169E-001  0.237150                 NaN  0.108121       0.181297                 NaN            NaN            NaN            NaN
  1330.35        500.000        99.3857       0.235128       0.931830E-001            NaN  0.106831       0.179149                 NaN            NaN            NaN            NaN
  1329.35        500.000        99.3902       0.233495       0.912824E-001            NaN  0.107028       0.177990                 NaN            NaN            NaN            NaN
  1328.34        500.000        99.1079       0.350023       0.121119                 NaN  0.160379       0.260615                 NaN            NaN            NaN            NaN
  1327.34        500.000        99.6851       0.118360       0.537946E-001            NaN  0.519538E-001  0.907951E-001            NaN            NaN            NaN            NaN
  1326.34        500.000        99.4038       0.229343       0.883926E-001            NaN  0.104849       0.173578                 NaN            NaN            NaN            NaN
  1325.33        500.000        99.4083       0.878785E-001  0.227900                 NaN  0.103854       0.172068                 NaN            NaN            NaN            NaN
  1324.33        500.000        99.4127       0.869426E-001  0.226317                 NaN  0.103323       0.170728                 NaN            NaN            NaN            NaN
  1323.32        500.000        99.4174       0.224943       0.856109E-001            NaN  0.102767       0.169304                 NaN            NaN            NaN            NaN
  1322.32        500.000        99.4209       0.223758       0.858101E-001            NaN  0.101538       0.167956                 NaN            NaN            NaN            NaN
  1321.32        500.000        99.4255       0.845119E-001  0.222278                 NaN  0.101078       0.166600                 NaN            NaN            NaN            NaN
  1320.31        500.000        99.4296       0.835090E-001  0.221024                 NaN  0.100570       0.165284                 NaN            NaN            NaN            NaN
  1319.31        500.000        99.4348       0.219253       0.819448E-001            NaN  0.100132       0.163849                 NaN            NaN            NaN            NaN
  1318.30        500.000        99.4380       0.840511E-001  0.217659                 NaN  0.979276E-001  0.162331                 NaN            NaN            NaN            NaN
  1317.30        500.000        99.4421       0.833891E-001  0.216097                 NaN  0.973077E-001  0.161135                 NaN            NaN            NaN            NaN
  1316.29        500.000        99.4459       0.214929       0.827472E-001            NaN  0.965080E-001  0.159905                 NaN            NaN            NaN            NaN
  1315.29        500.000        99.4500       0.822559E-001  0.213308                 NaN  0.957885E-001  0.158612                 NaN            NaN            NaN            NaN
  1314.29        500.000        99.4539       0.824733E-001  0.211752                 NaN  0.945874E-001  0.157266                 NaN            NaN            NaN            NaN
  1313.28        500.000        99.4547       0.817424E-001  0.212890                 NaN  0.938765E-001  0.156768                 NaN            NaN            NaN            NaN
  1312.28        500.000        99.4628       0.830262E-001  0.207643                 NaN  0.921546E-001  0.154329                 NaN            NaN            NaN            NaN
  1311.27        500.000        99.4651       0.210318       0.751766E-001            NaN  0.952846E-001  0.154161                 NaN            NaN            NaN            NaN
