|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1400.64        500.000        99.6245       0.223846                 NaN            NaN  0.471269E-005  0.151650                 NaN            NaN            NaN            NaN
  1399.64        500.000        99.0749       0.100946       0.500032                 NaN  0.101066E-005  0.324163                 NaN            NaN            NaN            NaN
  1398.63        500.000        99.9916       0.400820E-002  0.307628E-002            NaN  0.570267E-003            NaN  0.735225E-003            NaN            NaN            NaN
  1397.63        500.000        97.9806       0.595420       0.675236                 NaN  0.793105E-001  0.669439                 NaN            NaN            NaN            NaN
  1396.62        500.000        99.0065       0.309458       0.271590                 NaN  0.771149E-001  0.335385                 NaN            NaN            NaN            NaN
  1395.62        500.000        99.0187       0.266451       0.306089                 NaN  0.773025E-001  0.331505                 NaN            NaN            NaN            NaN
  1394.62        500.000        99.0289       0.303963       0.261145                 NaN  0.777020E-001  0.328304                 NaN            NaN            NaN            NaN
  1393.61        500.000        99.0414       0.300495       0.255793                 NaN  0.779467E-001  0.324400                 NaN            NaN            NaN            NaN
  1392.61        500.000        99.0535       0.250731       0.297293                 NaN  0.780046E-001  0.320520                 NaN            NaN            NaN            NaN
  1391.60        500.000        99.0570       0.297894       0.244394                 NaN  0.801912E-001  0.320509                 NaN            NaN            NaN            NaN
  1390.60        500.000        99.0828       0.289615       0.240121                 NaN  0.770699E-001  0.310427                 NaN            NaN            NaN            NaN
  1389.59        500.000        99.0797       0.234580       0.291691                 NaN  0.808470E-001  0.313202                 NaN            NaN            NaN            NaN
  1388.59        500.000        99.0455       0.247792       0.301630                 NaN  0.817694E-001  0.323332                 NaN            NaN            NaN            NaN
  1387.59        500.000        99.9193       0.256475E-001  0.203442E-001            NaN  0.722345E-002  0.274810E-001            NaN            NaN            NaN            NaN
  1386.58        500.000        98.3614       0.413661       0.521202                 NaN  0.146418       0.557346                 NaN            NaN            NaN            NaN
  1385.58        500.000        99.1260       0.278886       0.216619                 NaN  0.805555E-001  0.297903                 NaN            NaN            NaN            NaN
  1384.57        500.000        99.0573       0.232744       0.302298                 NaN  0.869042E-001  0.320788                 NaN            NaN            NaN            NaN
  1383.57        500.000        99.2257       0.188827       0.248428                 NaN  0.730043E-001  0.264027                 NaN            NaN            NaN            NaN
  1382.57        500.000        99.1563       0.271391       0.203745                 NaN  0.806278E-001  0.287954                 NaN            NaN            NaN            NaN
  1381.56        500.000        99.1649       0.198959       0.269981                 NaN  0.809886E-001  0.285154                 NaN            NaN            NaN            NaN
  1380.56        500.000        99.0543       0.306884       0.224859                 NaN  0.911963E-001  0.322780                 NaN            NaN            NaN            NaN
  1379.55        500.000        99.2979       0.164781       0.227612                 NaN  0.697608E-001  0.239987                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.1883       0.252297       0.229104                 NaN  0.572971E-001  0.272984                 NaN            NaN            NaN            NaN
  1377.55        500.000        99.2050       0.141652       0.270620                 NaN  0.105784       0.276955                 NaN            NaN            NaN            NaN
  1376.54        500.000        99.1342       0.196933       0.282830                 NaN  0.893834E-001  0.296650                 NaN            NaN            NaN            NaN
  1375.54        500.000        99.2939       0.158398       0.231381                 NaN  0.741994E-001  0.242127                 NaN            NaN            NaN            NaN
  1374.53        500.000        99.2267       0.254381       0.171314                 NaN  0.822163E-001  0.265367                 NaN            NaN            NaN            NaN
  1373.53        500.000        99.2376       0.262230       0.129971                 NaN  0.104131       0.266036                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.2408       0.239763       0.203077                 NaN  0.599984E-001  0.256378                 NaN            NaN            NaN            NaN
  1371.52        500.000        99.2475       0.249619       0.161076                 NaN  0.829708E-001  0.258882                 NaN            NaN            NaN            NaN
  1370.52        500.000        99.2616       0.157911       0.244881                 NaN  0.819006E-001  0.253756                 NaN            NaN            NaN            NaN
  1369.51        500.000        99.2667       0.244261       0.154087                 NaN  0.826035E-001  0.252375                 NaN            NaN            NaN            NaN
  1368.51        500.000        99.2740       0.151230       0.242281                 NaN  0.825738E-001  0.249936                 NaN            NaN            NaN            NaN
  1367.50        500.000        99.2815       0.148056       0.240415                 NaN  0.825181E-001  0.247480                 NaN            NaN            NaN            NaN
  1366.50        500.000        99.2889       0.238849       0.144239                 NaN  0.828736E-001  0.245124                 NaN            NaN            NaN            NaN
  1365.50        500.000        99.2961       0.141912       0.236726                 NaN  0.825945E-001  0.242666                 NaN            NaN            NaN            NaN
  1364.49        500.000        99.3034       0.138123       0.235057                 NaN  0.829560E-001  0.240480                 NaN            NaN            NaN            NaN
  1363.49        500.000        99.3106       0.233098       0.135736                 NaN  0.826499E-001  0.237877                 NaN            NaN            NaN            NaN
  1362.48        500.000        99.3170       0.231964       0.132485                 NaN  0.827154E-001  0.235843                 NaN            NaN            NaN            NaN
  1361.48        500.000        99.3236       0.230292       0.129347                 NaN  0.829739E-001  0.233781                 NaN            NaN            NaN            NaN
