|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.136795E-001   88.2659        7.46155        3.72883       0.530019                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.376138E-003   99.4707       0.332691       0.175475       0.207942E-001            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.359366E-003   99.4731       0.175845       0.330509       0.201381E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.350326E-003   99.4732       0.176127       0.330533       0.197420E-001            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.337770E-003   99.4762       0.175096       0.328613       0.197193E-001            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.320194E-003   99.4769       0.327649       0.176567       0.185376E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.313165E-003   99.4782       0.326763       0.176380       0.183375E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00       0.526485E-003   99.0043       0.341033       0.624160       0.299553E-001            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.255389E-004   99.9542       0.100932E-001  0.298603E-001  0.583951E-002            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.278014E-003   99.4817       0.324223       0.176942       0.168769E-001            NaN            NaN            NaN            NaN
  1403.10        2500.00                 NaN   99.9452       0.156987E-001  0.391005E-001  0.223097E-005            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.621830E-003   99.0222       0.605556       0.339460       0.321726E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.255132E-003   99.4849       0.177458       0.321700       0.156686E-001            NaN            NaN            NaN            NaN
  1399.99        2500.00       0.254015E-003   99.4869       0.178240       0.319853       0.148034E-001            NaN            NaN            NaN            NaN
  1398.95        2500.00       0.252902E-003   99.4826       0.178593       0.323240       0.153117E-001            NaN            NaN            NaN            NaN
  1397.92        2500.00       0.183946E-003   99.4972       0.324873       0.133034       0.447517E-001            NaN            NaN            NaN            NaN
  1396.88        2500.00       0.181050E-003   99.4277       0.350409       0.221697                 NaN            NaN            NaN            NaN            NaN
  1395.84        2500.00       0.212667E-003   99.5466       0.277521       0.175691       0.932373E-005            NaN            NaN            NaN            NaN
  1394.81        2500.00       0.227910E-003   99.4898       0.315469       0.186556       0.798771E-002            NaN            NaN            NaN            NaN
  1393.77        2500.00       0.420397E-002   99.3777       0.311117       0.190268       0.505795E-001  0.661195E-001            NaN            NaN            NaN
  1392.74        2500.00                 NaN   98.8648       0.377119       0.213443       0.215832       0.328799                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.1037       0.297870       0.167050       0.171779       0.259600                 NaN            NaN            NaN
  1390.66        2500.00                 NaN   98.9961       0.184638       0.334242       0.194141       0.290895                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.0041       0.331964       0.181052       0.194317       0.288597                 NaN            NaN            NaN
  1388.59        2500.00                 NaN   99.0093       0.178115       0.330694       0.194980       0.286958                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.0208       0.327556       0.173350       0.194547       0.283765                 NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.0269       0.170736       0.326537       0.194268       0.281601                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.0353       0.166850       0.323646       0.194801       0.279426                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.0437       0.163887       0.321452       0.194218       0.276785                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.0493       0.319940       0.160280       0.195157       0.275275                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.0577       0.318211       0.156597       0.194751       0.272734                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.0654       0.154059       0.315837       0.194299       0.270371                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.0717       0.150606       0.314384       0.194790       0.268525                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.0778       0.312823       0.147122       0.195416       0.266831                 NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.0441       0.340950       0.144251       0.199583       0.271068                 NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.1332       0.278989       0.142230       0.189868       0.255704                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.0991       0.307069       0.138433       0.194949       0.260429                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.4289       0.840103E-001  0.195801       0.125744       0.165561                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   98.7879       0.184676       0.413758       0.264078       0.349612                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   98.1363       0.694553       0.237373       0.401682       0.530063                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.9957                 NaN            NaN  0.427689E-002            NaN            NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.2474       0.135986       0.213505       0.176759       0.226357                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.1364       0.297439       0.122050       0.194940       0.249200                 NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.1434       0.295228       0.119797       0.194502       0.247042                 NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.1489       0.293946       0.117155       0.194670       0.245339                 NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.1541       0.292779       0.114550       0.194694       0.243911                 NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.1613       0.112184       0.290784       0.194185       0.241527                 NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.1637       0.110151       0.290198       0.195117       0.240836                 NaN            NaN            NaN
  1363.72        2500.00                 NaN   99.1724       0.108493       0.287614       0.193473       0.238020                 NaN            NaN            NaN
  1362.68        2500.00                 NaN   99.1769       0.287029       0.105299       0.194127       0.236647                 NaN            NaN            NaN
  1361.65        2500.00                 NaN   99.1819       0.285119       0.103418       0.194236       0.235305                 NaN            NaN            NaN
  1360.61        2500.00                 NaN   99.1886       0.283424       0.101256       0.193517       0.233209                 NaN            NaN            NaN
  1359.58        2500.00                 NaN   99.1935       0.996333E-001  0.282241       0.193100       0.231515                 NaN            NaN            NaN
  1358.54        2500.00                 NaN   99.1977       0.972105E-001  0.281297       0.193505       0.230315                 NaN            NaN            NaN
  1357.50        2500.00                 NaN   99.2027       0.954877E-001  0.279961       0.193204       0.228672                 NaN            NaN            NaN
  1356.47        2500.00                 NaN   99.2089       0.938607E-001  0.277971       0.192585       0.226714                 NaN            NaN            NaN
  1355.43        2500.00                 NaN   99.2133       0.277139       0.918046E-001  0.192426       0.225367                 NaN            NaN            NaN
  1354.39        2500.00                 NaN   99.2183       0.275791       0.902047E-001  0.191958       0.223717                 NaN            NaN            NaN
  1353.36        2500.00                 NaN   99.7631       0.638664E-001            NaN  0.104913       0.680987E-001            NaN            NaN            NaN
  1352.32        2500.00                 NaN   98.6840       0.483828       0.178806       0.277866       0.375535                 NaN            NaN            NaN
  1351.29        2500.00                 NaN   99.2325       0.853311E-001  0.272153       0.190820       0.219183                 NaN            NaN            NaN
  1350.25        2500.00                 NaN   99.2370       0.269828       0.837764E-001  0.191134       0.218235                 NaN            NaN            NaN
  1349.21        2500.00                 NaN   99.2413       0.813594E-001  0.270645       0.190492       0.216213                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.2468       0.268061       0.817621E-001  0.188941       0.214435                 NaN            NaN            NaN
  1347.14        2500.00                 NaN   99.2504       0.791859E-001  0.267273       0.189648       0.213536                 NaN            NaN            NaN
  1346.10        2500.00                 NaN   99.2556       0.265830       0.785801E-001  0.188322       0.211675                 NaN            NaN            NaN
  1345.07        2500.00                 NaN   99.2590       0.772196E-001  0.264837       0.188313       0.210586                 NaN            NaN            NaN
  1344.03        2500.00                 NaN   99.2639       0.754006E-001  0.263337       0.188037       0.209325                 NaN            NaN            NaN
  1343.00        2500.00                 NaN   99.1603       0.300268       0.866127E-001  0.214547       0.238242                 NaN            NaN            NaN
  1341.96        2500.00                 NaN   99.3798       0.223596       0.606913E-001  0.160022       0.175919                 NaN            NaN            NaN
  1340.92        2500.00                 NaN   99.2766       0.747463E-001  0.259804       0.184390       0.204429                 NaN            NaN            NaN
  1339.89        2500.00                 NaN   99.2794       0.259593       0.720681E-001  0.185220       0.203718                 NaN            NaN            NaN
  1338.85        2500.00                 NaN   99.2848       0.257928       0.705418E-001  0.184571       0.202128                 NaN            NaN            NaN
  1337.81        2500.00                 NaN   99.2881       0.698734E-001  0.257044       0.184010       0.200939                 NaN            NaN            NaN
  1336.78        2500.00       0.224993E-001   99.2638       0.105924       0.256854       0.150289       0.200610                 NaN            NaN            NaN
  1335.74        2500.00       0.604564E-001   99.2161       0.164113       0.263430       0.944253E-001  0.201503                 NaN            NaN            NaN
  1334.71        2500.00       0.738903E-001   99.2007       0.267547       0.184031       0.730257E-001  0.200805                 NaN            NaN            NaN
  1333.67        2500.00       0.921559E-001   99.1771       0.275513       0.210229       0.444269E-001  0.200561                 NaN            NaN            NaN
  1332.63        2500.00       0.107510        99.1586       0.233710       0.281517       0.188859E-001  0.199776                 NaN            NaN            NaN
  1331.60        2500.00       0.120590        99.1433       0.247261       0.288084       0.112581E-002  0.199629                 NaN            NaN            NaN
  1330.56        2500.00       0.128617        99.1350       0.295540       0.240134                 NaN  0.200667                 NaN            NaN            NaN
  1329.52        2500.00       0.137261        99.1249       0.305845       0.229906                 NaN  0.202046                 NaN            NaN            NaN
  1328.49        2500.00       0.139424        99.1274       0.225124       0.306629                 NaN  0.201382                 NaN            NaN            NaN
  1327.45        2500.00       0.142568        99.1275       0.219231       0.309652                 NaN  0.201060                 NaN            NaN            NaN
  1326.42        2500.00       0.143593        99.1317       0.309501       0.215170                 NaN  0.200083                 NaN            NaN            NaN
  1325.38        2500.00       0.144405        99.1362       0.211021       0.309380                 NaN  0.198957                 NaN            NaN            NaN
  1324.34        2500.00       0.144871        99.1412       0.309022       0.207095                 NaN  0.197811                 NaN            NaN            NaN
  1323.31        2500.00       0.144194        99.1482       0.306527       0.204756                 NaN  0.196356                 NaN            NaN            NaN
