|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.176820E-001   95.2056        1.59332        3.18344                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.478274E-003   99.4808       0.341409       0.177328                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.458655E-003   99.4851       0.175929       0.338481                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.447812E-003   99.4880       0.336688       0.174886                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.423457E-003   99.4911       0.334738       0.173773                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.406730E-003   99.4937       0.333151       0.172742                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.390240E-003   99.4969       0.171576       0.331109                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.367347E-003   99.5001       0.328964       0.170522                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   98.5828       0.544325       0.430456                 NaN  0.442463                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.5990       0.540246       0.407181                 NaN  0.453592                 NaN            NaN            NaN            NaN
  1415.60        500.000                 NaN   98.5765       0.413815       0.548852                 NaN  0.460825                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.5945       0.408713       0.541725                 NaN  0.455028                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.5342       0.428273       0.563110                 NaN  0.474444                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.7146       0.495176       0.373972                 NaN  0.416204       0.401595E-005            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.6523       0.518956       0.392284                 NaN  0.436496                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.6708       0.385713       0.512889                 NaN  0.430647                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.6037       0.537656       0.406228                 NaN  0.452426       0.122252E-004            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.7929       0.351247       0.464900                 NaN  0.390985                 NaN            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.7240       0.371134       0.491354                 NaN  0.413556                 NaN            NaN            NaN            NaN
  1405.98        500.000                 NaN   98.7398       0.366365       0.485464                 NaN  0.408338                 NaN            NaN            NaN            NaN
  1404.91        500.000       0.255634E-003   98.6038       0.405124       0.533453                 NaN  0.453898       0.347895E-002            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.9299       0.310927       0.411858                 NaN  0.346929       0.347892E-003            NaN            NaN            NaN
  1402.78        500.000                 NaN   98.7972       0.396559       0.295918                 NaN  0.410128       0.100224                 NaN            NaN            NaN
  1401.71        500.000                 NaN   98.8124       0.293501       0.391049                 NaN  0.404831       0.981742E-001            NaN            NaN            NaN
