|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.274929E-001   94.3728        1.88470        3.71506                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.749440E-003   99.3859       0.401766       0.211548                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.718467E-003   99.3908       0.209972       0.398469                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.701335E-003   99.3939       0.396531       0.208847                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.663069E-003   99.3973       0.394414       0.207640                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.636708E-003   99.4001       0.392714       0.206518                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.610720E-003   99.4037       0.205242       0.390487                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.574766E-003   99.4072       0.388122       0.204085                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   98.4121       0.651496       0.507808                 NaN  0.428606                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.4326       0.647227       0.480670                 NaN  0.439538                 NaN            NaN            NaN            NaN
  1415.60        500.000                 NaN   98.4064       0.488895       0.658032                 NaN  0.446670                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.4255       0.483222       0.650092                 NaN  0.441197                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.3569       0.506723       0.676209                 NaN  0.460143                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.5579       0.595358       0.442864                 NaN  0.403868       0.517987E-005            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.4870       0.624432       0.464870                 NaN  0.423664                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.5068       0.457393       0.617697                 NaN  0.418134                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.4305       0.647999       0.482120                 NaN  0.439401       0.158297E-004            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.6419       0.417237       0.560965                 NaN  0.379938                 NaN            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.5636       0.441128       0.593319                 NaN  0.401974                 NaN            NaN            NaN            NaN
  1405.98        500.000                 NaN   98.5803       0.435861       0.586761                 NaN  0.397047                 NaN            NaN            NaN            NaN
  1404.91        500.000       0.402823E-003   98.4262       0.482229       0.645157                 NaN  0.441449       0.452965E-002            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.7925       0.370551       0.498807                 NaN  0.337659       0.453982E-003            NaN            NaN            NaN
  1402.78        500.000                 NaN   98.6381       0.472922       0.358677                 NaN  0.399280       0.130976                 NaN            NaN            NaN
  1401.71        500.000                 NaN   98.6543       0.356126       0.466737                 NaN  0.394326       0.128523                 NaN            NaN            NaN
  1400.64        500.000                 NaN   98.7760       0.577810                 NaN            NaN  0.380094       0.266119                 NaN            NaN            NaN
  1399.57        500.000                 NaN   98.5851       0.347399       0.672552                 NaN  0.394993       0.347193E-005            NaN            NaN            NaN
  1398.50        500.000                 NaN   98.7020       0.452084       0.342687                 NaN  0.380060       0.123180                 NaN            NaN            NaN
  1397.43        500.000                 NaN   98.7192       0.449763       0.322337                 NaN  0.376493       0.132210                 NaN            NaN            NaN
  1396.37        500.000                 NaN   98.7377       0.446358       0.311820                 NaN  0.371060       0.133018                 NaN            NaN            NaN
  1395.30        500.000                 NaN   98.7484       0.444745       0.304716                 NaN  0.368011       0.134081                 NaN            NaN            NaN
  1394.23        500.000                 NaN   98.7574       0.443228       0.297874                 NaN  0.365878       0.135593                 NaN            NaN            NaN
  1393.16        500.000                 NaN   98.7778       0.282685       0.440355                 NaN  0.360398       0.138729                 NaN            NaN            NaN
  1392.09        500.000                 NaN   98.7988       0.428067       0.288053                 NaN  0.353073       0.131999                 NaN            NaN            NaN
  1391.02        500.000                 NaN   98.8061       0.430593       0.274303                 NaN  0.351795       0.137253                 NaN            NaN            NaN
