|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/K22/K22_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        96.2402        3.72010       0.397086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        96.2159        3.74437       0.397114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        96.1916        3.76864       0.397141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        96.1674        3.79292       0.397168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        96.1431        3.81720       0.397196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        96.1188        3.84149       0.397223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        96.0945        3.86577       0.397251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        96.0702        3.89006       0.397278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        96.0459        3.91436       0.397305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        96.0222        3.93802       0.397332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        95.9986        3.96168       0.397359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        95.9749        3.98535       0.397385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        95.9512        4.00902       0.397412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        95.9276        4.03269       0.397439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        95.9039        4.05636       0.397465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        95.8802        4.08004       0.397492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        95.8565        4.10372       0.397519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        95.8332        4.12700       0.397545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        95.8100        4.15028       0.397571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        95.5415        4.04632       0.394929E-001  0.372697                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        95.4158        4.18906       0.395210E-001  0.355649                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        94.6875        4.19436       0.390180E-001   1.07910                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        93.9593        4.19966       0.385149E-001   1.80256                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        93.2310        4.20495       0.380119E-001   2.52605                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        92.5027        4.21025       0.375088E-001   3.24956                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        91.8428        4.21054       0.370161E-001   3.90965                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        91.1829        4.21082       0.365235E-001   4.56973                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        90.5230        4.21111       0.360308E-001   5.22982                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        89.8632        4.21140       0.355381E-001   5.88991                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        89.2033        4.21168       0.350454E-001   6.55000                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        88.5434        4.21197       0.345527E-001   7.21009                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        87.8835        4.21226       0.340600E-001   7.87018                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        87.2236        4.21254       0.335673E-001   8.53027                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        86.6320        4.20557       0.330714E-001   9.12931                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        86.0405        4.19859       0.325755E-001   9.72834                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        85.4490        4.19161       0.320797E-001   10.3273                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        84.8575        4.18464       0.315838E-001   10.9263                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        84.2660        4.17766       0.310880E-001   11.5253                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        83.6745        4.17068       0.305922E-001   12.1242                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        83.0831        4.16371       0.300965E-001   12.7231                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        82.4917        4.15673       0.296007E-001   13.3220                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        81.9439        4.15036       0.291693E-001   13.8766                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        81.3865        4.13802       0.286653E-001   14.4448       0.201484E-002            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        80.8290        4.12356       0.281631E-001   15.0050       0.142588E-001            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        80.2716        4.10910       0.276609E-001   15.5651       0.265017E-001            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        79.7250        4.09163       0.271584E-001   16.1125       0.436973E-001            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        79.1785        4.07416       0.266559E-001   16.6598       0.608912E-001            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        78.6321        4.05670       0.261534E-001   17.2070       0.780833E-001            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        78.0857        4.03923       0.256510E-001   17.7541       0.952737E-001            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        77.5606        4.01578       0.251323E-001   18.2867       0.111732                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        77.0356        3.99233       0.246136E-001   18.8193       0.128189                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        76.5107        3.96888       0.240951E-001   19.3517       0.144643                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        75.9858        3.94543       0.235766E-001   19.8841       0.161095                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        75.4610        3.92199       0.230581E-001   20.4164       0.177545                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        74.9363        3.89855       0.225397E-001   20.9486       0.193992                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        74.4116        3.87511       0.220214E-001   21.4808       0.210438                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        73.8870        3.85168       0.215032E-001   22.0129       0.226881                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        73.3792        3.81976       0.209567E-001   22.5376       0.242492                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        72.8715        3.78785       0.204103E-001   23.0621       0.258101                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        72.3639        3.75594       0.198639E-001   23.5866       0.273707                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        71.8564        3.72404       0.193177E-001   24.1109       0.289310                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        71.3490        3.69214       0.187716E-001   24.6352       0.304911                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        70.8416        3.66025       0.182255E-001   25.1594       0.320508                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        70.3344        3.62836       0.176796E-001   25.6835       0.336103                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        69.8272        3.59648       0.171338E-001   26.2074       0.351694                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        69.3242        3.55506       0.165487E-001   26.7376       0.366571                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        68.8213        3.51364       0.159637E-001   27.2676       0.381445                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        68.3186        3.47224       0.153789E-001   27.7975       0.396315                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        67.8159        3.43084       0.147943E-001   28.3272       0.411181                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        67.3134        3.38946       0.142097E-001   28.8569       0.426044                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        66.8110        3.34808       0.136253E-001   29.3864       0.440903                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        66.3087        3.30672       0.130411E-001   29.9158       0.455759                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        65.8065        3.26536       0.124570E-001   30.4450       0.470611                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        65.2997        3.21359       0.118282E-001   30.9900       0.484917                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        64.7930        3.16184       0.111997E-001   31.5347       0.499218                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        64.2865        3.11010       0.105713E-001   32.0793       0.513515                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        63.7801        3.05838       0.994308E-002   32.6238       0.527808                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        63.2738        3.00667       0.931507E-002   33.1681       0.542096                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        62.7677        2.95497       0.868725E-002   33.7122       0.556381                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        62.2618        2.90330       0.805961E-002   34.2562       0.570661                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        61.7560        2.85163       0.743216E-002   34.8000       0.584936                 NaN            NaN            NaN            NaN            NaN
