|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/K22/K22_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        98.5000        1.48578       0.142353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        98.4902        1.49560       0.142370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        98.4803        1.50542       0.142387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        98.4705        1.51524       0.142403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        98.4607        1.52507       0.142420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        98.4509        1.53490       0.142437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        98.4410        1.54473       0.142454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        98.4312        1.55457       0.142470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        98.4213        1.56441       0.142487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        98.4118        1.57399       0.142504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.4022        1.58358       0.142520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.3926        1.59317       0.142537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.3830        1.60276       0.142553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.3734        1.61236       0.142570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.3638        1.62196       0.142586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.3542        1.63156       0.142603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.3446        1.64117       0.142619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.3351        1.65061       0.142636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.3257        1.66006       0.142652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.0155        1.61876       0.141724E-001  0.351584                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        97.9741        1.67620       0.141848E-001  0.335555                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        97.2890        1.67916       0.140108E-001   1.01778                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        96.6033        1.68213       0.138367E-001   1.70076                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        95.9167        1.68510       0.136624E-001   2.38449                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        95.2295        1.68806       0.134878E-001   3.06898                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.6059        1.68895       0.133163E-001   3.69183                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        93.9817        1.68983       0.131446E-001   4.31529                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        93.3570        1.69071       0.129727E-001   4.93935                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        92.7316        1.69159       0.128007E-001   5.56401                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        92.1056        1.69246       0.126284E-001   6.18927                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        91.4791        1.69334       0.124561E-001   6.81514                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        90.8519        1.69421       0.122836E-001   7.44159                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        90.2242        1.69508       0.121109E-001   8.06865                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        89.6603        1.69295       0.119363E-001   8.63482                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        89.0960        1.69082       0.117617E-001   9.20146                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        88.5312        1.68868       0.115869E-001   9.76855                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        87.9660        1.68654       0.114119E-001   10.3361                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        87.4003        1.68440       0.112369E-001   10.9041                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        86.8342        1.68225       0.110617E-001   11.4725                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        86.2676        1.68009       0.108863E-001   12.0414                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        85.7006        1.67794       0.107108E-001   12.6108                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        85.1748        1.67597       0.105582E-001   13.1386                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        84.6395        1.67161       0.103793E-001   13.6772       0.139473E-002            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        84.1054        1.66639       0.102009E-001   14.2081       0.986686E-002            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        83.5710        1.66117       0.100225E-001   14.7395       0.183457E-001            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        83.0472        1.65472       0.984370E-002   15.2580       0.302388E-001            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        82.5231        1.64826       0.966481E-002   15.7768       0.421410E-001            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        81.9987        1.64180       0.948580E-002   16.2960       0.540522E-001            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        81.4739        1.63533       0.930668E-002   16.8155       0.659723E-001            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        80.9685        1.62640       0.912135E-002   17.3187       0.773388E-001            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        80.4627        1.61746       0.893593E-002   17.8221       0.887131E-001            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        79.9567        1.60852       0.875039E-002   18.3259       0.100095                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        79.4504        1.59957       0.856476E-002   18.8300       0.111484                 NaN            NaN            NaN            NaN            NaN
