|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.8754       0.124586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.3928       0.321606       0.285609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.3145       0.410080       0.275451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.3257       0.271984       0.402287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3249       0.403170       0.271902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.8441       0.927197E-001  0.628034E-001  0.332153E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        98.8148       0.478039       0.707148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.3341       0.268148       0.397794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.3346       0.397574       0.267825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.8716       0.719909E-001  0.536745E-001  0.269146E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.8145       0.707600       0.477885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        99.3462       0.263131       0.390687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        99.3420       0.391527       0.265689       0.762785E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        99.3584       0.258339       0.383219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        99.3540       0.259524       0.386508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        99.3592       0.382522       0.258253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        99.3605       0.257690       0.381813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        99.3625       0.256227       0.381268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        99.3662       0.254816       0.378953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.93        500.000        99.3676       0.377890       0.254526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.87        500.000        99.2965       0.282750       0.420700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1400.81        500.000        99.4488       0.328767       0.222115       0.350278E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1399.75        500.000        99.0642       0.390204       0.400810                 NaN            NaN  0.144780                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.6296       0.584900       0.436236                 NaN            NaN  0.349267                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.6437       0.431768       0.579068                 NaN            NaN  0.345430                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.6568       0.428717       0.572819                 NaN            NaN  0.341669                 NaN            NaN            NaN            NaN
  1395.51        500.000        98.6708       0.572627       0.413023       0.572228E-002            NaN  0.337875                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.6967       0.415929       0.556579                 NaN            NaN  0.330815                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.7005       0.554809       0.414923                 NaN            NaN  0.329798                 NaN            NaN            NaN            NaN
  1392.33        500.000        98.7138       0.549546       0.410565                 NaN            NaN  0.326064                 NaN            NaN            NaN            NaN
  1391.27        500.000        98.7262       0.406820       0.544366                 NaN            NaN  0.322636                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.7404       0.538495       0.402451                 NaN            NaN  0.318695                 NaN            NaN            NaN            NaN
  1389.15        500.000        98.7451       0.384623       0.421334                 NaN            NaN  0.335227       0.113723                 NaN            NaN            NaN
  1388.09        500.000        98.7539       0.319594       0.427021                 NaN            NaN  0.339950       0.159583                 NaN            NaN            NaN
  1387.03        500.000        98.7664       0.312387       0.423872                 NaN            NaN  0.336662       0.160669                 NaN            NaN            NaN
  1385.97        500.000        98.7780       0.420662       0.305517                 NaN            NaN  0.333750       0.162064                 NaN            NaN            NaN
  1384.91        500.000        98.7906       0.417210       0.298845                 NaN            NaN  0.330363       0.162999                 NaN            NaN            NaN
  1383.85        500.000        98.8021       0.292247       0.413928                 NaN            NaN  0.327372       0.164318                 NaN            NaN            NaN
  1382.79        500.000        98.8134       0.410987       0.285615                 NaN            NaN  0.324450       0.165544                 NaN            NaN            NaN
  1381.73        500.000        98.8230       0.408599       0.279679                 NaN            NaN  0.321801       0.166918                 NaN            NaN            NaN
  1380.67        500.000        98.8348       0.272745       0.405270                 NaN            NaN  0.318930       0.168245                 NaN            NaN            NaN
  1379.61        500.000        98.8460       0.402158       0.267165                 NaN            NaN  0.315775       0.168883                 NaN            NaN            NaN
  1378.55        500.000        98.8551       0.260715       0.399838                 NaN            NaN  0.313631       0.170736                 NaN            NaN            NaN
  1377.48        500.000        98.8667       0.254616       0.396934                 NaN            NaN  0.310380       0.171362                 NaN            NaN            NaN
  1376.42        500.000        98.8769       0.393990       0.248537                 NaN            NaN  0.307835       0.172696                 NaN            NaN            NaN
  1375.36        500.000        98.8855       0.392015       0.242138                 NaN            NaN  0.305780       0.174590                 NaN            NaN            NaN
  1374.30        500.000        96.2900        1.34598       0.773838                 NaN            NaN   1.00852       0.581634                 NaN            NaN            NaN
  1373.24        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1372.18        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1371.12        500.000        99.3110       0.146595       0.243366                 NaN            NaN  0.187882       0.111128                 NaN            NaN            NaN
  1370.06        500.000        98.9347       0.377961       0.214932                 NaN            NaN  0.292719       0.179669                 NaN            NaN            NaN
  1369.00        500.000        98.9434       0.209973       0.376253                 NaN            NaN  0.290108       0.180312                 NaN            NaN            NaN
  1367.94        500.000        98.9522       0.373846       0.204783                 NaN            NaN  0.287852       0.181360                 NaN            NaN            NaN
  1366.88        500.000        98.9607       0.371643       0.199195                 NaN            NaN  0.285674       0.182765                 NaN            NaN            NaN
