|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.8933       0.106698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.4766       0.275485       0.247886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4083       0.355857       0.235850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4183       0.232776       0.348954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4178       0.349585       0.232592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.8659       0.803090E-001  0.536280E-001  0.212747E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        98.9780       0.408829       0.613177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.4264       0.229058       0.344553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.4271       0.344247       0.228665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.8902       0.622685E-001  0.457685E-001  0.172730E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.9795       0.612650       0.407894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        99.4378       0.224322       0.337877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        99.4347       0.338449       0.226392       0.490571E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        99.4488       0.220038       0.331180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        99.4452       0.220922       0.333925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        99.4499       0.330332       0.219726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        99.4513       0.219127       0.329586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        99.4533       0.217755       0.328969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        99.4566       0.216490       0.326891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.93        500.000        99.4581       0.325793       0.216084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.87        500.000        99.3975       0.239947       0.362581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1400.81        500.000        99.5282       0.283195       0.188371       0.225888E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1399.75        500.000        99.1716       0.330824       0.345201                 NaN            NaN  0.152416                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.7609       0.495732       0.375644                 NaN            NaN  0.367760                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.7742       0.371646       0.490480                 NaN            NaN  0.363698                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.7865       0.368827       0.484940                 NaN            NaN  0.359714                 NaN            NaN            NaN            NaN
  1395.51        500.000        98.8010       0.484440       0.355168       0.368475E-002            NaN  0.355696                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.8237       0.357510       0.470559                 NaN            NaN  0.348229                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.8276       0.468793       0.356491                 NaN            NaN  0.347135                 NaN            NaN            NaN            NaN
  1392.33        500.000        98.8402       0.464038       0.352575                 NaN            NaN  0.343178                 NaN            NaN            NaN            NaN
  1391.27        500.000        98.8519       0.349198       0.459383                 NaN            NaN  0.339541                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.8652       0.454141       0.345294                 NaN            NaN  0.335364                 NaN            NaN            NaN            NaN
  1389.15        500.000        98.8728       0.324142       0.361279                 NaN            NaN  0.352701       0.890325E-001            NaN            NaN            NaN
  1388.09        500.000        98.8826       0.269109       0.365912                 NaN            NaN  0.357586       0.124753                 NaN            NaN            NaN
  1387.03        500.000        98.8947       0.262843       0.363000                 NaN            NaN  0.354035       0.125419                 NaN            NaN            NaN
  1385.97        500.000        98.9059       0.360030       0.256867                 NaN            NaN  0.350880       0.126323                 NaN            NaN            NaN
  1384.91        500.000        98.9180       0.356826       0.251040                 NaN            NaN  0.347225       0.126880                 NaN            NaN            NaN
  1383.85        500.000        98.9292       0.245307       0.353793                 NaN            NaN  0.343985       0.127720                 NaN            NaN            NaN
  1382.79        500.000        98.9401       0.351048       0.239545                 NaN            NaN  0.340816       0.128494                 NaN            NaN            NaN
