|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1605.77        2500.00        99.6407       0.147085       0.212257                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.6644       0.295550       0.400671E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00        98.7220        1.12169       0.156283                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.2034       0.700294       0.963214E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00        99.1946       0.708896       0.964826E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2330       0.675065       0.919781E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00        99.2299       0.675769       0.943760E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00        99.2348       0.673415       0.918291E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00        99.2334       0.681674       0.849428E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.2581       0.645436       0.964872E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00        99.2547       0.656635       0.886570E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00        99.2632       0.649877       0.869522E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00        99.2692       0.644662       0.860974E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.7382       0.233154       0.286455E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00        98.8176        1.04198       0.140388                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00        99.2925       0.625134       0.824066E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00        99.2925       0.625111       0.824047E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.3043       0.615045       0.806206E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00        99.3071       0.613171       0.797145E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        99.3137       0.607824       0.784902E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00        99.2655       0.650028       0.844585E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00        99.7271       0.240424       0.324357E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00        98.9859       0.897629       0.116441                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00        99.3370       0.586372       0.766547E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00        99.2771       0.645595       0.773432E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.4134       0.520661       0.658953E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00        99.3519       0.577390       0.707024E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00        99.3589       0.570693       0.703807E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00        99.3588       0.570822       0.703729E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.3741       0.558526       0.674189E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00        99.3733       0.559692       0.669638E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00        99.3789       0.554609       0.664574E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00        99.3834       0.552072       0.644989E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.5885       0.370010       0.414658E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00        99.1874       0.729441       0.831835E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4014       0.535831       0.627858E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00        99.4020       0.535625       0.624210E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.4736       0.473237       0.531731E-001            NaN            NaN            NaN            NaN            NaN            NaN
