|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1605.77        2500.00        99.6900       0.129168       0.180848                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.7064       0.259531       0.341167E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00        98.8814       0.985441       0.133162                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.3033       0.614692       0.819807E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00        99.2960       0.621908       0.820803E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.3297       0.592132       0.782143E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00        99.3274       0.592449       0.801940E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00        99.3318       0.590212       0.779987E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00        99.3306       0.597301       0.721304E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.3529       0.565257       0.818657E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00        99.3499       0.574868       0.751983E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00        99.3575       0.568817       0.737191E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00        99.3630       0.564042       0.729451E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.7718       0.203915       0.242645E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00        98.9696       0.911547       0.118899                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00        99.3840       0.546340       0.696967E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00        99.3842       0.546101       0.696690E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.3948       0.537120       0.681234E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00        99.3973       0.535337       0.673427E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        99.4033       0.530478       0.662633E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00        99.3618       0.567027       0.712218E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00        99.7631       0.209593       0.273205E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00        99.1189       0.782891       0.981889E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00        99.4245       0.510946       0.645642E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00        99.3722       0.562644       0.651463E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.4912       0.453370       0.554526E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00        99.4379       0.502648       0.594638E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00        99.4441       0.496679       0.591787E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00        99.4443       0.496561       0.591401E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.4577       0.485708       0.566154E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00        99.4572       0.486579       0.562092E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00        99.4623       0.481945       0.557524E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00        99.4663       0.479649       0.540922E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.6439       0.321391       0.347490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00        99.2968       0.633467       0.697064E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4824       0.464994       0.525731E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00        99.4830       0.464746       0.522334E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.5451       0.410445       0.444688E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        99.4295       0.519582       0.509376E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00        99.4971       0.453760       0.491896E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00        99.4997       0.452724       0.475604E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.5025       0.451675       0.457973E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00        99.5077       0.445236       0.470334E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00        99.5102       0.444458       0.453554E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00        99.5151       0.439442       0.454829E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00        99.5167       0.440098       0.432308E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00        99.5220       0.433833       0.441706E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00        99.5263       0.431023       0.426298E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00        99.5286       0.430043       0.414046E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.7580       0.221568       0.204215E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00        99.3088       0.631356       0.598769E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00        99.5370       0.423898       0.391017E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00        99.4072       0.546026       0.467354E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00        99.6750       0.297802       0.272425E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00        99.5511       0.402166       0.467287E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00        99.2952       0.657298       0.475317E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00        99.8142       0.138443       0.473321E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        99.6098       0.369525       0.206915E-001            NaN            NaN            NaN            NaN            NaN            NaN
