|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1599.36        500.000        99.3007       0.699252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.1452       0.825761       0.290878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.1514       0.848588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.1605       0.821186       0.183579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.1754       0.765126       0.594263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.1785       0.821521       0.270059E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.1882       0.811845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.1986       0.801356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.2092       0.724348       0.664174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.2148       0.785239       0.105429E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.2184       0.781552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.2302       0.765085       0.474560E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.2199       0.777892       0.224604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.2672       0.732813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.2616       0.648073       0.903664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.2604       0.739579       0.114468E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.2662       0.733771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.2753       0.710389       0.142726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.2803       0.719731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.2852       0.714496       0.312309E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.2977       0.688077       0.142722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.3027       0.689919       0.734039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.3085       0.691456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3060       0.694032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.3302       0.649578       0.202516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.3274       0.672551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.3339       0.666135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.3388       0.658241       0.293199E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3429       0.657054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.3550       0.625735       0.192404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.3568       0.643197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.3679       0.568575       0.635192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.3736       0.626369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.3737       0.626261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.3811       0.609013       0.992626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.3873       0.587103       0.255533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.3894       0.610603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.3961       0.593852       0.100933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3988       0.601204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.4074       0.592625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.4094       0.590650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.4159       0.584144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.4181       0.581926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.4236       0.576443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.3685       0.631453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.6878       0.312153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.2386       0.761353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        99.4333       0.566664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.4540       0.526503       0.194900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.4544       0.545642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.4572       0.542805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.4604       0.539580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.4628       0.537150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.4677       0.532291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.4690       0.531011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.4780       0.522011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.4781       0.521881       0.578432E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.4874       0.512606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        99.4811       0.518918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.4915       0.508457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.4926       0.507389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.4964       0.503594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.4818       0.425217                 NaN  0.930009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.3794       0.392806E-002            NaN  0.616651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.3820                 NaN            NaN  0.617976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.3876       0.295264E-001            NaN  0.582858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.3821                 NaN            NaN  0.617941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.3891       0.496389E-001            NaN  0.561262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.3889       0.284764E-001            NaN  0.582608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.3897                 NaN            NaN  0.610338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.3880                 NaN            NaN  0.612031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.3909       0.134929E-002            NaN  0.607713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000        99.3897                 NaN            NaN  0.610324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.3893                 NaN            NaN  0.610686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.3889                 NaN            NaN  0.611083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.3869                 NaN            NaN  0.613116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        99.3851                 NaN            NaN  0.614898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.3796                 NaN            NaN  0.620363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.3681                 NaN            NaN  0.618215       0.136748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        99.0103                 NaN            NaN  0.434602       0.555066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        98.9874                 NaN            NaN  0.411316       0.601324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        98.9983                 NaN            NaN  0.595756       0.405934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        99.0139                 NaN            NaN  0.587131       0.398995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        99.0239                 NaN            NaN  0.394648       0.581473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.0349                 NaN            NaN  0.575512       0.389586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        99.0470                 NaN            NaN  0.384474       0.568560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        99.0538                 NaN            NaN  0.379917       0.566323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.0698                 NaN            NaN  0.375037       0.555154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        99.0826                 NaN            NaN  0.549100       0.368268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        99.0914                 NaN            NaN  0.364202       0.544444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        99.0997                 NaN            NaN  0.540728       0.359533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        99.1121                 NaN            NaN  0.533190       0.354662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        99.1211                 NaN            NaN  0.528694       0.350231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000        99.1308                 NaN            NaN  0.345700       0.523454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000        99.7517                 NaN            NaN  0.105305       0.143006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000        98.5390                 NaN            NaN  0.887271       0.573687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000        99.1599                 NaN            NaN  0.333049       0.507025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000        99.1688                 NaN            NaN  0.328735       0.502467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000        99.1769                 NaN            NaN  0.498308       0.324824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.1858                 NaN            NaN  0.493444       0.320734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.1949                 NaN            NaN  0.316988       0.488143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        500.000        99.2038                 NaN            NaN  0.483108       0.313042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000        99.2110                 NaN            NaN  0.479506       0.309452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000        99.2206                 NaN            NaN  0.305365       0.474048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000        98.3949                 NaN            NaN  0.637736       0.591051                 NaN            NaN  0.376264                 NaN            NaN            NaN            NaN
  1441.63        500.000        97.3542                 NaN            NaN   1.05651       0.732483                 NaN            NaN  0.856815                 NaN            NaN            NaN            NaN
  1440.13        500.000        97.4338                 NaN            NaN  0.711984        1.02272                 NaN            NaN  0.831549                 NaN            NaN            NaN            NaN
  1438.63        500.000        97.5019                 NaN            NaN  0.994542       0.693149                 NaN            NaN  0.810397                 NaN            NaN            NaN            NaN
  1437.13        500.000        97.5668                 NaN            NaN  0.675191       0.967778                 NaN            NaN  0.790260                 NaN            NaN            NaN            NaN
  1435.63        500.000        97.6358                 NaN            NaN  0.939478       0.656004                 NaN            NaN  0.768739                 NaN            NaN            NaN            NaN
  1434.12        500.000        97.6940                 NaN            NaN  0.640649       0.914889                 NaN            NaN  0.750462                 NaN            NaN            NaN            NaN
  1432.62        500.000        97.7543                 NaN            NaN  0.890736       0.623485                 NaN            NaN  0.731526                 NaN            NaN            NaN            NaN
  1431.12        500.000        97.5024                 NaN            NaN  0.754452       0.859341                 NaN            NaN  0.851925       0.318426E-001            NaN            NaN            NaN
  1429.62        500.000        97.5487                 NaN            NaN  0.748613       0.826423                 NaN            NaN  0.841259       0.349806E-001            NaN            NaN            NaN
  1428.11        500.000        97.6323                 NaN            NaN  0.723065       0.797845                 NaN            NaN  0.813267       0.335419E-001            NaN            NaN            NaN
  1426.61        500.000        97.7132                 NaN            NaN  0.698308       0.770624                 NaN            NaN  0.785765       0.321372E-001            NaN            NaN            NaN
  1425.11        500.000        97.7875                 NaN            NaN  0.675354       0.745553                 NaN            NaN  0.760733       0.308447E-001            NaN            NaN            NaN
  1423.61        500.000        97.8600                 NaN            NaN  0.652965       0.721183                 NaN            NaN  0.736210       0.296468E-001            NaN            NaN            NaN
  1422.11        500.000        97.9272                 NaN            NaN  0.698520       0.632414                 NaN            NaN  0.713365       0.284848E-001            NaN            NaN            NaN
  1420.60        500.000        97.9907                 NaN            NaN  0.677356       0.612701                 NaN            NaN  0.691888       0.273730E-001            NaN            NaN            NaN
  1419.10        500.000        98.0482                 NaN            NaN  0.594829       0.658005                 NaN            NaN  0.672489       0.264314E-001            NaN            NaN            NaN
  1417.60        500.000        98.1107                 NaN            NaN  0.575778       0.637076                 NaN            NaN  0.651142       0.253532E-001            NaN            NaN            NaN
  1416.10        500.000        98.1641                 NaN            NaN  0.559014       0.619395                 NaN            NaN  0.632931       0.245251E-001            NaN            NaN            NaN
  1414.59        500.000        98.2154                 NaN            NaN  0.601924       0.543555                 NaN            NaN  0.615554       0.236082E-001            NaN            NaN            NaN
  1413.09        500.000        98.2656                 NaN            NaN  0.585023       0.528316                 NaN            NaN  0.598320       0.227125E-001            NaN            NaN            NaN
  1411.59        500.000        98.3134                 NaN            NaN  0.513141       0.569636                 NaN            NaN  0.581964       0.218721E-001            NaN            NaN            NaN
  1410.09        500.000        98.3565                 NaN            NaN  0.554981       0.499859                 NaN            NaN  0.567482       0.211950E-001            NaN            NaN            NaN
  1408.59        500.000        98.4015                 NaN            NaN  0.540385       0.485839                 NaN            NaN  0.551885       0.204328E-001            NaN            NaN            NaN
