|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        San(TH)        q             
  1426.28        500.000        94.9796        1.69566        3.32472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.8647       0.884690E-001  0.468002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.0467       0.326143       0.627197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4608       0.354655       0.184564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4637       0.183399       0.352914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.4666       0.350841       0.182604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.4696       0.348858       0.181512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.4725       0.347024       0.180437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.4556       0.355083       0.188535                 NaN  0.760371E-003  0.168238E-005            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.1467       0.314714       0.366364                 NaN            NaN            NaN  0.172178                 NaN            NaN            NaN            NaN
  1415.60        500.000        98.5027       0.576280       0.442331                 NaN            NaN  0.130674E-005  0.478670                 NaN            NaN            NaN            NaN
  1414.53        500.000        98.5368       0.563012       0.433018                 NaN            NaN            NaN  0.467160                 NaN            NaN            NaN            NaN
  1413.46        500.000        98.5515       0.557232       0.428498                 NaN            NaN            NaN  0.462816                 NaN            NaN            NaN            NaN
  1412.39        500.000        98.5701       0.423324       0.549703                 NaN            NaN            NaN  0.456897                 NaN            NaN            NaN            NaN
  1411.32        500.000        98.5888       0.418045       0.542486                 NaN            NaN  0.984496E-006  0.450718                 NaN            NaN            NaN            NaN
  1410.25        500.000        98.6069       0.412797       0.535405                 NaN            NaN            NaN  0.444889                 NaN            NaN            NaN            NaN
  1409.19        500.000        98.4800       0.457493       0.555914                 NaN            NaN  0.170681E-001  0.489506                 NaN            NaN            NaN            NaN
  1408.12        500.000        98.7948       0.305934       0.396484                 NaN            NaN  0.975428E-001  0.405229                 NaN            NaN            NaN            NaN
  1407.05        500.000        98.6672       0.439690       0.334515                 NaN            NaN  0.109895       0.448668                 NaN            NaN            NaN            NaN
  1405.98        500.000        98.6846       0.325451       0.435875                 NaN            NaN  0.110774       0.443273                 NaN            NaN            NaN            NaN
  1404.91        500.000        98.7034       0.431402       0.316521                 NaN            NaN  0.111284       0.437439                 NaN            NaN            NaN            NaN
  1403.84        500.000        98.7133       0.428829       0.311019                 NaN            NaN  0.112088       0.434802                 NaN            NaN            NaN            NaN
  1402.78        500.000        98.7421       0.421243       0.298714                 NaN            NaN  0.112544       0.425388                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.7530       0.419565       0.292061                 NaN            NaN  0.113322       0.422060                 NaN            NaN            NaN            NaN
  1400.64        500.000        98.7702       0.284627       0.414760                 NaN            NaN  0.113774       0.416671                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.7854       0.276131       0.411620                 NaN            NaN  0.114719       0.412119                 NaN            NaN            NaN            NaN
  1398.50        500.000        98.8005       0.268513       0.408301                 NaN            NaN  0.115328       0.407345                 NaN            NaN            NaN            NaN
  1397.43        500.000        98.8117       0.406072       0.261318                 NaN            NaN  0.116481       0.404425                 NaN            NaN            NaN            NaN
  1396.37        500.000        98.8322       0.400787       0.253622                 NaN            NaN  0.116104       0.397319                 NaN            NaN            NaN            NaN
  1395.30        500.000        98.8400       0.400959       0.247187                 NaN            NaN  0.117160       0.394687                 NaN            NaN            NaN            NaN
  1394.23        500.000        98.8623       0.240701       0.393260                 NaN            NaN  0.116218       0.387557                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.8713       0.231039       0.392882                 NaN            NaN  0.119313       0.385461                 NaN            NaN            NaN            NaN
  1392.09        500.000        98.8844       0.389063       0.227026                 NaN            NaN  0.118486       0.381031                 NaN            NaN            NaN            NaN
  1391.02        500.000        98.9009       0.217769       0.385481                 NaN            NaN  0.119775       0.376070                 NaN            NaN            NaN            NaN
  1389.96        500.000        98.9134       0.381945       0.212877                 NaN            NaN  0.119704       0.372032                 NaN            NaN            NaN            NaN
  1388.89        500.000        98.9247       0.377002       0.216276                 NaN            NaN  0.114685       0.367373                 NaN            NaN            NaN            NaN
  1387.82        500.000        98.9395       0.189056       0.379547                 NaN            NaN  0.126893       0.365004                 NaN            NaN            NaN            NaN
  1386.75        500.000        98.9490       0.375066       0.193606                 NaN            NaN  0.121535       0.360809                 NaN            NaN            NaN            NaN
  1385.68        500.000        98.9642       0.370578       0.188357                 NaN            NaN  0.121183       0.355707                 NaN            NaN            NaN            NaN
  1384.61        500.000        98.9754       0.181351       0.368462                 NaN            NaN  0.122343       0.352462                 NaN            NaN            NaN            NaN
  1383.55        500.000        98.9725       0.372835       0.175058                 NaN            NaN  0.125013       0.354622                 NaN            NaN            NaN            NaN
  1382.48        500.000        99.0158       0.168181       0.356233                 NaN            NaN  0.121196       0.338582                 NaN            NaN            NaN            NaN
  1381.41        500.000        99.0090       0.163644       0.361845                 NaN            NaN  0.123555       0.341958                 NaN            NaN            NaN            NaN
  1380.34        500.000        99.0216       0.158210       0.358454                 NaN            NaN  0.123983       0.337792                 NaN            NaN            NaN            NaN
  1379.27        500.000        99.0317       0.356371       0.153311                 NaN            NaN  0.124067       0.334546                 NaN            NaN            NaN            NaN
  1378.20        500.000        99.0424       0.354320       0.146893                 NaN            NaN  0.125064       0.331364                 NaN            NaN            NaN            NaN
  1377.13        500.000        99.0535       0.143976       0.351136                 NaN            NaN  0.124173       0.327204                 NaN            NaN            NaN            NaN
  1376.07        500.000        99.0640       0.349631       0.137060                 NaN            NaN  0.125128       0.324218                 NaN            NaN            NaN            NaN
  1375.00        500.000        99.0739       0.347029       0.132892                 NaN            NaN  0.125214       0.320932                 NaN            NaN            NaN            NaN
  1373.93        500.000        99.0844       0.345168       0.127248                 NaN            NaN  0.125604       0.317608                 NaN            NaN            NaN            NaN
  1372.86        500.000        99.0937       0.122388       0.343295                 NaN            NaN  0.125965       0.314677                 NaN            NaN            NaN            NaN
  1371.79        500.000        99.1049       0.340495       0.117153                 NaN            NaN  0.126280       0.311148                 NaN            NaN            NaN            NaN
  1370.72        500.000        99.1136       0.339145       0.112832                 NaN            NaN  0.126162       0.308226                 NaN            NaN            NaN            NaN
  1369.66        500.000        99.1233       0.337107       0.108405                 NaN            NaN  0.126192       0.304965                 NaN            NaN            NaN            NaN
  1368.59        500.000        99.1321       0.335230       0.104387                 NaN            NaN  0.126184       0.302080                 NaN            NaN            NaN            NaN
  1367.52        500.000        99.1412       0.333557       0.991216E-001            NaN            NaN  0.126877       0.299284                 NaN            NaN            NaN            NaN
  1366.45        500.000        99.1510       0.959732E-001  0.330112                 NaN            NaN  0.126822       0.296043                 NaN            NaN            NaN            NaN
  1365.38        500.000        99.5420       0.184567       0.408464E-001            NaN            NaN  0.718425E-001  0.160727                 NaN            NaN            NaN            NaN
  1364.31        500.000        98.7769       0.476440       0.140667                 NaN            NaN  0.180328       0.425701                 NaN            NaN            NaN            NaN
  1363.25        500.000        99.1836       0.800201E-001  0.324708                 NaN            NaN  0.126848       0.284774                 NaN            NaN            NaN            NaN
  1362.18        500.000        99.1845       0.323523       0.809436E-001            NaN            NaN  0.126240       0.284753                 NaN            NaN            NaN            NaN
