|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        San(TH)        q             
  1426.28        500.000        94.1514        1.99387        3.85469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.8410       0.103440       0.555261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        98.8805       0.386585       0.732916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3661       0.414884       0.219047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3691       0.217797       0.413058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3722       0.410808       0.216947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3756       0.408654       0.215787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3787       0.406670       0.214620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.3582       0.416252       0.224351                 NaN  0.118191E-002  0.214474E-005            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.0302       0.374685       0.429651                 NaN            NaN            NaN  0.165442                 NaN            NaN            NaN            NaN
  1415.60        500.000        98.3351       0.686298       0.518797                 NaN            NaN  0.166877E-005  0.459796                 NaN            NaN            NaN            NaN
  1414.53        500.000        98.3719       0.671058       0.508227                 NaN            NaN            NaN  0.448846                 NaN            NaN            NaN            NaN
  1413.46        500.000        98.3873       0.664704       0.503237                 NaN            NaN            NaN  0.444773                 NaN            NaN            NaN            NaN
  1412.39        500.000        98.4071       0.497498       0.656243                 NaN            NaN            NaN  0.439186                 NaN            NaN            NaN            NaN
  1411.32        500.000        98.4268       0.491650       0.648194                 NaN            NaN  0.126395E-005  0.433350                 NaN            NaN            NaN            NaN
  1410.25        500.000        98.4461       0.485818       0.640272                 NaN            NaN            NaN  0.427850                 NaN            NaN            NaN            NaN
  1409.19        500.000        98.3030       0.538905       0.665269                 NaN            NaN  0.219835E-001  0.470817                 NaN            NaN            NaN            NaN
  1408.12        500.000        98.6502       0.366546       0.467388                 NaN            NaN  0.125819       0.390020                 NaN            NaN            NaN            NaN
  1407.05        500.000        98.5064       0.518654       0.401095                 NaN            NaN  0.141966       0.431926                 NaN            NaN            NaN            NaN
  1405.98        500.000        98.5246       0.390610       0.514581                 NaN            NaN  0.143337       0.426907                 NaN            NaN            NaN            NaN
  1404.91        500.000        98.5443       0.509742       0.380249                 NaN            NaN  0.144223       0.421464                 NaN            NaN            NaN            NaN
  1403.84        500.000        98.5542       0.507160       0.374027                 NaN            NaN  0.145529       0.419099                 NaN            NaN            NaN            NaN
  1402.78        500.000        98.5853       0.498556       0.359546                 NaN            NaN  0.146377       0.410207                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.5963       0.497026       0.351910                 NaN            NaN  0.147621       0.407174                 NaN            NaN            NaN            NaN
  1400.64        500.000        98.6143       0.343296       0.491756                 NaN            NaN  0.148465       0.402156                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.6303       0.333346       0.488428                 NaN            NaN  0.149941       0.397943                 NaN            NaN            NaN            NaN
  1398.50        500.000        98.6461       0.324492       0.484941                 NaN            NaN  0.150989       0.393515                 NaN            NaN            NaN            NaN
  1397.43        500.000        98.6575       0.482719       0.316126                 NaN            NaN  0.152743       0.390876                 NaN            NaN            NaN            NaN
  1396.37        500.000        98.6794       0.476807       0.307080                 NaN            NaN  0.152531       0.384193                 NaN            NaN            NaN            NaN
  1395.30        500.000        98.6867       0.477597       0.299710                 NaN            NaN  0.154210       0.381830                 NaN            NaN            NaN            NaN
  1394.23        500.000        98.7109       0.292066       0.468767                 NaN            NaN  0.153175       0.375120                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.7198       0.280641       0.468766                 NaN            NaN  0.157550       0.373275                 NaN            NaN            NaN            NaN
  1392.09        500.000        98.7333       0.464690       0.276081                 NaN            NaN  0.156749       0.369172                 NaN            NaN            NaN            NaN
  1391.02        500.000        98.7510       0.265043       0.460752                 NaN            NaN  0.158652       0.364554                 NaN            NaN            NaN            NaN
  1389.96        500.000        98.7640       0.456970       0.259365                 NaN            NaN  0.158868       0.360826                 NaN            NaN            NaN            NaN
  1388.89        500.000        98.7758       0.451452       0.263771                 NaN            NaN  0.152446       0.356491                 NaN            NaN            NaN            NaN
  1387.82        500.000        98.7908       0.230860       0.455000                 NaN            NaN  0.168956       0.354382                 NaN            NaN            NaN            NaN
  1386.75        500.000        98.8007       0.450098       0.236620                 NaN            NaN  0.162116       0.350498                 NaN            NaN            NaN            NaN
  1385.68        500.000        98.8168       0.445113       0.230481                 NaN            NaN  0.161910       0.345732                 NaN            NaN            NaN            NaN
  1384.61        500.000        98.8284       0.222120       0.442964                 NaN            NaN  0.163731       0.342767                 NaN            NaN            NaN            NaN
  1383.55        500.000        98.8243       0.448554       0.214596                 NaN            NaN  0.167512       0.345055                 NaN            NaN            NaN            NaN
  1382.48        500.000        98.8721       0.206438       0.429118                 NaN            NaN  0.162749       0.329644                 NaN            NaN            NaN            NaN
  1381.41        500.000        98.8633       0.201078       0.436299                 NaN            NaN  0.166179       0.333113                 NaN            NaN            NaN            NaN
  1380.34        500.000        98.8765       0.194602       0.432576                 NaN            NaN  0.167048       0.329244                 NaN            NaN            NaN            NaN
  1379.27        500.000        98.8869       0.430565       0.188791                 NaN            NaN  0.167462       0.326270                 NaN            NaN            NaN            NaN
  1378.20        500.000        98.8980       0.428496       0.181074                 NaN            NaN  0.169034       0.323357                 NaN            NaN            NaN            NaN
  1377.13        500.000        98.9095       0.177687       0.425099                 NaN            NaN  0.168193       0.319487                 NaN            NaN            NaN            NaN
  1376.07        500.000        98.9205       0.423704       0.169308                 NaN            NaN  0.169710       0.316760                 NaN            NaN            NaN            NaN
  1375.00        500.000        98.9308       0.420927       0.164346                 NaN            NaN  0.170183       0.313740                 NaN            NaN            NaN            NaN
  1373.93        500.000        98.9417       0.419093       0.157536                 NaN            NaN  0.170951       0.310680                 NaN            NaN            NaN            NaN
  1372.86        500.000        98.9513       0.151684       0.417240                 NaN            NaN  0.171749       0.308001                 NaN            NaN            NaN            NaN
  1371.79        500.000        98.9633       0.414235       0.145340                 NaN            NaN  0.172427       0.304737                 NaN            NaN            NaN            NaN
  1370.72        500.000        98.9722       0.413056       0.140138                 NaN            NaN  0.172577       0.302064                 NaN            NaN            NaN            NaN
  1369.66        500.000        98.9823       0.411012       0.134783                 NaN            NaN  0.172890       0.299056                 NaN            NaN            NaN            NaN
  1368.59        500.000        98.9913       0.409136       0.129936                 NaN            NaN  0.173188       0.296414                 NaN            NaN            NaN            NaN
  1367.52        500.000        99.0007       0.407522       0.123519                 NaN            NaN  0.174433       0.293859                 NaN            NaN            NaN            NaN
  1366.45        500.000        99.0111       0.119724       0.403675                 NaN            NaN  0.174631       0.290865                 NaN            NaN            NaN            NaN
  1365.38        500.000        99.4654       0.226163       0.510565E-001            NaN            NaN  0.992790E-001  0.158071                 NaN            NaN            NaN            NaN
  1364.31        500.000        98.5734       0.583342       0.175699                 NaN            NaN  0.248990       0.418528                 NaN            NaN            NaN            NaN
  1363.25        500.000        99.0456       0.100155       0.398365                 NaN            NaN  0.175561       0.280346                 NaN            NaN            NaN            NaN
  1362.18        500.000        99.0457       0.397338       0.101428                 NaN            NaN  0.175055       0.280507                 NaN            NaN            NaN            NaN
  1361.11        500.000        99.0554       0.396229       0.952108E-001            NaN            NaN  0.175415       0.277696                 NaN            NaN            NaN            NaN
  1360.04        500.000        99.0636       0.394898       0.903778E-001            NaN            NaN  0.175770       0.275346                 NaN            NaN            NaN            NaN
  1358.97        500.000        99.0718       0.865148E-001  0.393024                 NaN            NaN  0.175756       0.272873                 NaN            NaN            NaN            NaN
  1357.90        500.000        99.0788       0.392278       0.819302E-001            NaN            NaN  0.176154       0.270817                 NaN            NaN            NaN            NaN
  1356.84        500.000        99.0888       0.389302       0.785300E-001            NaN            NaN  0.175634       0.267752                 NaN            NaN            NaN            NaN
