|6.6.6
Archiving\03_Data\eq/QFM_m4.75/EETA/EETA_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.2097       0.779128       0.111987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2096       0.779197       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2095       0.779267       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2095       0.779336       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2094       0.779406       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2093       0.779476       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2093       0.779546       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2092       0.779616       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2091       0.779686       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2090       0.779756       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2090       0.779826       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2089       0.779896       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2088       0.779966       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2088       0.780037       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2087       0.780107       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2086       0.780178       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2086       0.780248       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2085       0.780319       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2084       0.780389       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2083       0.780460       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2083       0.780531       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2082       0.780602       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2081       0.780673       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2081       0.780744       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2080       0.780815       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2079       0.780886       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2078       0.780957       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2078       0.781029       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2077       0.781100       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2076       0.781171       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.2076       0.781243       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2075       0.781314       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2074       0.781386       0.111987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2073       0.781458       0.111987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.2073       0.781529       0.111988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.2072       0.781601       0.111988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.2071       0.781673       0.111989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.2071       0.781745       0.111989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.2070       0.781817       0.111990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.2069       0.781889       0.111990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.2068       0.781961       0.111991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.2068       0.782034       0.111992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.2067       0.782106       0.111992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.2066       0.782178       0.111993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.2066       0.782251       0.111994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.2065       0.782323       0.111994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.2035       0.782416       0.111998E-001  0.291234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1960       0.782539       0.112006E-001  0.102840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1885       0.782663       0.112014E-001  0.176573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1773       0.782812       0.112026E-001  0.286996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1661       0.782960       0.112037E-001  0.397449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1549       0.783109       0.112049E-001  0.507932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1437       0.783258       0.112061E-001  0.618446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1325       0.783406       0.112073E-001  0.728991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1213       0.783555       0.112084E-001  0.839565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1101       0.783703       0.112096E-001  0.950170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.0989       0.783852       0.112108E-001  0.106081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.0882       0.783997       0.112119E-001  0.116621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.0775       0.784141       0.112130E-001  0.127164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.0668       0.784286       0.112142E-001  0.137709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.0561       0.784431       0.112153E-001  0.148258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.0454       0.784575       0.112164E-001  0.158809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.0347       0.784720       0.112175E-001  0.169364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.0240       0.784865       0.112187E-001  0.179921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0133       0.785009       0.112198E-001  0.190480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.0032       0.785150       0.112209E-001  0.200444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        98.9931       0.785290       0.112219E-001  0.210410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        98.9830       0.785430       0.112230E-001  0.220378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        98.9729       0.785571       0.112241E-001  0.230349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        98.9627       0.785711       0.112252E-001  0.240323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        98.9526       0.785851       0.112262E-001  0.250299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        98.9425       0.785992       0.112273E-001  0.260278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        98.9324       0.786132       0.112284E-001  0.270259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        98.9228       0.786268       0.112294E-001  0.279716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        98.9132       0.786405       0.112304E-001  0.289175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        98.9036       0.786541       0.112315E-001  0.298636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        98.8940       0.786678       0.112325E-001  0.308100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        98.8844       0.786814       0.112335E-001  0.317566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        98.8748       0.786951       0.112346E-001  0.327034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        98.8652       0.787087       0.112356E-001  0.336505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        98.8556       0.787224       0.112366E-001  0.345978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        98.8465       0.787356       0.112376E-001  0.354905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        98.8374       0.787489       0.112386E-001  0.363833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        98.8284       0.787622       0.112396E-001  0.372764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        98.8193       0.787754       0.112406E-001  0.381697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        98.8102       0.787887       0.112415E-001  0.390633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        98.8012       0.788019       0.112425E-001  0.399570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        98.7921       0.788152       0.112435E-001  0.408510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        98.7830       0.788284       0.112445E-001  0.417451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        98.7745       0.788413       0.112454E-001  0.425840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        98.7660       0.788542       0.112464E-001  0.434231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        98.7575       0.788670       0.112473E-001  0.442624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        98.7489       0.788799       0.112482E-001  0.451018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        98.7404       0.788928       0.112492E-001  0.459415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        98.7319       0.789056       0.112501E-001  0.467813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        98.7234       0.789185       0.112510E-001  0.476214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        98.7148       0.789314       0.112520E-001  0.484616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        98.7068       0.789438       0.112529E-001  0.492460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        98.6989       0.789563       0.112538E-001  0.500306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.6909       0.789688       0.112547E-001  0.508154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        98.6829       0.789813       0.112555E-001  0.516003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        98.6750       0.789938       0.112564E-001  0.523854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        98.6670       0.790063       0.112573E-001  0.531707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        98.6590       0.790187       0.112582E-001  0.539562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.6510       0.790312       0.112591E-001  0.547418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.6434       0.790434       0.112600E-001  0.554856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
