|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.75/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00       0.134599E-001   99.4882       0.431011       0.673515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   99.0270       0.849607       0.123406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   99.0401       0.838965       0.120983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   99.0508       0.829651       0.119577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   99.0612       0.819314       0.119479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   99.0677       0.816648       0.115636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   99.0872       0.797186       0.115659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   99.0821       0.805137       0.112752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   99.1136       0.776086       0.110338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.1129       0.776346       0.110770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.1227       0.768277       0.109069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   99.1319       0.760659       0.107437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.1418       0.751210       0.106976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.1514       0.743022       0.105535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.1607       0.746473       0.927801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   99.1670       0.720239       0.112798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   99.1785       0.720529       0.100932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.4996       0.441240       0.591118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
