|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.25/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1621.79        2500.00        99.5264       0.328598       0.144974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.23        2500.00        99.1144       0.765174       0.120446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.67        2500.00        98.8138        1.02539       0.160769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.11        2500.00        98.9724       0.888249       0.139363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.56        2500.00        98.9911       0.875944       0.132913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.0021       0.863299       0.134640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.44        2500.00        99.0089       0.858544       0.132565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.88        2500.00        99.0201       0.848916       0.130953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        99.0299       0.840850       0.129265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.76        2500.00        99.0372       0.832582       0.130255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.21        2500.00        99.0530       0.821226       0.125788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.65        2500.00        98.6526        1.16821       0.179230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        99.4752       0.453978       0.707800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.53        2500.00        99.0761       0.799956       0.123899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.97        2500.00        99.0888       0.792281       0.118964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.0939       0.787886       0.118212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.86        2500.00        99.1019       0.781552       0.116562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.1106       0.774368       0.115016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.74        2500.00        99.1195       0.766518       0.113943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00        99.1266       0.761309       0.112105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.62        2500.00        99.1096       0.775286       0.115089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.06        2500.00        99.1694       0.725045       0.105580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.51        2500.00        99.1506       0.740479       0.108901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00        99.1592       0.734093       0.106707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.39        2500.00        99.1648       0.731498       0.103728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.83        2500.00        99.1591       0.735823       0.105080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.27        2500.00        99.1869       0.710461       0.102683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        98.9776       0.895308       0.127136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.16        2500.00        99.3926       0.530972       0.764511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00        99.2214       0.683768       0.948612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.04        2500.00        99.2071       0.695711       0.971558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.2138       0.691674       0.945081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.92        2500.00        99.2212       0.685255       0.935556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.36        2500.00        99.2260       0.681344       0.926459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.81        2500.00        99.2318       0.677690       0.904722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.2418       0.667367       0.908554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.69        2500.00        99.2465       0.664304       0.892121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.13        2500.00        99.2509       0.683305       0.657540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.57        2500.00        99.2570       0.636215       0.106773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00        99.2629       0.652141       0.849480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.46        2500.00        99.2681       0.648183       0.836711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00        99.2750       0.642828       0.822205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.34        2500.00        99.2797       0.638509       0.817935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        2500.00        99.2862       0.633463       0.803005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.22        2500.00        99.2000       0.710253       0.897457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.66        2500.00        99.3869       0.546494       0.665579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.10        2500.00        99.2998       0.623916       0.762384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00        99.3064       0.618488       0.751174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.99        2500.00        99.3121       0.613628       0.742924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.43        2500.00        99.3167       0.610080       0.732424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.87        2500.00        99.3177       0.609880       0.723900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.31        2500.00        99.0820       0.821028       0.970152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.75        2500.00        99.3691       0.571338       0.596003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00        99.5380       0.415172       0.468027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.64        2500.00        99.3364       0.573626       0.899638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00        99.3451       0.613695       0.411904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.52        2500.00        99.3392       0.595296       0.654657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.96        2500.00        99.4931       0.454899       0.519770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.40        2500.00        99.2241       0.699588       0.762977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.85        2500.00        99.2402       0.694559       0.652769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.29        2500.00        99.4729       0.464314       0.627500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.73        2500.00        99.3811       0.561623       0.573093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.17        2500.00        99.3728       0.568700       0.585268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.61        2500.00        99.3711       0.571729       0.571382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.05        2500.00        99.3839       0.560015       0.561098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.50        2500.00        99.3820       0.564163       0.538185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.94        2500.00        99.3855       0.561913       0.526050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.38        2500.00        99.3900       0.558060       0.519084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.82        2500.00        99.3937       0.554154       0.521798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.26        2500.00        99.5645       0.401585       0.338810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00        99.2290       0.706390       0.645658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.15        2500.00        99.4033       0.549017       0.477075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.59        2500.00        99.4047       0.549355       0.459923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.03        2500.00        99.4091       0.545607       0.453313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.47        2500.00        99.4115       0.543235       0.452437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
