|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.25/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1621.79        2500.00        99.5777       0.295540       0.126768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.23        2500.00        99.2062       0.688434       0.105357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.67        2500.00        98.9369       0.922478       0.140588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.11        2500.00        99.0794       0.798741       0.121812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.56        2500.00        99.0961       0.787764       0.116142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1065       0.775912       0.117582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.44        2500.00        99.1126       0.771608       0.115745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.88        2500.00        99.1230       0.762754       0.114292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        99.1320       0.755279       0.112766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.76        2500.00        99.1387       0.747709       0.113595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.21        2500.00        99.1530       0.737307       0.109647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.65        2500.00        98.7952        1.04868       0.156151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        99.5311       0.407231       0.616234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.53        2500.00        99.1745       0.717558       0.107900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.97        2500.00        99.1857       0.710742       0.103542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.1906       0.706579       0.102843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.86        2500.00        99.1979       0.700696       0.101369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.2059       0.694138       0.999787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.74        2500.00        99.2141       0.686884       0.990035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00        99.2206       0.682052       0.973735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.62        2500.00        99.2056       0.694437       0.999450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.06        2500.00        99.2591       0.649282       0.916506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.51        2500.00        99.2426       0.662878       0.944784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00        99.2504       0.657048       0.925309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.39        2500.00        99.2555       0.654620       0.899133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.83        2500.00        99.2505       0.658390       0.910779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.27        2500.00        99.2758       0.635266       0.889193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.0895       0.800373       0.110084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.16        2500.00        99.4593       0.474572       0.661556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00        99.3068       0.611167       0.820465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.04        2500.00        99.2944       0.621608       0.840082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.3005       0.617803       0.816569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.92        2500.00        99.3072       0.612021       0.808126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.36        2500.00        99.3117       0.608347       0.799860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.81        2500.00        99.3170       0.604938       0.780811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.3261       0.595503       0.783700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.69        2500.00        99.3304       0.592646       0.769335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.13        2500.00        99.3338       0.609479       0.566757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.57        2500.00        99.3407       0.567347       0.919923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00        99.3455       0.581355       0.731564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.46        2500.00        99.3503       0.577685       0.720335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00        99.3565       0.572784       0.707503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.34        2500.00        99.3609       0.568737       0.703511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        2500.00        99.3668       0.564115       0.690448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.22        2500.00        99.2905       0.632350       0.771384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.66        2500.00        99.4564       0.486458       0.571709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.10        2500.00        99.3793       0.555213       0.654468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00        99.3853       0.550261       0.644626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.99        2500.00        99.3905       0.545796       0.637310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.43        2500.00        99.3947       0.542511       0.627975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.87        2500.00        99.3959       0.542100       0.620362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.31        2500.00        99.1872       0.729712       0.830977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.75        2500.00        99.4412       0.507758       0.510288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00        99.5913       0.368704       0.400426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.64        2500.00        99.4135       0.509492       0.769716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00        99.4199       0.544876       0.352237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
