|6.6.6
Archiving\03_Data\frac/QFM_m2/Y98/Y98_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  2000.00        2500.00        99.2153       0.776305       0.836858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        99.2153       0.776361       0.836856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        99.2152       0.776416       0.836855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        99.2152       0.776471       0.836854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        99.2151       0.776526       0.836853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        99.2150       0.776582       0.836853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        99.2150       0.776637       0.836852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        99.2149       0.776692       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        99.2149       0.776748       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        99.2148       0.776803       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        99.2148       0.776859       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        99.2147       0.776915       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.2147       0.776970       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.2146       0.777026       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.2146       0.777081       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.2145       0.777137       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.2144       0.777193       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.2144       0.777248       0.836852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.2143       0.777304       0.836852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.2143       0.777360       0.836853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.2142       0.777416       0.836854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.2142       0.777472       0.836855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.2141       0.777528       0.836856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.2140       0.777583       0.836857E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.2140       0.777639       0.836858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.2139       0.777695       0.836860E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.2139       0.777751       0.836861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.2138       0.777807       0.836863E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.2138       0.777864       0.836865E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
