|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        ne             lc            
  1560.90        2500.00        99.9349       0.394225E-001  0.256940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00        99.4774       0.456711       0.658733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00        99.4542       0.490903       0.549045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.4621       0.489124       0.487280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00        99.4646       0.483966       0.514690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4680       0.480516       0.514735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00        99.9526       0.428509E-001  0.455901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        98.9978       0.907172       0.949814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00        99.4793       0.472145       0.485519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.4837       0.468403       0.478528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4865       0.466041       0.474488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00        99.4903       0.463523       0.461489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00        99.4937       0.460288       0.459929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00        99.4978       0.455405       0.467828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        2500.00        99.5015       0.453870       0.446432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.5046       0.451223       0.442237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00        99.5042       0.454380       0.414070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.5122       0.443048       0.447923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00        99.5143       0.443720       0.420205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00        99.5176       0.440573       0.418570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00        99.5195       0.439445       0.410513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.5221       0.437641       0.402819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00        99.5269       0.433208       0.398859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00        99.5281       0.433135       0.387278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00        99.5307       0.430134       0.391564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00        99.5146       0.360453       0.281441E-001            NaN  0.967852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00        99.4097       0.147930                 NaN            NaN  0.442350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.4018                 NaN            NaN            NaN  0.598215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00        99.3676                 NaN  0.423048E-002            NaN  0.628207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.8504                 NaN            NaN            NaN  0.149626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00        98.9985       0.240925E-001            NaN            NaN  0.977411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.4174                 NaN  0.305854E-001            NaN  0.552018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00        99.3577                 NaN            NaN            NaN  0.642346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
