|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/ALH/ALH_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        ne             lc            
  1560.90        2500.00        99.9249       0.448172E-001  0.302855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00        99.4035       0.518860       0.776000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00        99.3775       0.557758       0.646964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.3866       0.555971       0.574522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00        99.3891       0.550151       0.607001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.3928       0.546405       0.607456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00        99.9459       0.487594E-001  0.538406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        98.8564        1.03146       0.112091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00        99.4053       0.537325       0.573641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.4101       0.533289       0.565712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4132       0.530709       0.561082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00        99.4175       0.527917       0.545968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00        99.4211       0.524419       0.544355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00        99.4256       0.519000       0.553792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        2500.00        99.4297       0.517367       0.528891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.4331       0.514461       0.524156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00        99.4329       0.517989       0.490716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.4413       0.505507       0.531490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00        99.4438       0.506304       0.498674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00        99.4474       0.502853       0.496973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00        99.4496       0.501674       0.487634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.4524       0.499773       0.478710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00        99.4578       0.494799       0.474209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00        99.4590       0.494935       0.460730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00        99.4618       0.491590       0.465971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00        99.4445       0.412042       0.335078E-001            NaN  0.109987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00        99.3280       0.169145                 NaN            NaN  0.502818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.3199                 NaN            NaN            NaN  0.680086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00        99.2806                 NaN  0.504176E-002            NaN  0.714374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.8297                 NaN            NaN            NaN  0.170347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00        98.8608       0.275662E-001            NaN            NaN   1.11167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.3349                 NaN  0.365046E-001            NaN  0.628562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00        99.2685                 NaN            NaN            NaN  0.731491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.4214       0.755958E-001            NaN            NaN  0.502994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00        99.2818       0.966435E-002            NaN            NaN  0.708516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.3229                 NaN            NaN            NaN  0.677123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00        99.2063                 NaN            NaN            NaN  0.793736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.4801                 NaN            NaN            NaN  0.519902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00        99.2782       0.277392                 NaN            NaN  0.444395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00        99.3153                 NaN  0.159929E-005            NaN  0.684704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
