|6.6.6
Archiving\03_Data\Deq/QFM_m4.75/K22/K22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.3845       0.576133       0.393520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3540       0.606617       0.393555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3235       0.637105       0.393589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2930       0.667599       0.393623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2625       0.698099       0.393658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2320       0.728604       0.393692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2015       0.759114       0.393727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1710       0.789629       0.393761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1405       0.820150       0.393796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1741       0.786500       0.393758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2078       0.752856       0.393720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2414       0.719218       0.393682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2750       0.685588       0.393644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.9899       0.970677       0.393965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.7129       0.992797       0.391659E-001  0.255151                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.8578       0.994975       0.383754E-001   1.10880                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.0028       0.997153       0.375850E-001   1.96246                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.2149       0.993293       0.367985E-001   2.75497                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.4271       0.989433       0.360121E-001   3.54746                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        94.6393       0.985572       0.352257E-001   4.33993                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.8515       0.981712       0.344393E-001   5.13238                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        93.0637       0.977852       0.336530E-001   5.92481                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.2759       0.973992       0.328666E-001   6.71723                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        91.4882       0.970132       0.320803E-001   7.50962                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        90.7004       0.966272       0.312940E-001   8.30199                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        89.9802       0.955288       0.305090E-001   9.03396                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        89.2601       0.944304       0.297240E-001   9.76589                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        88.5400       0.933321       0.289391E-001   10.4978                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        87.8199       0.922339       0.281542E-001   11.2296                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        87.1204       0.908466       0.273837E-001   11.9377       0.610205E-002            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        86.4299       0.892441       0.265750E-001   12.6474       0.371147E-002            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        85.7407       0.873779       0.257902E-001   13.3413       0.184424E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        85.0516       0.855120       0.250055E-001   14.0351       0.331717E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        84.3884       0.828356       0.241868E-001   14.7079       0.512360E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        83.7252       0.801597       0.233683E-001   15.3805       0.692975E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        83.0623       0.774842       0.225498E-001   16.0530       0.873562E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        82.3994       0.748091       0.217315E-001   16.7254       0.105412                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        81.7366       0.721344       0.209134E-001   17.3977       0.123465                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        81.0739       0.694602       0.200953E-001   18.0699       0.141515                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        80.4113       0.667863       0.192774E-001   18.7420       0.159563                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        79.7488       0.641129       0.184596E-001   19.4140       0.177607                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        79.1239       0.603454       0.176069E-001   20.0604       0.194661                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        78.4991       0.565787       0.167544E-001   20.7067       0.211712                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        77.8744       0.528128       0.159021E-001   21.3528       0.228758                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        77.2499       0.490478       0.150500E-001   21.9988       0.245801                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        76.6255       0.452836       0.141980E-001   22.6447       0.262840                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        76.0012       0.415202       0.133463E-001   23.2904       0.279876                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        75.3771       0.377576       0.124947E-001   23.9360       0.296907                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        74.7531       0.339959       0.116433E-001   24.5814       0.313935                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        74.1451       0.293241       0.107515E-001   25.2206       0.330330                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        73.5372       0.246536       0.985996E-002   25.8597       0.346721                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        72.9295       0.199844       0.896864E-002   26.4985       0.363107                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        72.3220       0.153164       0.807757E-002   27.1372       0.379489                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        71.7194       0.101747       0.716428E-002   27.7762       0.395532                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        71.1170       0.503457E-001  0.625127E-002   28.4149       0.411571                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        70.5199       0.934259E-003  0.534910E-002   29.0463       0.427484                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        69.9534                 NaN  0.448744E-002   29.6006       0.441462                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        69.3987                 NaN  0.363661E-002   30.1426       0.455020                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        68.8440                 NaN  0.278579E-002   30.6846       0.468578                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        68.2893                 NaN  0.193496E-002   31.2266       0.482137                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        67.7346                 NaN  0.108414E-002   31.7686       0.495695                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        67.1906                 NaN  0.186669E-003   32.3001       0.509074                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        66.6559                 NaN            NaN   32.8216       0.522508                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        66.1234                 NaN            NaN   33.3413       0.535309                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        65.5910                 NaN            NaN   33.8609       0.548110                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        65.0767                 NaN            NaN   34.3628       0.560498                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        64.5624                 NaN            NaN   34.8647       0.572887                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        64.0482                 NaN            NaN   35.3665       0.585276                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        63.5339                 NaN            NaN   35.8684       0.597664                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        63.0196                 NaN            NaN   36.3703       0.610053                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        62.5054                 NaN            NaN   36.8722       0.622442                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        61.9911                 NaN            NaN   37.3741       0.634831                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        61.4768                 NaN            NaN   37.8759       0.647219                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        60.9867                 NaN            NaN   38.3547       0.658538                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        60.4966                 NaN            NaN   38.8335       0.669857                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        60.0065                 NaN            NaN   39.3123       0.681176                 NaN            NaN            NaN            NaN            NaN
