|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/KHA22/KHA22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1554.49        500.000       0.894028E-002   99.6511       0.340000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.4692       0.530829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN   99.4759       0.524108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   99.3328       0.667207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.6258       0.374226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.8728       0.583559E-001  0.688453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   99.1207       0.879321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.4968       0.503162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.4992       0.495187       0.565759E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.5069       0.493132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   99.5115       0.477126       0.113261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.5145       0.484596       0.864475E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.5088       0.471043       0.201302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.8928       0.876021E-001  0.195548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.1676       0.832369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.5289       0.471125       0.220542E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.5329       0.466664       0.420977E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.5371       0.454479       0.841890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.5416       0.447915       0.105130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.5440       0.445873       0.100829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.5365       0.454846       0.868825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN   99.5622       0.430485       0.726607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN   99.5555       0.417517       0.269931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN   99.5593       0.440668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN   99.5588       0.441197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.5653       0.432577       0.210416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN   99.5679       0.425787       0.629585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        500.000                 NaN   99.5714       0.422626       0.594568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN   99.5450       0.450887       0.410963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.8396       0.159685       0.746531E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN   99.3446       0.644870       0.105053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.41        500.000                 NaN   99.5828       0.408528       0.865126E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        500.000                 NaN   99.5715       0.423307       0.516478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.6052       0.385184       0.957474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.24        500.000                 NaN   99.5927       0.402734       0.457836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   99.5979       0.386364       0.157060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.46        500.000                 NaN   99.5641       0.435591       0.264067E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        500.000                 NaN   99.6328       0.367163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.68        500.000                 NaN   99.6075       0.360306       0.322047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        500.000                 NaN   99.6049       0.395102       0.169731E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.90        500.000                 NaN   99.5625       0.418264       0.192502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN   99.6614       0.338250       0.347402E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.12        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.2249       0.775089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.34        500.000                 NaN   99.5943       0.358751       0.469855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000                 NaN   99.6733       0.326484       0.169915E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.56        500.000                 NaN   99.6416       0.358363       0.248213E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   99.5799       0.420074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.78        500.000                 NaN   99.6291       0.370942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   99.6298       0.370076       0.109277E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.01        500.000                 NaN   99.6364       0.363607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.62        500.000                 NaN   99.6343       0.365728       0.132328E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.23        500.000                 NaN   99.6369       0.363092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.84        500.000                 NaN   99.6393       0.360521       0.157631E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.45        500.000                 NaN   99.6416       0.358433       0.194277E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.06        500.000                 NaN   99.6435       0.356542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN   99.6455       0.354535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000                 NaN   99.5823       0.109067                 NaN  0.308636                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.89        500.000                 NaN   99.5357       0.717161E-002            NaN  0.457132                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.50        500.000                 NaN   99.5891       0.346803E-001            NaN  0.376245                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.11        500.000                 NaN   99.5652       0.170881E-001            NaN  0.417761                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.72        500.000                 NaN   99.5659       0.150499E-001            NaN  0.419055                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.33        500.000                 NaN   99.5664       0.126176E-001            NaN  0.420936                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.94        500.000                 NaN   99.5671       0.121333E-001            NaN  0.420765                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.55        500.000                 NaN   99.5706       0.495101E-002            NaN  0.424489                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.16        500.000                 NaN   99.5701       0.425947E-002            NaN  0.425638                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.77        500.000                 NaN   99.5693       0.628772E-003            NaN  0.430107                 NaN            NaN            NaN            NaN            NaN            NaN
