|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1554.49        500.000       0.142269E-001   99.5877       0.398056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.3785       0.621542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN   99.3861       0.613913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   99.2186       0.781396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.5614       0.438648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.8490       0.684512E-001  0.825176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   98.9696        1.03038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.4098       0.590168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.4123       0.580948       0.678378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.4213       0.578662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   99.4262       0.560168       0.135939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.4299       0.569076       0.103838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.4226       0.553257       0.241802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.8735       0.102988       0.235047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.0224       0.977614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.4461       0.553915       0.265216E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.4507       0.548768       0.506555E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.4552       0.534617       0.101330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.4603       0.527014       0.126572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.4630       0.524841       0.121451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.4541       0.535414       0.104695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN   99.4843       0.506941       0.876030E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN   99.4756       0.491872       0.325558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN   99.4807       0.519297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN   99.4800       0.519992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.4874       0.510057       0.254105E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN   99.4902       0.502240       0.760660E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        500.000                 NaN   99.4942       0.498611       0.718566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN   99.4629       0.532097       0.496928E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.8106       0.188511       0.903256E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN   99.2261       0.761217       0.127098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.41        500.000                 NaN   99.5071       0.482452       0.104707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        500.000                 NaN   99.4936       0.500150       0.625372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.5331       0.455249       0.116013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.24        500.000                 NaN   99.5185       0.475987       0.554634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   99.5240       0.456912       0.190447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.46        500.000                 NaN   99.4844       0.515275       0.320363E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        500.000                 NaN   99.5656       0.434425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.68        500.000                 NaN   99.5344       0.426445       0.391063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        500.000                 NaN   99.5323       0.467669       0.206319E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.90        500.000                 NaN   99.4814       0.495242       0.233888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN   99.5990       0.400582       0.422317E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.12        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.0819       0.918076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.34        500.000                 NaN   99.5173       0.425454       0.572339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000                 NaN   99.6126       0.387223       0.206967E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.56        500.000                 NaN   99.5752       0.424840       0.302372E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   99.5017       0.498273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.78        500.000                 NaN   99.5597       0.440343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   99.5603       0.439537       0.133238E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.01        500.000                 NaN   99.5681       0.431900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.62        500.000                 NaN   99.5655       0.434466       0.161641E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.23        500.000                 NaN   99.5685       0.431549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.84        500.000                 NaN   99.5713       0.428549       0.192774E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.45        500.000                 NaN   99.5737       0.426248       0.237688E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.06        500.000                 NaN   99.5759       0.424115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN   99.5782       0.421797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000                 NaN   99.5048       0.129790                 NaN  0.365373                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.89        500.000                 NaN   99.4501       0.853665E-002            NaN  0.541319                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.50        500.000                 NaN   99.5129       0.413060E-001            NaN  0.445793                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.11        500.000                 NaN   99.4844       0.203611E-001            NaN  0.495197                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.72        500.000                 NaN   99.4851       0.179403E-001            NaN  0.496967                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.33        500.000                 NaN   99.4855       0.150486E-001            NaN  0.499454                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.94        500.000                 NaN   99.4862       0.144745E-001            NaN  0.499358                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.55        500.000                 NaN   99.4900       0.590942E-002            NaN  0.504060                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.16        500.000                 NaN   99.4893       0.508600E-002            NaN  0.505635                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.77        500.000                 NaN   99.4880       0.751127E-003            NaN  0.511244                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.38        500.000                 NaN   99.4920       0.406070E-001            NaN  0.467362                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.99        500.000                 NaN   99.4899                 NaN            NaN  0.510087                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.60        500.000                 NaN   99.4926       0.156124E-001            NaN  0.491827                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.21        500.000                 NaN   99.4894                 NaN            NaN  0.510640                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.82        500.000                 NaN   99.4888                 NaN            NaN  0.511150                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.43        500.000                 NaN   99.3792       0.369885E-001            NaN  0.568192       0.156334E-001            NaN            NaN            NaN            NaN            NaN
  1453.04        500.000                 NaN   99.4037                 NaN            NaN  0.305326       0.290972                 NaN            NaN            NaN            NaN            NaN
