|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/Y98/Y98_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        93.7821        2.34382        3.87411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2820       0.455719       0.262328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2877       0.260629       0.451649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2932       0.258287       0.448465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2977       0.445342       0.256927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.3017       0.255331       0.443018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.3088       0.252485       0.438720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.3126       0.250600       0.436824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2923       0.257648       0.450089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.3465       0.237864       0.415683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.3269       0.245473       0.427607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.3309       0.424109       0.244492                 NaN  0.547811E-003            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.3360       0.422169       0.241769                 NaN  0.711133E-004            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.3392       0.421696       0.239107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.8944       0.414230       0.486610                 NaN            NaN  0.204720                 NaN            NaN            NaN            NaN
  1434.93        500.000        97.8884       0.637262       0.807113                 NaN            NaN  0.667185                 NaN            NaN            NaN            NaN
  1433.80        500.000        97.9253       0.627269       0.791788                 NaN            NaN  0.655670                 NaN            NaN            NaN            NaN
  1432.67        500.000        97.9641       0.776178       0.616086                 NaN            NaN  0.643643                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.9993       0.761990       0.606124                 NaN            NaN  0.632564                 NaN            NaN            NaN            NaN
  1430.40        500.000        98.0343       0.748276       0.595864                 NaN            NaN  0.621594                 NaN            NaN            NaN            NaN
  1429.27        500.000        98.0675       0.586689       0.734410                 NaN            NaN  0.611428                 NaN            NaN            NaN            NaN
  1428.13        500.000        98.1011       0.720934       0.577050                 NaN            NaN  0.600911                 NaN            NaN            NaN            NaN
  1427.00        500.000        98.1316       0.567997       0.709123                 NaN            NaN  0.591300                 NaN            NaN            NaN            NaN
  1425.87        500.000        98.1638       0.696451       0.558601                 NaN            NaN  0.581113                 NaN            NaN            NaN            NaN
  1424.74        500.000        98.1932       0.550410       0.684323                 NaN            NaN  0.572037                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.2201       0.542489       0.673923                 NaN            NaN  0.563526                 NaN            NaN            NaN            NaN
  1422.47        500.000        98.2506       0.661378       0.534238                 NaN            NaN  0.553826                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.2671       0.655610       0.528302                 NaN            NaN  0.548959                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.3127       0.636795       0.516752                 NaN            NaN  0.533707                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.3294       0.630702       0.511006                 NaN            NaN  0.528915                 NaN            NaN            NaN            NaN
  1417.94        500.000        98.3550       0.503562       0.620636                 NaN            NaN  0.520807                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.3781       0.611560       0.496803                 NaN            NaN  0.513528                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.4033       0.501087       0.552126                 NaN            NaN  0.512306       0.311698E-001            NaN            NaN            NaN
  1414.54        500.000        98.4244       0.480199       0.509195                 NaN            NaN  0.514546       0.716994E-001            NaN            NaN            NaN
  1413.41        500.000        98.4543       0.397098       0.518646                 NaN            NaN  0.514583       0.115401                 NaN            NaN            NaN
  1412.28        500.000        98.4724       0.387576       0.514308                 NaN            NaN  0.509261       0.116480                 NaN            NaN            NaN
  1411.15        500.000        98.1390       0.629191       0.466424                 NaN            NaN  0.620746       0.144649                 NaN            NaN            NaN
  1410.01        500.000        98.8726       0.277342       0.383321                 NaN            NaN  0.376420       0.903210E-001            NaN            NaN            NaN
  1408.88        500.000        98.5411       0.355772       0.497020                 NaN            NaN  0.487805       0.118263                 NaN            NaN            NaN
  1407.75        500.000        98.5602       0.492690       0.345599                 NaN            NaN  0.482164       0.119356                 NaN            NaN            NaN
  1406.61        500.000        98.5791       0.488249       0.335835                 NaN            NaN  0.476510       0.120344                 NaN            NaN            NaN
  1405.48        500.000        98.6016       0.482461       0.326085                 NaN            NaN  0.469196       0.120677                 NaN            NaN            NaN
  1404.35        500.000        98.6187       0.316569       0.478945                 NaN            NaN  0.464070       0.121734                 NaN            NaN            NaN
  1403.22        500.000        98.6379       0.307583       0.473908                 NaN            NaN  0.458134       0.122486                 NaN            NaN            NaN
  1402.08        500.000        98.6568       0.469368       0.298367                 NaN            NaN  0.452432       0.123083                 NaN            NaN            NaN
  1400.95        500.000        98.6751       0.465118       0.289560                 NaN            NaN  0.446535       0.123647                 NaN            NaN            NaN
  1399.82        500.000        98.6924       0.461164       0.280676                 NaN            NaN  0.441284       0.124439                 NaN            NaN            NaN
  1398.69        500.000        98.7072       0.457990       0.272743                 NaN            NaN  0.436883       0.125168                 NaN            NaN            NaN
  1397.55        500.000        98.7263       0.453168       0.264165                 NaN            NaN  0.430627       0.125715                 NaN            NaN            NaN
  1396.42        500.000        98.7423       0.255716       0.449904                 NaN            NaN  0.425767       0.126285                 NaN            NaN            NaN
  1395.29        500.000        98.7579       0.445976       0.248164                 NaN            NaN  0.420849       0.127071                 NaN            NaN            NaN
  1394.16        500.000        98.7719       0.443023       0.240322                 NaN            NaN  0.416779       0.127946                 NaN            NaN            NaN
  1393.02        500.000        98.7922       0.232480       0.437564                 NaN            NaN  0.409985       0.127731                 NaN            NaN            NaN
  1391.89        500.000        99.3827       0.222954       0.112904                 NaN            NaN  0.212192       0.692787E-001            NaN            NaN            NaN
  1390.76        500.000        98.2291       0.340053       0.645306                 NaN            NaN  0.598900       0.186644                 NaN            NaN            NaN
  1389.63        500.000        98.8299       0.431284       0.208683                 NaN            NaN  0.399019       0.131135                 NaN            NaN            NaN
