|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/Y98/Y98_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        92.8756        2.70427        4.42014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.1699       0.524681       0.305436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.1762       0.303628       0.520124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1823       0.301049       0.516690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1871       0.513288       0.299602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.1913       0.297887       0.510766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1993       0.294713       0.506014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2033       0.292687       0.504039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1794       0.301076       0.519546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2419       0.278095       0.480009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2189       0.287117       0.493960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2229       0.490140       0.286134                 NaN  0.841254E-003            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2287       0.488094       0.283089                 NaN  0.109162E-003            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2321       0.487765       0.280175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.7562       0.485420       0.562857                 NaN            NaN  0.195490                 NaN            NaN            NaN            NaN
  1434.93        500.000        97.6805       0.736990       0.945840                 NaN            NaN  0.636669                 NaN            NaN            NaN            NaN
  1433.80        500.000        97.7199       0.725823       0.928559                 NaN            NaN  0.625727                 NaN            NaN            NaN            NaN
  1432.67        500.000        97.7614       0.910998       0.713331                 NaN            NaN  0.614302                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.7990       0.895032       0.702185                 NaN            NaN  0.603782                 NaN            NaN            NaN            NaN
  1430.40        500.000        97.8363       0.879640       0.690740                 NaN            NaN  0.593368                 NaN            NaN            NaN            NaN
  1429.27        500.000        97.8718       0.680478       0.863990                 NaN            NaN  0.583724                 NaN            NaN            NaN            NaN
  1428.13        500.000        97.9078       0.848782       0.669679                 NaN            NaN  0.573748                 NaN            NaN            NaN            NaN
  1427.00        500.000        97.9402       0.659564       0.835557                 NaN            NaN  0.564636                 NaN            NaN            NaN            NaN
  1425.87        500.000        97.9746       0.821296       0.649080                 NaN            NaN  0.554978                 NaN            NaN            NaN            NaN
  1424.74        500.000        98.0061       0.639943       0.807593                 NaN            NaN  0.546381                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.0345       0.631160       0.796004                 NaN            NaN  0.538323                 NaN            NaN            NaN            NaN
  1422.47        500.000        98.0672       0.781773       0.621937                 NaN            NaN  0.529134                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.0845       0.775569       0.615337                 NaN            NaN  0.524556                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.1336       0.753983       0.602374                 NaN            NaN  0.510069                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.1510       0.747360       0.596038                 NaN            NaN  0.505566                 NaN            NaN            NaN            NaN
  1417.94        500.000        98.1784       0.587736       0.735971                 NaN            NaN  0.497900                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.2029       0.725816       0.580234                 NaN            NaN  0.491024                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.2288       0.585649       0.655843                 NaN            NaN  0.489958       0.397447E-001            NaN            NaN            NaN
  1414.54        500.000        98.2497       0.570921       0.595553                 NaN            NaN  0.492228       0.916122E-001            NaN            NaN            NaN
  1413.41        500.000        98.2803       0.472536       0.607083                 NaN            NaN  0.492427       0.147646                 NaN            NaN            NaN
  1412.28        500.000        98.2991       0.461640       0.602481                 NaN            NaN  0.487500       0.149273                 NaN            NaN            NaN
  1411.15        500.000        97.9260       0.737757       0.556114                 NaN            NaN  0.594240       0.185867                 NaN            NaN            NaN
  1410.01        500.000        98.7420       0.331104       0.449960                 NaN            NaN  0.360747       0.116219                 NaN            NaN            NaN
  1408.88        500.000        98.3714       0.425017       0.583711                 NaN            NaN  0.467475       0.152383                 NaN            NaN            NaN
  1407.75        500.000        98.3913       0.579134       0.413271                 NaN            NaN  0.462245       0.154046                 NaN            NaN            NaN
  1406.61        500.000        98.4110       0.574389       0.402028                 NaN            NaN  0.457003       0.155589                 NaN            NaN            NaN
  1405.48        500.000        98.4347       0.568078       0.390710                 NaN            NaN  0.450170       0.156306                 NaN            NaN            NaN
  1404.35        500.000        98.4525       0.379685       0.564422                 NaN            NaN  0.445432       0.157956                 NaN            NaN            NaN
  1403.22        500.000        98.4726       0.369277       0.558986                 NaN            NaN  0.439919       0.159201                 NaN            NaN            NaN
  1402.08        500.000        98.4924       0.554163       0.358579                 NaN            NaN  0.434630       0.160262                 NaN            NaN            NaN
  1400.95        500.000        98.5116       0.549614       0.348365                 NaN            NaN  0.429152       0.161291                 NaN            NaN            NaN
