|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/WD94/WD94_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1602.56        2500.00       0.807211E-002   99.4856       0.350029       0.156342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00       0.869087E-003   99.3024       0.607337       0.893728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   99.8884       0.102144       0.946854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   98.7297        1.11292       0.157372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.3166       0.601812       0.815766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.3222       0.597405       0.804216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.3325       0.587528       0.800141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.3375       0.583561       0.789188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.3428       0.579133       0.780897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.3509       0.571983       0.770735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.3545       0.569131       0.763250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.3615       0.563945       0.745215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.3697       0.556983       0.732958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.3723       0.555349       0.723635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.3774       0.550415       0.722056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.3869       0.543437       0.696906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.3913       0.538534       0.701332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3961       0.535293       0.686306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.3988       0.532934       0.683116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.4096       0.523898       0.664798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.4115       0.522815       0.656800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4176       0.517217       0.651446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
