|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/ALH/ALH_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1525.64        500.000        99.9589       0.410523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.32        500.000        99.6556       0.185440       0.158939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.01        500.000        99.4365       0.811854E-002  0.555388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000        99.1713       0.514998E-001  0.772357       0.487325E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.37        500.000        99.7590       0.724004E-001  0.168612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        500.000        99.4481       0.236810E-001  0.528171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.74        500.000        99.4511                 NaN  0.548879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        500.000        99.4548                 NaN  0.545186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.10        500.000        99.4580                 NaN  0.541999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.4606       0.181274E-002  0.537542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.47        500.000        99.4639       0.124330E-005  0.536138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.15        500.000        99.4713       0.359921E-001  0.492722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000        99.4487                 NaN  0.551329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.51        500.000        99.6223       0.436411E-001  0.334074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.20        500.000        99.3530                 NaN  0.646969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        500.000        99.4817       0.444499E-005  0.518334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.56        500.000        99.4872                 NaN  0.512849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.24        500.000        99.4897       0.238640E-001  0.486420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.93        500.000        99.4872       0.196698E-005  0.512841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        500.000        99.4949                 NaN  0.505110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.29        500.000        99.4855       0.495368E-001  0.464941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000        99.5102                 NaN  0.489839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.66        500.000        99.5011                 NaN  0.498866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.5025                 NaN  0.497481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.02        500.000        99.5051                 NaN  0.494920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.5089                 NaN  0.491094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.39        500.000        99.5079                 NaN  0.478580                 NaN  0.135588E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000        99.3928                 NaN  0.268062E-001            NaN  0.580405                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.75        500.000        99.3862                 NaN  0.306093E-001            NaN  0.583161                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000        99.3853                 NaN            NaN            NaN  0.614659                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.12        500.000        99.3855                 NaN            NaN            NaN  0.614475                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000        99.3935                 NaN  0.172130                 NaN  0.434414                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.48        500.000        99.3875                 NaN  0.594652E-002            NaN  0.606535                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000        99.3872                 NaN            NaN            NaN  0.612783                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.85        500.000        99.3804                 NaN            NaN            NaN  0.619642                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000        99.3914                 NaN            NaN            NaN  0.608607                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.21        500.000        99.3843                 NaN            NaN            NaN  0.615684                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        500.000        99.3817                 NaN            NaN            NaN  0.618302                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.58        500.000        99.3812                 NaN            NaN            NaN  0.618770                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000        99.3792                 NaN            NaN            NaN  0.620825                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.94        500.000        99.3765                 NaN            NaN            NaN  0.623458                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000        99.3722                 NaN            NaN            NaN  0.627804                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.31        500.000        99.3683                 NaN            NaN            NaN  0.631685                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000        98.8644                 NaN            NaN            NaN  0.186658       0.948913                 NaN            NaN            NaN            NaN            NaN
  1467.67        500.000        99.7051                 NaN            NaN            NaN  0.291999       0.285541E-002            NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        99.1061                 NaN            NaN            NaN  0.475147       0.418778                 NaN            NaN            NaN            NaN            NaN
  1465.04        500.000        98.9974                 NaN            NaN            NaN  0.392589       0.610029                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000        99.0057                 NaN            NaN            NaN  0.605157       0.389185                 NaN            NaN            NaN            NaN            NaN
  1462.41        500.000        99.0139                 NaN            NaN            NaN  0.386161       0.599948                 NaN            NaN            NaN            NaN            NaN
  1461.09        500.000        99.0286                 NaN            NaN            NaN  0.379496       0.591861                 NaN            NaN            NaN            NaN            NaN
  1459.77        500.000        99.0230                 NaN            NaN            NaN  0.382072       0.594935                 NaN            NaN            NaN            NaN            NaN
  1458.45        500.000        99.0406                 NaN            NaN            NaN  0.583718       0.375691                 NaN            NaN            NaN            NaN            NaN
  1457.14        500.000        99.0458                 NaN            NaN            NaN  0.580549       0.373611                 NaN            NaN            NaN            NaN            NaN
  1455.82        500.000        99.0554                 NaN            NaN            NaN  0.369246       0.575401                 NaN            NaN            NaN            NaN            NaN
  1454.50        500.000        99.0622                 NaN            NaN            NaN  0.570993       0.366843                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000        99.0706                 NaN            NaN            NaN  0.363884       0.565476                 NaN            NaN            NaN            NaN            NaN
  1451.87        500.000        98.9185                 NaN            NaN            NaN  0.658442       0.423020                 NaN            NaN            NaN            NaN            NaN
  1450.55        500.000        99.2434                 NaN            NaN            NaN  0.461031       0.295615                 NaN            NaN            NaN            NaN            NaN
  1449.23        500.000        99.0909                 NaN            NaN            NaN  0.553454       0.355629                 NaN            NaN            NaN            NaN            NaN
  1447.91        500.000        99.1000                 NaN            NaN            NaN  0.547559       0.352458                 NaN            NaN            NaN            NaN            NaN
  1446.60        500.000        99.1071                 NaN            NaN            NaN  0.543556       0.349354                 NaN            NaN            NaN            NaN            NaN
  1445.28        500.000        99.1139                 NaN            NaN            NaN  0.346359       0.539787                 NaN            NaN            NaN            NaN            NaN
  1443.96        500.000        99.1199                 NaN            NaN            NaN  0.344687       0.535452                 NaN            NaN            NaN            NaN            NaN
  1442.64        500.000        99.1278                 NaN            NaN            NaN  0.341173       0.531065                 NaN            NaN            NaN            NaN            NaN
  1441.33        500.000        99.1336                 NaN            NaN            NaN  0.338803       0.527607                 NaN            NaN            NaN            NaN            NaN
  1440.01        500.000        99.1407                 NaN            NaN            NaN  0.523079       0.336234                 NaN            NaN            NaN            NaN            NaN
  1438.69        500.000        99.1473                 NaN            NaN            NaN  0.519301       0.333390                 NaN            NaN            NaN            NaN            NaN
  1437.37        500.000        99.1531                 NaN            NaN  0.103183E-002  0.331922       0.513941                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.1596                 NaN            NaN  0.177996E-002  0.508671       0.329979                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000        99.3558                 NaN            NaN  0.980509E-003  0.643219                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.42        500.000        98.9810                 NaN            NaN  0.241341E-002  0.645283       0.371268                 NaN            NaN            NaN            NaN            NaN
  1432.11        500.000        99.1784                 NaN            NaN  0.159225E-002  0.322305       0.497657                 NaN            NaN            NaN            NaN            NaN
  1430.79        500.000        99.1846                 NaN            NaN  0.153868E-002  0.494158       0.319685                 NaN            NaN            NaN            NaN            NaN
  1429.47        500.000        99.1909                 NaN            NaN  0.146396E-002  0.490585       0.317072                 NaN            NaN            NaN            NaN            NaN
  1428.15        500.000        99.1960                 NaN            NaN  0.140725E-002  0.487647       0.314992                 NaN            NaN            NaN            NaN            NaN
  1426.84        500.000        99.2032                 NaN            NaN  0.135314E-002  0.312313       0.483134                 NaN            NaN            NaN            NaN            NaN
  1425.52        500.000        99.2079                 NaN            NaN  0.128776E-002  0.480548       0.310252                 NaN            NaN            NaN            NaN            NaN
  1424.20        500.000        99.2125                 NaN            NaN  0.123911E-002  0.308105       0.478115                 NaN            NaN            NaN            NaN            NaN
  1422.88        500.000        99.2203                 NaN            NaN  0.119015E-002  0.305162       0.473321                 NaN            NaN            NaN            NaN            NaN
  1421.57        500.000        99.2244                 NaN            NaN  0.111880E-002  0.471389       0.303131                 NaN            NaN            NaN            NaN            NaN
  1420.25        500.000        98.9402                 NaN            NaN  0.144491E-002  0.414168       0.644156                 NaN            NaN            NaN            NaN            NaN
  1418.93        500.000        99.5285                 NaN            NaN  0.630110E-003  0.286568       0.184309                 NaN            NaN            NaN            NaN            NaN
  1417.61        500.000        99.2408                 NaN            NaN  0.966995E-003  0.461701       0.296487                 NaN            NaN            NaN            NaN            NaN
  1416.30        500.000        99.2465                 NaN            NaN  0.922371E-003  0.294169       0.458369                 NaN            NaN            NaN            NaN            NaN
  1414.98        500.000        99.2501                 NaN            NaN  0.874047E-003  0.456267       0.292766                 NaN            NaN            NaN            NaN            NaN
  1413.66        500.000        99.2574                 NaN            NaN  0.826391E-003  0.452026       0.289737                 NaN            NaN            NaN            NaN            NaN
  1412.34        500.000        99.2614                 NaN            NaN  0.777319E-003  0.288072       0.449757                 NaN            NaN            NaN            NaN            NaN
  1411.03        500.000        98.7997                 NaN            NaN  0.233838E-004  0.502513       0.488098                 NaN  0.209630                 NaN            NaN            NaN
  1409.71        500.000        98.1991                 NaN            NaN            NaN  0.567239       0.750290                 NaN  0.483378                 NaN            NaN            NaN
  1408.39        500.000        98.6717                 NaN            NaN  0.769780E-003  0.553998       0.416747                 NaN  0.356815                 NaN            NaN            NaN
  1407.07        500.000        97.8089                 NaN            NaN            NaN  0.691515       0.912192                 NaN  0.587392                 NaN            NaN            NaN
  1405.76        500.000        98.2745                 NaN            NaN            NaN  0.718757       0.543812                 NaN  0.462897                 NaN            NaN            NaN
  1404.44        500.000        98.3181                 NaN            NaN            NaN  0.530758       0.700173                 NaN  0.450924                 NaN            NaN            NaN
  1403.12        500.000        98.3344                 NaN            NaN            NaN  0.693198       0.525940                 NaN  0.446451                 NaN            NaN            NaN
  1401.81        500.000        98.3576                 NaN            NaN            NaN  0.518504       0.683857                 NaN  0.440083                 NaN            NaN            NaN
  1400.49        500.000        98.3809                 NaN            NaN            NaN  0.511211       0.674162                 NaN  0.433687                 NaN            NaN            NaN
  1399.17        500.000        98.4047                 NaN            NaN            NaN  0.504006       0.664202                 NaN  0.427072                 NaN            NaN            NaN
  1397.85        500.000        98.4266                 NaN            NaN            NaN  0.496955       0.655469                 NaN  0.420930                 NaN            NaN            NaN
  1396.54        500.000        98.4482                 NaN            NaN            NaN  0.490134       0.646717                 NaN  0.414935                 NaN            NaN            NaN
  1395.22        500.000        98.4677                 NaN            NaN            NaN  0.483843       0.638918                 NaN  0.409574                 NaN            NaN            NaN
  1393.90        500.000        98.4901                 NaN            NaN            NaN  0.629564       0.476991                 NaN  0.403368                 NaN            NaN            NaN
  1392.58        500.000        98.5094                 NaN            NaN            NaN  0.471064       0.621549                 NaN  0.398025                 NaN            NaN            NaN
  1391.27        500.000        98.5292                 NaN            NaN            NaN  0.464595       0.613821                 NaN  0.392411                 NaN            NaN            NaN
  1389.95        500.000        98.5475                 NaN            NaN            NaN  0.606279       0.458738                 NaN  0.387440                 NaN            NaN            NaN
  1388.63        500.000        98.5669                 NaN            NaN            NaN  0.452907       0.598069                 NaN  0.382090                 NaN            NaN            NaN
  1387.31        500.000        98.5829                 NaN            NaN            NaN  0.591865       0.447931                 NaN  0.377322                 NaN            NaN            NaN
  1386.00        500.000        98.6028                 NaN            NaN            NaN  0.584171       0.441087                 NaN  0.371963                 NaN            NaN            NaN
  1384.68        500.000        98.6193                 NaN            NaN            NaN  0.436041       0.577376                 NaN  0.367242                 NaN            NaN            NaN
  1383.36        500.000        98.6355                 NaN            NaN            NaN  0.430652       0.571180                 NaN  0.362668                 NaN            NaN            NaN
  1382.04        500.000        98.6531                 NaN            NaN            NaN  0.564612       0.424409                 NaN  0.357862                 NaN            NaN            NaN
  1380.73        500.000        98.6682                 NaN            NaN            NaN  0.419807       0.558383                 NaN  0.353593                 NaN            NaN            NaN
  1379.41        500.000        98.6841                 NaN            NaN            NaN  0.414650       0.552085                 NaN  0.349138                 NaN            NaN            NaN
  1378.09        500.000        98.6996                 NaN            NaN            NaN  0.409745       0.545929                 NaN  0.344767                 NaN            NaN            NaN
  1376.77        500.000        98.7134                 NaN            NaN            NaN  0.540567       0.405224                 NaN  0.340769                 NaN            NaN            NaN
  1375.46        500.000        98.7278                 NaN            NaN            NaN  0.535030       0.400392                 NaN  0.336762                 NaN            NaN            NaN
  1374.14        500.000        98.7428                 NaN            NaN            NaN  0.529192       0.395357                 NaN  0.332684                 NaN            NaN            NaN
  1372.82        500.000        98.7558                 NaN            NaN            NaN  0.391148       0.524324                 NaN  0.328759                 NaN            NaN            NaN
  1371.50        500.000        98.7667                 NaN            NaN            NaN  0.387153       0.520998                 NaN  0.325197                 NaN            NaN            NaN
  1370.19        500.000        98.7845                 NaN            NaN            NaN  0.381426       0.513367                 NaN  0.320705                 NaN            NaN            NaN
  1368.87        500.000        98.7963                 NaN            NaN            NaN  0.508823       0.377596                 NaN  0.317279                 NaN            NaN            NaN
  1367.55        500.000        98.8050                 NaN            NaN            NaN  0.374894       0.505438                 NaN  0.314714                 NaN            NaN            NaN
  1366.24        500.000        98.8226                 NaN            NaN            NaN  0.368999       0.498483                 NaN  0.309900                 NaN            NaN            NaN
  1364.92        500.000        98.8321                 NaN            NaN            NaN  0.366050       0.494806                 NaN  0.307070                 NaN            NaN            NaN
  1363.60        500.000        98.8457                 NaN            NaN            NaN  0.360824       0.490153                 NaN  0.303344                 NaN            NaN            NaN
  1362.28        500.000        98.8566                 NaN            NaN            NaN  0.485085       0.358068                 NaN  0.300253                 NaN            NaN            NaN
  1360.97        500.000        98.8683                 NaN            NaN            NaN  0.352951       0.481827                 NaN  0.296938                 NaN            NaN            NaN
  1359.65        500.000        98.8792                 NaN            NaN            NaN  0.349429       0.477642                 NaN  0.293731                 NaN            NaN            NaN
  1358.33        500.000        98.8889                 NaN            NaN            NaN  0.346104       0.474223                 NaN  0.290818                 NaN            NaN            NaN
  1357.01        500.000        98.8976                 NaN            NaN            NaN  0.470989       0.343109                 NaN  0.288338                 NaN            NaN            NaN
  1355.70        500.000        98.9116                 NaN            NaN            NaN  0.465660       0.338360                 NaN  0.284332                 NaN            NaN            NaN
  1354.38        500.000        98.9198                 NaN            NaN            NaN  0.335338       0.462806                 NaN  0.282015                 NaN            NaN            NaN
  1353.06        500.000        98.9296                 NaN            NaN            NaN  0.459483       0.331781                 NaN  0.279113                 NaN            NaN            NaN
  1351.74        500.000        98.9393                 NaN            NaN            NaN  0.328673       0.455743                 NaN  0.276285                 NaN            NaN            NaN
  1350.43        500.000        98.9444                 NaN            NaN            NaN  0.454531       0.326186                 NaN  0.274875                 NaN            NaN            NaN
  1349.11        500.000        98.9621                 NaN            NaN            NaN  0.320910       0.447453                 NaN  0.269538                 NaN            NaN            NaN
  1347.79        500.000        98.9675                 NaN            NaN            NaN  0.318349       0.446021                 NaN  0.268169                 NaN            NaN            NaN
  1346.47        500.000        98.9754                 NaN            NaN            NaN  0.315576       0.443225                 NaN  0.265776                 NaN            NaN            NaN
  1345.16        500.000        98.9848                 NaN            NaN            NaN  0.439668       0.312340                 NaN  0.263151                 NaN            NaN            NaN
  1343.84        500.000        98.9919                 NaN            NaN            NaN  0.309230       0.437954                 NaN  0.260932                 NaN            NaN            NaN
  1342.52        500.000        99.0016                 NaN            NaN            NaN  0.434114       0.306044                 NaN  0.258241                 NaN            NaN            NaN
  1341.20        500.000        99.0068                 NaN            NaN            NaN  0.304064       0.432505                 NaN  0.256638                 NaN            NaN            NaN
  1339.89        500.000        99.0159                 NaN            NaN            NaN  0.429805       0.300323                 NaN  0.253969                 NaN            NaN            NaN
  1338.57        500.000        99.0256                 NaN            NaN            NaN  0.426210       0.297167                 NaN  0.251044                 NaN            NaN            NaN
  1337.25        500.000        99.0324                 NaN            NaN            NaN  0.423807       0.294662                 NaN  0.249111                 NaN            NaN            NaN
  1335.94        500.000        99.0387                 NaN            NaN            NaN  0.291768       0.422246                 NaN  0.247282                 NaN            NaN            NaN
  1334.62        500.000        99.0464       0.119474E-005            NaN            NaN  0.288952       0.419467                 NaN  0.245182                 NaN            NaN            NaN
  1333.30        500.000        99.0535                 NaN            NaN            NaN  0.416851       0.286659                 NaN  0.242973                 NaN            NaN            NaN
  1331.98        500.000        99.0609                 NaN            NaN            NaN  0.283358       0.414700                 NaN  0.241037                 NaN            NaN            NaN
  1330.67        500.000        99.0679                 NaN            NaN            NaN  0.412547       0.280740                 NaN  0.238828                 NaN            NaN            NaN
  1329.35        500.000        99.0738                 NaN            NaN            NaN  0.410540       0.278593                 NaN  0.237058                 NaN            NaN            NaN
  1328.03        500.000        99.0791                 NaN            NaN            NaN  0.408771       0.276712                 NaN  0.235413                 NaN            NaN            NaN
  1326.71        500.000        99.0876                 NaN            NaN            NaN  0.406499       0.272946                 NaN  0.232942                 NaN            NaN            NaN
  1325.40        500.000        99.0931                 NaN            NaN            NaN  0.405084       0.270380                 NaN  0.231441                 NaN            NaN            NaN
  1324.08        500.000        99.0800       0.562544E-001            NaN            NaN  0.302606       0.318967                 NaN  0.242152                 NaN            NaN            NaN
  1322.76        500.000        99.1261                 NaN            NaN            NaN  0.261361       0.390774                 NaN  0.221807                 NaN            NaN            NaN
  1321.44        500.000        99.1157       0.701272E-001            NaN            NaN  0.300079       0.280478                 NaN  0.233585                 NaN            NaN            NaN
  1320.13        500.000        99.1329       0.179882                 NaN            NaN  0.899348E-001  0.355022                 NaN  0.242213                 NaN            NaN            NaN
  1318.81        500.000        99.1385       0.177893                 NaN            NaN  0.353081       0.903475E-001            NaN  0.240221                 NaN            NaN            NaN
  1317.49        500.000        99.1452       0.175978                 NaN            NaN  0.901030E-001  0.350750                 NaN  0.237976                 NaN            NaN            NaN
  1316.17        500.000        99.1520       0.174835                 NaN            NaN  0.348555       0.887637E-001            NaN  0.235826                 NaN            NaN            NaN
  1314.86        500.000        99.1585       0.171796                 NaN            NaN  0.904692E-001  0.345784                 NaN  0.233501                 NaN            NaN            NaN
  1313.54        500.000        99.1654       0.170024                 NaN            NaN  0.343123       0.901788E-001            NaN  0.231303                 NaN            NaN            NaN
  1312.22        500.000        99.1719       0.168120                 NaN            NaN  0.340019       0.907659E-001            NaN  0.229225                 NaN            NaN            NaN
  1310.90        500.000        99.1761       0.165790                 NaN            NaN  0.337703       0.927048E-001            NaN  0.227663                 NaN            NaN            NaN
  1309.59        500.000        99.1853       0.163182                 NaN            NaN  0.335401       0.915905E-001            NaN  0.224501                 NaN            NaN            NaN
  1308.27        500.000        99.1894       0.160591                 NaN            NaN  0.945152E-001  0.332501                 NaN  0.223040                 NaN            NaN            NaN
  1306.95        500.000        99.1955       0.158199                 NaN            NaN  0.951473E-001  0.330134                 NaN  0.220973                 NaN            NaN            NaN
  1305.64        500.000        99.2002       0.155080                 NaN            NaN  0.326423       0.990476E-001            NaN  0.219281                 NaN            NaN            NaN
  1304.32        500.000        99.2057       0.154584                 NaN            NaN  0.326822       0.953956E-001            NaN  0.217461                 NaN            NaN            NaN
  1303.00        500.000        99.2128       0.148678                 NaN            NaN  0.103039       0.320722                 NaN  0.214765                 NaN            NaN            NaN
  1301.68        500.000        99.2177       0.147466                 NaN            NaN  0.319872       0.101812                 NaN  0.213118                 NaN            NaN            NaN
  1300.37        500.000        99.2226       0.144468                 NaN            NaN  0.104943       0.316598                 NaN  0.211395                 NaN            NaN            NaN
  1299.05        500.000        99.2246       0.144790                 NaN            NaN  0.319385       0.982010E-001            NaN  0.210486       0.258288E-002            NaN            NaN
  1297.73        500.000        99.1307       0.148357                 NaN            NaN  0.579953E-001  0.374419                 NaN  0.229479       0.590243E-001            NaN            NaN
  1296.41        500.000        99.1478       0.170149                 NaN            NaN  0.395197                 NaN            NaN  0.227306       0.595205E-001            NaN            NaN
  1295.10        500.000        99.1575       0.168661                 NaN            NaN  0.390726                 NaN            NaN  0.224624       0.585300E-001            NaN            NaN
  1293.78        500.000        99.1671       0.166979                 NaN            NaN  0.386294                 NaN            NaN  0.222074       0.575759E-001            NaN            NaN
  1292.46        500.000        99.1744       0.169044                 NaN            NaN  0.379050                 NaN            NaN  0.220683       0.568664E-001            NaN            NaN
