|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1605.77        2500.00       0.383965E-002   99.3895       0.577186       0.142873E-001  0.152107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00       0.378980E-003   99.1993       0.716049       0.824348E-001  0.184335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00                 NaN   99.2062       0.710135       0.836440E-001  0.152907E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.2140       0.704397       0.810728E-001  0.548324E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN   99.2212       0.695446       0.833326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.2199       0.702075       0.770321E-001  0.102275E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN   99.2468       0.674484       0.786949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN   99.2441       0.677409       0.785168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN   99.2512       0.671231       0.775602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.2565       0.668774       0.747694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN   99.2637       0.661973       0.743647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN   99.2747       0.648493       0.767743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
