|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/LAR/LAR_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1400.64        500.000       0.137743E-001   96.4960        1.20621        1.03738       0.849166E-001   1.16174                 NaN            NaN            NaN
  1399.64        500.000                 NaN   98.9789       0.320887       0.279912       0.741064E-001  0.346153                 NaN            NaN            NaN
  1398.63        500.000                 NaN   98.9893       0.318759       0.273950       0.748584E-001  0.343092                 NaN            NaN            NaN
  1397.63        500.000                 NaN   99.0066       0.313673       0.268212       0.742820E-001  0.337262                 NaN            NaN            NaN
  1396.62        500.000                 NaN   99.0166       0.261854       0.311832       0.753613E-001  0.334314                 NaN            NaN            NaN
  1395.62        500.000                 NaN   99.0289       0.256626       0.308730       0.754002E-001  0.330347                 NaN            NaN            NaN
  1394.62        500.000                 NaN   99.0408       0.304734       0.252341       0.755423E-001  0.326537                 NaN            NaN            NaN
  1393.61        500.000                 NaN   99.0517       0.246579       0.302758       0.758688E-001  0.323100                 NaN            NaN            NaN
  1392.61        500.000                 NaN   99.0624       0.241928       0.299938       0.760256E-001  0.319669                 NaN            NaN            NaN
  1391.60        500.000                 NaN   99.0731       0.297037       0.236538       0.768255E-001  0.316504                 NaN            NaN            NaN
  1390.60        500.000                 NaN   99.0860       0.231777       0.294283       0.761317E-001  0.311838                 NaN            NaN            NaN
  1389.59        500.000                 NaN   99.0943       0.292287       0.226684       0.770651E-001  0.309626                 NaN            NaN            NaN
  1388.59        500.000                 NaN   99.0760       0.298578       0.229866       0.796240E-001  0.315911                 NaN            NaN            NaN
  1387.59        500.000                 NaN   99.1471       0.276470       0.210025       0.745011E-001  0.291882                 NaN            NaN            NaN
  1386.58        500.000                 NaN   99.1274       0.283417       0.213153       0.771903E-001  0.298833                 NaN            NaN            NaN
  1385.58        500.000                 NaN   99.1364       0.208317       0.281469       0.777485E-001  0.296101                 NaN            NaN            NaN
  1384.57        500.000                 NaN   99.1472       0.203850       0.278702       0.777202E-001  0.292516                 NaN            NaN            NaN
  1383.57        500.000                 NaN   99.1563       0.276512       0.199380       0.781007E-001  0.289671                 NaN            NaN            NaN
  1382.57        500.000                 NaN   99.1653       0.274232       0.195852       0.779508E-001  0.286704                 NaN            NaN            NaN
  1381.56        500.000                 NaN   99.1752       0.271713       0.191077       0.784778E-001  0.283582                 NaN            NaN            NaN
  1380.56        500.000                 NaN   99.1845       0.187319       0.269369       0.783523E-001  0.280505                 NaN            NaN            NaN
  1379.55        500.000                 NaN   99.6307       0.828514E-001  0.122713       0.363949E-001  0.127339                 NaN            NaN            NaN
  1378.55        500.000                 NaN   98.8448       0.507493                 NaN  0.227360       0.420360                 NaN            NaN            NaN
  1377.55        500.000                 NaN   99.1346       0.403235       0.181012       0.871109E-006  0.281106                 NaN            NaN            NaN
  1376.54        500.000                 NaN   99.2147       0.246545       0.224302       0.494990E-001  0.264936                 NaN            NaN            NaN
  1375.54        500.000                 NaN   99.2278       0.258529       0.168442       0.788197E-001  0.266392                 NaN            NaN            NaN
  1374.53        500.000                 NaN   99.2365       0.256374       0.164466       0.789970E-001  0.263702                 NaN            NaN            NaN
  1373.53        500.000                 NaN   99.2887       0.311879                 NaN  0.140623       0.258757                 NaN            NaN            NaN
  1372.52        500.000                 NaN   99.2077       0.318347       0.196181       0.170048E-001  0.260738                 NaN            NaN            NaN
  1371.52        500.000                 NaN   99.2600       0.250891       0.154178       0.790461E-001  0.255889                 NaN            NaN            NaN
  1370.52        500.000                 NaN   99.2679       0.149999       0.249136       0.795218E-001  0.253459                 NaN            NaN            NaN
  1369.51        500.000                 NaN   99.2755       0.247291       0.147387       0.789911E-001  0.250841                 NaN            NaN            NaN
  1368.51        500.000                 NaN   99.2603       0.149212       0.252647       0.816071E-001  0.256253                 NaN            NaN            NaN
  1367.50        500.000                 NaN   99.3145       0.235385       0.135241       0.770778E-001  0.237841                 NaN            NaN            NaN
  1366.50        500.000                 NaN   99.2843       0.213425       0.222939       0.392508E-001  0.240089                 NaN            NaN            NaN
  1365.50        500.000                 NaN   99.3169       0.259287       0.612046E-001  0.118199       0.244435                 NaN            NaN            NaN
  1364.49        500.000                 NaN   99.3123       0.132131       0.237937       0.789959E-001  0.238659                 NaN            NaN            NaN
  1363.49        500.000                 NaN   99.3195       0.236317       0.128892       0.790128E-001  0.236250                 NaN            NaN            NaN
  1362.48        500.000                 NaN   99.3262       0.126542       0.234346       0.789130E-001  0.234045                 NaN            NaN            NaN
  1361.48        500.000                 NaN   99.3329       0.233201       0.123257       0.788613E-001  0.231753                 NaN            NaN            NaN
  1360.48        500.000                 NaN   99.3387       0.120286       0.232399       0.788579E-001  0.229778                 NaN            NaN            NaN
  1359.47        500.000                 NaN   99.3451       0.225516       0.131080       0.719578E-001  0.226367                 NaN            NaN            NaN
  1358.47        500.000                 NaN   99.3540       0.104634       0.231421       0.842312E-001  0.225756                 NaN            NaN            NaN
  1357.46        500.000                 NaN   99.3589       0.113096       0.226640       0.783208E-001  0.223004                 NaN            NaN            NaN
  1356.46        500.000                 NaN   99.3648       0.222682       0.117854       0.743426E-001  0.220278                 NaN            NaN            NaN
  1355.46        500.000                 NaN   99.3720       0.225752       0.101447       0.815738E-001  0.219182                 NaN            NaN            NaN
  1354.45        500.000                 NaN   99.3778       0.106713       0.221495       0.774417E-001  0.216534                 NaN            NaN            NaN
  1353.45        500.000                 NaN   99.3841       0.104116       0.219980       0.773453E-001  0.214418                 NaN            NaN            NaN
  1352.44        500.000                 NaN   99.3880       0.219585       0.101995       0.772795E-001  0.213132                 NaN            NaN            NaN
  1351.44        500.000                 NaN   99.3959       0.217218       0.100025       0.766631E-001  0.210224                 NaN            NaN            NaN
  1350.43        500.000                 NaN   99.4015       0.215774       0.977875E-001  0.765734E-001  0.208382                 NaN            NaN            NaN
  1349.43        500.000                 NaN   99.4073       0.214130       0.958367E-001  0.763215E-001  0.206428                 NaN            NaN            NaN
  1348.43        500.000                 NaN   99.4130       0.928127E-001  0.212985       0.766057E-001  0.204615                 NaN            NaN            NaN
  1347.42        500.000                 NaN   99.4179       0.210897       0.919846E-001  0.762481E-001  0.202952                 NaN            NaN            NaN
  1346.42        500.000                 NaN   99.4244       0.919131E-001  0.209093       0.743669E-001  0.200232                 NaN            NaN            NaN
  1345.41        500.000                 NaN   99.4289       0.893686E-001  0.207769       0.749418E-001  0.198979                 NaN            NaN            NaN
  1344.41        500.000                 NaN   99.4348       0.207041       0.860262E-001  0.751061E-001  0.196990                 NaN            NaN            NaN
  1343.41        500.000                 NaN   99.4398       0.205539       0.855018E-001  0.741410E-001  0.195029                 NaN            NaN            NaN
  1342.40        500.000                 NaN   99.4444       0.204570       0.839353E-001  0.736603E-001  0.193410                 NaN            NaN            NaN
  1341.40        500.000                 NaN   99.4499       0.822050E-001  0.202854       0.734705E-001  0.191557                 NaN            NaN            NaN
  1340.39        500.000                 NaN   99.4540       0.201678       0.807814E-001  0.732978E-001  0.190266                 NaN            NaN            NaN
  1339.39        500.000                 NaN   99.4602       0.800407E-001  0.199798       0.722249E-001  0.187761                 NaN            NaN            NaN
  1338.39        500.000                 NaN   99.4649       0.198504       0.787669E-001  0.717293E-001  0.186126                 NaN            NaN            NaN
  1337.38        500.000                 NaN   99.4499       0.187065       0.894627E-001  0.801523E-001  0.193372                 NaN            NaN            NaN
  1336.38        500.000                 NaN   99.4798       0.109896       0.185470       0.484793E-001  0.176384                 NaN            NaN            NaN
  1335.37        500.000                 NaN   99.4939       0.215231       0.267772E-001  0.854276E-001  0.178684                 NaN            NaN            NaN
  1334.37        500.000                 NaN   99.4831       0.193168       0.742322E-001  0.698550E-001  0.179669                 NaN            NaN            NaN
  1333.36        500.000                 NaN   99.4881       0.191561       0.729587E-001  0.694950E-001  0.177853                 NaN            NaN            NaN
  1332.36        500.000                 NaN   99.4908       0.673080E-001  0.194234       0.704806E-001  0.177152                 NaN            NaN            NaN
  1331.36        500.000                 NaN   99.4985       0.724169E-001  0.187852       0.674756E-001  0.173804                 NaN            NaN            NaN
  1330.35        500.000                 NaN   99.5013       0.187623       0.703504E-001  0.676901E-001  0.173031                 NaN            NaN            NaN
  1329.35        500.000                 NaN   99.5059       0.654368E-001  0.187910       0.690500E-001  0.171704                 NaN            NaN            NaN
  1328.34        500.000                 NaN   99.5094       0.183469       0.728441E-001  0.645582E-001  0.169752                 NaN            NaN            NaN
  1327.34        500.000                 NaN   99.6243       0.510004E-001  0.142659       0.515022E-001  0.130529                 NaN            NaN            NaN
  1326.34        500.000                 NaN   99.4065       0.223465       0.859850E-001  0.790164E-001  0.205078                 NaN            NaN            NaN
