|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1560.90        500.000       0.101832E-001   99.5985       0.356648       0.346421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000       0.514276E-002   99.1552       0.824815       0.148213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000                 NaN   99.1398       0.860229       0.108999E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.1509       0.849085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN   99.1544       0.845617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN   99.1579       0.842116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN   99.1616       0.838383       0.108275E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN   99.1673       0.832718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN   99.1717       0.828283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN   99.1731       0.826856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   99.1767       0.823317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN   99.1828       0.817212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000                 NaN   99.1897       0.810286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN   99.1891       0.810933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN   99.1935       0.806521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN   99.1960       0.803957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN   99.2000       0.799989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.0808       0.276401                 NaN  0.642780                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN   98.9693                 NaN            NaN   1.03074                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN   98.9585                 NaN            NaN   1.04154                 NaN            NaN            NaN            NaN            NaN            NaN
