|6.6.6
Archiving\03_Data\eq/QFM_m0.25/TIS/TIS_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.1928       0.801525       0.565161E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1927       0.801604       0.565165E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1927       0.801684       0.565168E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1926       0.801764       0.565172E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1925       0.801844       0.565177E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1924       0.801924       0.565181E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1923       0.802004       0.565185E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1923       0.802084       0.565190E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1922       0.802164       0.565194E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1921       0.802244       0.565199E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1920       0.802324       0.565203E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1919       0.802403       0.565208E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1919       0.802483       0.565213E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1918       0.802563       0.565218E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1917       0.802643       0.565223E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1916       0.802724       0.565228E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1915       0.802804       0.565233E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1915       0.802883       0.565238E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1914       0.802963       0.565244E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1913       0.803043       0.565249E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1912       0.803123       0.565254E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1911       0.803203       0.565260E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1911       0.803283       0.565266E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1910       0.803363       0.565272E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1909       0.803444       0.565278E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1908       0.803523       0.565283E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1907       0.803603       0.565289E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1907       0.803683       0.565295E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1906       0.803763       0.565301E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1905       0.803843       0.565308E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1904       0.803923       0.565314E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1903       0.804003       0.565320E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1903       0.804083       0.565327E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1902       0.804163       0.565333E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1901       0.804243       0.565340E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1900       0.804323       0.565346E-002            NaN            NaN            NaN            NaN            NaN            NaN
