|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1394.23        500.000       0.120154E-002   99.9854       0.133778E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1393.24        500.000                 NaN   99.6948       0.159977E-001  0.507451E-001  0.238473                 NaN            NaN            NaN            NaN
  1392.25        500.000                 NaN   99.2705       0.405533E-001  0.233630       0.269460       0.185894                 NaN            NaN            NaN
  1391.27        500.000                 NaN   99.0518       0.807743E-001  0.266542       0.288761       0.312089                 NaN            NaN            NaN
  1390.28        500.000                 NaN   99.0359       0.839660E-001  0.294385       0.267930       0.317798                 NaN            NaN            NaN
  1389.29        500.000       0.119095E-002   99.8622       0.114466E-001  0.386013E-001  0.411206E-001  0.454093E-001            NaN            NaN            NaN
  1388.30        500.000                 NaN   98.3245       0.148449       0.512654       0.461620       0.552741                 NaN            NaN            NaN
  1387.31        500.000                 NaN   99.0927       0.824700E-001  0.278430       0.246678       0.299763                 NaN            NaN            NaN
  1386.33        500.000                 NaN   99.0936       0.837005E-001  0.278482       0.244508       0.299695                 NaN            NaN            NaN
  1385.34        500.000       0.625881E-003   99.8894       0.104612E-001  0.303496E-001  0.324106E-001  0.367497E-001            NaN            NaN            NaN
  1384.35        500.000                 NaN   98.3583       0.153848       0.439437       0.505146       0.543264                 NaN            NaN            NaN
  1383.36        500.000                 NaN   99.1318       0.836989E-001  0.267973       0.228770       0.287779                 NaN            NaN            NaN
  1382.37        500.000                 NaN   99.1091       0.879909E-001  0.231260       0.276044       0.295637                 NaN            NaN            NaN
  1381.39        500.000                 NaN   99.1824       0.803269E-001  0.213093       0.253091       0.271096                 NaN            NaN            NaN
  1380.40        500.000                 NaN   99.1576       0.845481E-001  0.216795       0.261246       0.279776                 NaN            NaN            NaN
  1379.41        500.000                 NaN   99.1640       0.851499E-001  0.212172       0.260577       0.278147                 NaN            NaN            NaN
  1378.42        500.000                 NaN   99.0949       0.922883E-001  0.280678       0.230928       0.301185                 NaN            NaN            NaN
  1377.43        500.000                 NaN   99.2682       0.777444E-001  0.228533       0.181973       0.243503                 NaN            NaN            NaN
  1376.45        500.000                 NaN   99.1930       0.854842E-001  0.251859       0.201054       0.268569                 NaN            NaN            NaN
  1375.46        500.000                 NaN   98.3356       0.180973       0.404201       0.523776       0.555487                 NaN            NaN            NaN
  1374.47        500.000                 NaN   99.9805       0.229794E-002  0.452161E-002  0.617069E-002  0.651236E-002            NaN            NaN            NaN
  1373.48        500.000                 NaN   99.9696       0.339656E-002  0.733685E-002  0.947242E-002  0.101575E-001            NaN            NaN            NaN
  1372.49        500.000                 NaN   98.5798       0.157209       0.342208       0.446806       0.474014                 NaN            NaN            NaN
  1371.50        500.000                 NaN   99.2318       0.869227E-001  0.181968       0.242592       0.256677                 NaN            NaN            NaN
  1370.52        500.000                 NaN   99.2400       0.870006E-001  0.240247       0.178618       0.254178                 NaN            NaN            NaN
  1369.53        500.000                 NaN   99.2463       0.874097E-001  0.238687       0.175319       0.252267                 NaN            NaN            NaN
  1368.54        500.000                 NaN   99.2551       0.873858E-001  0.236336       0.171734       0.249447                 NaN            NaN            NaN
  1367.55        500.000                 NaN   99.2611       0.883057E-001  0.167949       0.234916       0.247777                 NaN            NaN            NaN
  1366.56        500.000                 NaN   99.2696       0.870461E-001  0.166192       0.232501       0.244684                 NaN            NaN            NaN
  1365.58        500.000                 NaN   99.2752       0.884535E-001  0.161619       0.231446       0.243252                 NaN            NaN            NaN
  1364.59        500.000                 NaN   99.2825       0.880707E-001  0.159297       0.229286       0.240887                 NaN            NaN            NaN
  1363.60        500.000                 NaN   99.2898       0.882690E-001  0.155728       0.227725       0.238500                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.2956       0.885581E-001  0.226358       0.152721       0.236753                 NaN            NaN            NaN
  1361.62        500.000                 NaN   99.3023       0.887194E-001  0.224451       0.149915       0.234659                 NaN            NaN            NaN
  1360.64        500.000                 NaN   99.3094       0.886814E-001  0.146911       0.222655       0.232333                 NaN            NaN            NaN
  1359.65        500.000                 NaN   99.3159       0.886803E-001  0.144176       0.220944       0.230256                 NaN            NaN            NaN
  1358.66        500.000                 NaN   99.2168       0.103300       0.253426       0.162667       0.263786                 NaN            NaN            NaN
  1357.67        500.000                 NaN   99.4325       0.749429E-001  0.184126       0.117266       0.191173                 NaN            NaN            NaN
  1356.68        500.000                 NaN   99.3345       0.889649E-001  0.216330       0.135962       0.224252                 NaN            NaN            NaN
  1355.70        500.000                 NaN   99.3394       0.894065E-001  0.132856       0.215222       0.223102                 NaN            NaN            NaN
  1354.71        500.000                 NaN   99.3458       0.889614E-001  0.212755       0.131747       0.220784                 NaN            NaN            NaN
  1353.72        500.000                 NaN   99.3502       0.905136E-001  0.212558       0.126907       0.219830                 NaN            NaN            NaN
  1352.73        500.000                 NaN   99.3619       0.881372E-001  0.208514       0.126217       0.215212                 NaN            NaN            NaN
  1351.74        500.000                 NaN   99.3641       0.892176E-001  0.208598       0.123187       0.214873                 NaN            NaN            NaN
  1350.76        500.000                 NaN   99.3691       0.895079E-001  0.207312       0.120758       0.213304                 NaN            NaN            NaN
  1349.77        500.000                 NaN   99.3754       0.892698E-001  0.205648       0.118448       0.211281                 NaN            NaN            NaN
  1348.78        500.000                 NaN   99.3802       0.891867E-001  0.116428       0.204461       0.209699                 NaN            NaN            NaN
