|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1394.23        500.000       0.190506E-002   99.9808       0.173151E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1393.24        500.000                 NaN   99.6333       0.207203E-001  0.614516E-001  0.284482                 NaN            NaN            NaN            NaN
  1392.25        500.000                 NaN   99.1611       0.525667E-001  0.282985       0.321463       0.181917                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.9219       0.104844       0.323110       0.344709       0.305479                 NaN            NaN            NaN
  1390.28        500.000                 NaN   98.9029       0.109183       0.351639       0.325035       0.311196                 NaN            NaN            NaN
  1389.29        500.000       0.189528E-002   99.8425       0.149146E-001  0.461837E-001  0.499612E-001  0.445187E-001            NaN            NaN            NaN
  1388.30        500.000                 NaN   98.0926       0.193224       0.612587       0.560364       0.541177                 NaN            NaN            NaN
  1387.31        500.000                 NaN   98.9651       0.107624       0.333315       0.300034       0.293937                 NaN            NaN            NaN
  1386.33        500.000                 NaN   98.9654       0.109369       0.333622       0.297642       0.294001                 NaN            NaN            NaN
  1385.34        500.000       0.998725E-003   99.8733       0.137072E-001  0.370140E-001  0.388971E-001  0.360934E-001            NaN            NaN            NaN
  1384.35        500.000                 NaN   98.1251       0.201369       0.535262       0.605383       0.532849                 NaN            NaN            NaN
  1383.36        500.000                 NaN   99.0065       0.109829       0.321758       0.279221       0.282705                 NaN            NaN            NaN
  1382.37        500.000                 NaN   98.9797       0.115623       0.282488       0.331669       0.290551                 NaN            NaN            NaN
  1381.39        500.000                 NaN   99.0628       0.105707       0.260543       0.304341       0.266578                 NaN            NaN            NaN
  1380.40        500.000                 NaN   99.0337       0.111453       0.265311       0.314350       0.275230                 NaN            NaN            NaN
  1379.41        500.000                 NaN   99.0401       0.112326       0.259929       0.313869       0.273758                 NaN            NaN            NaN
  1378.42        500.000                 NaN   98.9600       0.121971       0.338316       0.283114       0.296555                 NaN            NaN            NaN
  1377.43        500.000                 NaN   99.1582       0.102879       0.275629       0.223320       0.239923                 NaN            NaN            NaN
  1376.45        500.000                 NaN   99.0710       0.113302       0.304023       0.246951       0.264716                 NaN            NaN            NaN
  1375.46        500.000                 NaN   98.0846       0.239720       0.496311       0.632030       0.547371                 NaN            NaN            NaN
  1374.47        500.000                 NaN   99.9775       0.305753E-002  0.557017E-002  0.746972E-002  0.643329E-002            NaN            NaN            NaN
  1373.48        500.000                 NaN   99.9649       0.451766E-002  0.903880E-002  0.114641E-001  0.100338E-001            NaN            NaN            NaN
  1372.49        500.000                 NaN   98.3611       0.209344       0.421352       0.540504       0.467665                 NaN            NaN            NaN
  1371.50        500.000                 NaN   99.1119       0.116024       0.224492       0.293984       0.253621                 NaN            NaN            NaN
  1370.52        500.000                 NaN   99.1205       0.116283       0.291364       0.220544       0.251279                 NaN            NaN            NaN
  1369.53        500.000                 NaN   99.1271       0.117014       0.289675       0.216677       0.249517                 NaN            NaN            NaN
  1368.54        500.000                 NaN   99.1365       0.117124       0.287067       0.212423       0.246855                 NaN            NaN            NaN
  1367.55        500.000                 NaN   99.1426       0.118535       0.207928       0.285563       0.245328                 NaN            NaN            NaN
  1366.56        500.000                 NaN   99.1518       0.117006       0.205936       0.282854       0.242392                 NaN            NaN            NaN
  1365.58        500.000                 NaN   99.1576       0.119079       0.200474       0.281777       0.241098                 NaN            NaN            NaN
  1364.59        500.000                 NaN   99.1652       0.118731       0.197761       0.279394       0.238879                 NaN            NaN            NaN
  1363.60        500.000                 NaN   99.1729       0.119164       0.193524       0.277738       0.236637                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.1790       0.119734       0.276262       0.189939       0.235027                 NaN            NaN            NaN
  1361.62        500.000                 NaN   99.1860       0.120127       0.274156       0.186616       0.233073                 NaN            NaN            NaN
  1360.64        500.000                 NaN   99.1936       0.120230       0.183052       0.272196       0.230885                 NaN            NaN            NaN
  1359.65        500.000                 NaN   99.2005       0.120384       0.179801       0.270320       0.228944                 NaN            NaN            NaN
  1358.66        500.000                 NaN   99.0838       0.140452       0.310313       0.203048       0.262401                 NaN            NaN            NaN
  1357.67        500.000                 NaN   99.3354       0.102055       0.225699       0.146540       0.190325                 NaN            NaN            NaN
  1356.68        500.000                 NaN   99.2200       0.121313       0.265322       0.170033       0.223338                 NaN            NaN            NaN
  1355.70        500.000                 NaN   99.2252       0.122088       0.166278       0.264155       0.222314                 NaN            NaN            NaN
  1354.71        500.000                 NaN   99.2318       0.121632       0.261332       0.165068       0.220125                 NaN            NaN            NaN
  1353.72        500.000                 NaN   99.2363       0.123960       0.261338       0.159137       0.219294                 NaN            NaN            NaN
  1352.73        500.000                 NaN   99.2494       0.120847       0.256565       0.158420       0.214808                 NaN            NaN            NaN
  1351.74        500.000                 NaN   99.2513       0.122491       0.256888       0.154761       0.214588                 NaN            NaN            NaN
  1350.76        500.000                 NaN   99.2564       0.123082       0.255512       0.151846       0.213139                 NaN            NaN            NaN
  1349.77        500.000                 NaN   99.2631       0.122905       0.253671       0.149079       0.211237                 NaN            NaN            NaN
  1348.78        500.000                 NaN   99.2682       0.122952       0.146659       0.252420       0.209772                 NaN            NaN            NaN
  1347.79        500.000                 NaN   99.2752       0.123699       0.142533       0.250742       0.207817                 NaN            NaN            NaN
  1346.80        500.000                 NaN   99.0470       0.160129       0.332217       0.188504       0.272191                 NaN            NaN            NaN
  1345.82        500.000                 NaN   99.5078       0.840838E-001  0.170387       0.972377E-001  0.140519                 NaN            NaN            NaN
  1344.83        500.000                 NaN   99.9387       0.146822E-001  0.309222E-001            NaN  0.156776E-001            NaN            NaN            NaN
  1343.84        500.000                 NaN   98.6482       0.231235       0.272204       0.459278       0.389100                 NaN            NaN            NaN
  1342.85        500.000                 NaN   99.3022       0.123361       0.243278       0.131332       0.199871                 NaN            NaN            NaN
  1341.86        500.000                 NaN   99.3072       0.123944       0.241891       0.128281       0.198653                 NaN            NaN            NaN
  1340.88        500.000                 NaN   99.3121       0.123021       0.240367       0.127475       0.196994                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.3178       0.123587       0.239018       0.124264       0.195354                 NaN            NaN            NaN
  1338.90        500.000                 NaN   99.2659       0.133933       0.132956       0.256780       0.210476                 NaN            NaN            NaN
  1337.91        500.000                 NaN   99.3843       0.113527       0.108725       0.217029       0.176377                 NaN            NaN            NaN
  1336.92        500.000                 NaN   99.3328       0.123577       0.117225       0.235514       0.190876                 NaN            NaN            NaN
  1335.94        500.000                 NaN   99.3381       0.122293       0.117310       0.233036       0.189229                 NaN            NaN            NaN
  1334.95        500.000                 NaN   99.0614       0.209115       0.353652       0.100714       0.275132                 NaN            NaN            NaN
