|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1522.44        500.000       0.444379E-002   99.9591       0.364165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.13        500.000                 NaN   99.4689       0.334817E-001  0.497595                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.82        500.000                 NaN   99.4425       0.104058E-001  0.547087                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.51        500.000                 NaN   99.4477       0.914005E-002  0.543156                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.20        500.000                 NaN   99.4466       0.763454E-002  0.545754                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        500.000                 NaN   99.4547       0.694167E-002  0.538327                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.58        500.000                 NaN   99.4522       0.391685E-002  0.543859                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        500.000                 NaN   99.4613       0.642967E-002  0.532284                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.97        500.000                 NaN   99.4630       0.651768E-002  0.530438                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.66        500.000                 NaN   99.4659       0.444199E-002  0.529708                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.35        500.000                 NaN   99.4696       0.523348E-002  0.525153                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.04        500.000                 NaN   99.1741       0.226240E-001  0.803324                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.73        500.000                 NaN   99.7763       0.120747E-001  0.211625                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.42        500.000                 NaN   99.4775                 NaN  0.522508                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.11        500.000                 NaN   99.4809                 NaN  0.519082                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.80        500.000                 NaN   99.4832                 NaN  0.516804                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.49        500.000                 NaN   99.4867       0.179067E-002  0.511538                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        500.000                 NaN   99.8306       0.758458E-002  0.161836                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.87        500.000                 NaN   99.1548                 NaN  0.845179                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.56        500.000                 NaN   99.4963                 NaN  0.503677                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.25        500.000                 NaN   99.5013       0.326133E-001  0.466117                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        500.000                 NaN   99.5013                 NaN  0.498724                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.63        500.000                 NaN   99.5050       0.119514E-001  0.483021                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000                 NaN   99.3238                 NaN  0.676170                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.02        500.000                 NaN   99.6869                 NaN  0.313065                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.71        500.000                 NaN   99.5114                 NaN  0.488576                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.40        500.000                 NaN   99.5132                 NaN  0.486839                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.09        500.000                 NaN   99.5157                 NaN  0.484251                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.78        500.000                 NaN   99.4853                 NaN  0.514723                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN   99.5432                 NaN  0.401875       0.549488E-001            NaN            NaN            NaN            NaN            NaN
  1483.16        500.000                 NaN   99.4183                 NaN  0.909737E-001  0.490692                 NaN            NaN            NaN            NaN            NaN
  1481.85        500.000                 NaN   99.3900                 NaN  0.725262E-001  0.537518                 NaN            NaN            NaN            NaN            NaN
  1480.54        500.000                 NaN   99.3806                 NaN            NaN  0.619413                 NaN            NaN            NaN            NaN            NaN
  1479.23        500.000                 NaN   99.8425       0.111692       0.458418E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1477.92        500.000                 NaN   98.9874                 NaN            NaN   1.01260                 NaN            NaN            NaN            NaN            NaN
  1476.61        500.000                 NaN   99.3847                 NaN            NaN  0.615269                 NaN            NaN            NaN            NaN            NaN
  1475.30        500.000                 NaN   99.3836                 NaN  0.877627E-002  0.607658                 NaN            NaN            NaN            NaN            NaN
  1473.99        500.000                 NaN   99.3806                 NaN            NaN  0.619428                 NaN            NaN            NaN            NaN            NaN
  1472.68        500.000                 NaN   99.3763                 NaN            NaN  0.623728                 NaN            NaN            NaN            NaN            NaN
  1471.37        500.000                 NaN   99.3806                 NaN            NaN  0.619432                 NaN            NaN            NaN            NaN            NaN
  1470.07        500.000                 NaN   99.3753                 NaN            NaN  0.624651                 NaN            NaN            NaN            NaN            NaN
  1468.76        500.000                 NaN   99.3672                 NaN            NaN  0.632829                 NaN            NaN            NaN            NaN            NaN
  1467.45        500.000                 NaN   99.3637                 NaN            NaN  0.636281                 NaN            NaN            NaN            NaN            NaN
  1466.14        500.000                 NaN   99.2408                 NaN            NaN  0.198299       0.560872                 NaN            NaN            NaN            NaN
  1464.83        500.000                 NaN   98.9905                 NaN            NaN  0.605447       0.404037                 NaN            NaN            NaN            NaN
  1463.52        500.000                 NaN   98.9997                 NaN            NaN  0.399765       0.600503                 NaN            NaN            NaN            NaN
  1462.21        500.000                 NaN   99.0085                 NaN            NaN  0.396227       0.595315                 NaN            NaN            NaN            NaN
  1460.90        500.000                 NaN   99.0127                 NaN            NaN  0.592677       0.394637                 NaN            NaN            NaN            NaN
  1459.59        500.000                 NaN   99.0252                 NaN            NaN  0.389694       0.585062                 NaN            NaN            NaN            NaN
  1458.28        500.000                 NaN   99.0326                 NaN            NaN  0.580592       0.386823                 NaN            NaN            NaN            NaN
  1456.97        500.000                 NaN   99.0383                 NaN            NaN  0.577217       0.384498                 NaN            NaN            NaN            NaN
  1455.66        500.000                 NaN   99.0495                 NaN            NaN  0.379647       0.570820                 NaN            NaN            NaN            NaN
  1454.35        500.000                 NaN   99.0550                 NaN            NaN  0.377320       0.567703                 NaN            NaN            NaN            NaN
  1453.04        500.000                 NaN   99.0615                 NaN            NaN  0.374322       0.564141                 NaN            NaN            NaN            NaN
  1451.73        500.000                 NaN   99.0710                 NaN            NaN  0.557972       0.371000                 NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN   99.0770                 NaN            NaN  0.368252       0.554700                 NaN            NaN            NaN            NaN
  1449.12        500.000                 NaN   99.0844                 NaN            NaN  0.549996       0.365558                 NaN            NaN            NaN            NaN
  1447.81        500.000                 NaN   99.0911                 NaN            NaN  0.546206       0.362727                 NaN            NaN            NaN            NaN
  1446.50        500.000                 NaN   99.0985                 NaN            NaN  0.541813       0.359652                 NaN            NaN            NaN            NaN
  1445.19        500.000                 NaN   99.1044                 NaN            NaN  0.356992       0.538599                 NaN            NaN            NaN            NaN
  1443.88        500.000                 NaN   99.0948                 NaN            NaN  0.360222       0.545009                 NaN            NaN            NaN            NaN
  1442.57        500.000                 NaN   99.1358                 NaN            NaN  0.344557       0.519689                 NaN            NaN            NaN            NaN
  1441.26        500.000                 NaN   99.1264                 NaN            NaN  0.348925       0.524650                 NaN            NaN            NaN            NaN
  1439.95        500.000                 NaN   99.1316                 NaN            NaN  0.522070       0.346365                 NaN            NaN            NaN            NaN
  1438.64        500.000                 NaN   99.1368                 NaN            NaN  0.518990       0.344260                 NaN            NaN            NaN            NaN
  1437.33        500.000                 NaN   99.1449                 NaN            NaN  0.514010       0.341114                 NaN            NaN            NaN            NaN
  1436.02        500.000                 NaN   99.1500                 NaN            NaN  0.511224       0.338794                 NaN            NaN            NaN            NaN
  1434.71        500.000                 NaN   99.1569                 NaN            NaN  0.336003       0.507130                 NaN            NaN            NaN            NaN
  1433.40        500.000                 NaN   99.1626                 NaN            NaN  0.503695       0.333695                 NaN            NaN            NaN            NaN
  1432.09        500.000                 NaN   99.1682                 NaN            NaN  0.331524       0.500279                 NaN            NaN            NaN            NaN
  1430.78        500.000                 NaN   99.1726                 NaN            NaN  0.329602       0.497782                 NaN            NaN            NaN            NaN
  1429.47        500.000                 NaN   99.1829                 NaN            NaN  0.491617       0.325492                 NaN            NaN            NaN            NaN
  1428.17        500.000                 NaN   99.1730                 NaN            NaN  0.329190       0.497787                 NaN            NaN            NaN            NaN
  1426.86        500.000                 NaN   99.2032                 NaN            NaN  0.317751       0.479031                 NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN   99.1895                 NaN            NaN  0.488329       0.322211                 NaN            NaN            NaN            NaN
  1424.24        500.000                 NaN   99.2104                 NaN            NaN  0.314592       0.474989                 NaN            NaN            NaN            NaN
  1422.93        500.000       0.340458E-002   99.2070                 NaN            NaN  0.319078       0.470496                 NaN            NaN            NaN            NaN
  1421.62        500.000                 NaN   99.2138                 NaN            NaN  0.473536       0.312698                 NaN            NaN            NaN            NaN
  1420.31        500.000                 NaN   99.2185                 NaN            NaN  0.470453       0.311011                 NaN            NaN            NaN            NaN
  1419.00        500.000                 NaN   99.2235                 NaN            NaN  0.467598       0.308899                 NaN            NaN            NaN            NaN
  1417.69        500.000                 NaN   99.2292                 NaN            NaN  0.306419       0.464402                 NaN            NaN            NaN            NaN
  1416.38        500.000       0.525539E-003   99.2339                 NaN            NaN  0.460391       0.305142                 NaN            NaN            NaN            NaN
  1415.07        500.000                 NaN   99.2392                 NaN            NaN  0.302317       0.458459                 NaN            NaN            NaN            NaN
  1413.76        500.000       0.921230E-003   99.2436                 NaN            NaN  0.301473       0.454001                 NaN            NaN            NaN            NaN
  1412.45        500.000                 NaN   99.2461                 NaN            NaN  0.455414       0.298467                 NaN            NaN            NaN            NaN
  1411.14        500.000       0.294591E-003   99.2548                 NaN            NaN  0.296380       0.448565                 NaN            NaN            NaN            NaN
  1409.83        500.000       0.802709E-003   99.2580                 NaN            NaN  0.295263       0.445923                 NaN            NaN            NaN            NaN
  1408.52        500.000       0.746164E-003   99.2632                 NaN            NaN  0.293197       0.442807                 NaN            NaN            NaN            NaN
  1407.22        500.000                 NaN   98.3232                 NaN            NaN  0.542723       0.704789       0.429334                 NaN            NaN            NaN
  1405.91        500.000                 NaN   98.2707                 NaN            NaN  0.727839       0.543390       0.458046                 NaN            NaN            NaN
  1404.60        500.000       0.177314E-002   98.2998                 NaN            NaN  0.530812       0.717930       0.449727                 NaN            NaN            NaN
  1403.29        500.000                 NaN   98.3165                 NaN            NaN  0.529614       0.708662       0.445272                 NaN            NaN            NaN
  1401.98        500.000                 NaN   98.3487                 NaN            NaN  0.520234       0.694406       0.436690                 NaN            NaN            NaN
  1400.67        500.000       0.392751E-004   98.3659                 NaN            NaN  0.688815       0.513510       0.431731                 NaN            NaN            NaN
  1399.36        500.000                 NaN   98.3944                 NaN            NaN  0.505037       0.676624       0.423988                 NaN            NaN            NaN
  1398.05        500.000                 NaN   98.4123                 NaN            NaN  0.499439       0.669175       0.419096                 NaN            NaN            NaN
  1396.74        500.000                 NaN   98.4330                 NaN            NaN  0.492760       0.660682       0.413515                 NaN            NaN            NaN
  1395.43        500.000                 NaN   98.4560                 NaN            NaN  0.485839       0.651349       0.406859                 NaN            NaN            NaN
