|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/WD94/WD94_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1560.90        500.000       0.130569E-002            NaN   99.8800       0.118701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000                 NaN            NaN   99.3247       0.672089E-001  0.608105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000                 NaN            NaN   99.2871       0.402068E-001  0.672649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN            NaN   99.3014       0.385182E-001  0.660066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN            NaN   99.3011       0.375557E-001  0.661314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN            NaN   99.3047       0.397479E-001  0.655597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN            NaN   99.3176       0.362508E-001  0.646102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN            NaN   99.3254       0.365474E-001  0.638031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN            NaN   99.3114       0.375093E-001  0.651063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN            NaN   99.3472       0.323853E-001  0.620458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN            NaN   99.3302       0.342558E-001  0.635546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN            NaN   99.3469       0.316028E-001  0.621502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000                 NaN            NaN   99.3497       0.301775E-001  0.620114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN            NaN   99.3541       0.300972E-001  0.615818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN            NaN   99.3562       0.294653E-001  0.614338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN            NaN   99.3637       0.280111E-001  0.608322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN            NaN   99.3383       0.300133E-001  0.631728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN            NaN   99.4009       0.243412E-001  0.574740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN            NaN   99.3727       0.276859E-001  0.599575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN            NaN   99.3862       0.239157E-001  0.589884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN            NaN   99.3875       0.245850E-001  0.587944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000                 NaN            NaN   99.3874       0.218570E-001  0.590738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000                 NaN            NaN   99.3974       0.218357E-001  0.580722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000                 NaN            NaN   99.3972       0.196799E-001  0.583097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        500.000                 NaN            NaN   99.4040       0.204382E-001  0.575575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        500.000                 NaN            NaN   99.4088       0.198696E-001  0.571335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        500.000                 NaN            NaN   99.4053       0.182269E-001  0.576450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000                 NaN            NaN   99.4228       0.174200E-001  0.559734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        500.000                 NaN            NaN   99.4206       0.173042E-001  0.562100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000                 NaN            NaN   99.4224       0.156177E-001  0.561967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        500.000                 NaN            NaN   99.4296       0.149508E-001  0.555444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000                 NaN            NaN   99.4312       0.140113E-001  0.554829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        500.000                 NaN            NaN   99.4042       0.139901E-001  0.581845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000                 NaN            NaN   99.4714       0.125607E-001  0.515990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        500.000                 NaN            NaN   99.4441       0.115847E-001  0.544268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        500.000                 NaN            NaN   99.4472       0.128700E-001  0.539961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000                 NaN            NaN   99.4522       0.101997E-001  0.537597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        500.000                 NaN            NaN   99.4534       0.889404E-002  0.537732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        500.000                 NaN            NaN   99.4583       0.890980E-002  0.532765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        500.000                 NaN            NaN   99.4599       0.857828E-002  0.531565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        500.000                 NaN            NaN   99.4447       0.804657E-002  0.547246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN            NaN   99.4892       0.552447E-002  0.505301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        500.000                 NaN            NaN   99.4708       0.100646E-001  0.519176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN            NaN   99.4715       0.159022E-002  0.526949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        500.000                 NaN            NaN   99.4082       0.293407E-001  0.562486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000                 NaN            NaN   99.8273                 NaN  0.172746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        500.000                 NaN            NaN   99.2105       0.480323E-001  0.741485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        500.000                 NaN            NaN   99.4639       0.615040E-001  0.474644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        500.000                 NaN            NaN   99.5205       0.150327E-003  0.479337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        500.000                 NaN            NaN   99.4927       0.247367E-005  0.507249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        500.000                 NaN            NaN   99.4959       0.190588E-005  0.504057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        500.000                 NaN            NaN   99.4976                 NaN  0.502420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        500.000                 NaN            NaN   99.5013                 NaN  0.498713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN            NaN   99.5027                 NaN  0.497272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        500.000                 NaN            NaN   99.5075                 NaN  0.492541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN            NaN   99.5099                 NaN  0.490072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
