|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1560.90        500.000       0.825365E-003            NaN   99.8991       0.100122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000                 NaN            NaN   99.4154       0.567041E-001  0.527911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000                 NaN            NaN   99.3823       0.339023E-001  0.583804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN            NaN   99.3949       0.324645E-001  0.572685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN            NaN   99.3947       0.316354E-001  0.573651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN            NaN   99.3981       0.334692E-001  0.568423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN            NaN   99.4096       0.305041E-001  0.559938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN            NaN   99.4164       0.307446E-001  0.552849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN            NaN   99.4044       0.315486E-001  0.564017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN            NaN   99.4354       0.272222E-001  0.537345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN            NaN   99.4210       0.287855E-001  0.550242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN            NaN   99.4356       0.265446E-001  0.537905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000                 NaN            NaN   99.4382       0.253265E-001  0.536523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN            NaN   99.4421       0.252501E-001  0.532636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN            NaN   99.4441       0.247106E-001  0.531205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN            NaN   99.4507       0.234789E-001  0.525828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN            NaN   99.4290       0.251482E-001  0.545848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN            NaN   99.4832       0.203813E-001  0.496430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN            NaN   99.4591       0.231774E-001  0.517673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN            NaN   99.4708       0.200073E-001  0.509204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN            NaN   99.4721       0.205588E-001  0.507380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000                 NaN            NaN   99.4721       0.182620E-001  0.509675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000                 NaN            NaN   99.4809       0.182421E-001  0.500860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000                 NaN            NaN   99.4808       0.164320E-001  0.502783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        500.000                 NaN            NaN   99.4869       0.170581E-001  0.496068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
