|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1615.38        2500.00       0.240763E-002   99.9667                 NaN  0.308702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00                 NaN   99.3440                 NaN  0.423480E-001  0.613698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00                 NaN   99.0671                 NaN  0.107435       0.825447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00                 NaN   99.0775                 NaN  0.106172       0.816308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00                 NaN   99.0848                 NaN  0.104122       0.811048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   99.0951                 NaN  0.103671       0.801184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00                 NaN   99.0993                 NaN  0.101565       0.799102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00                 NaN   99.1168                 NaN  0.100403       0.782815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00                 NaN   99.1205                 NaN  0.988240E-001  0.780698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN   99.1280                 NaN  0.977980E-001  0.774250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00                 NaN   99.1322                 NaN  0.987837E-001  0.769007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00                 NaN   99.1553                 NaN  0.944575E-001  0.750234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00                 NaN   99.1014                 NaN  0.105109       0.793515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00                 NaN   99.2199                 NaN  0.878497E-001  0.692214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00                 NaN   99.1706                 NaN  0.920104E-001  0.737376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
