|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/TIS/TIS_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1426.28        500.000        94.2687        2.13328        3.59803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.3639       0.217359       0.418747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3680       0.416593       0.215438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3717       0.413652       0.214659                 NaN            NaN  0.120062E-004            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3549       0.429211       0.215851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3972       0.394633       0.208185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3821       0.401478       0.214351                 NaN            NaN            NaN  0.209687E-002            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3847       0.405039       0.210306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        98.7022       0.515781       0.483897                 NaN            NaN            NaN            NaN  0.298095                 NaN            NaN            NaN
  1416.66        500.000        98.3301       0.523590       0.683413                 NaN            NaN            NaN            NaN  0.462911                 NaN            NaN            NaN
  1415.60        500.000        98.3540       0.673152       0.516665                 NaN            NaN            NaN            NaN  0.456198                 NaN            NaN            NaN
  1414.53        500.000        98.3754       0.664553       0.509947                 NaN            NaN            NaN            NaN  0.450141                 NaN            NaN            NaN
  1413.46        500.000        98.3960       0.503453       0.656272                 NaN            NaN  0.106481E-005            NaN  0.444271                 NaN            NaN            NaN
  1412.39        500.000        98.4174       0.497341       0.647128                 NaN            NaN            NaN            NaN  0.438134                 NaN            NaN            NaN
  1411.32        500.000        98.4371       0.491199       0.639147                 NaN            NaN  0.517586E-005            NaN  0.432540                 NaN            NaN            NaN
  1410.25        500.000        98.4570       0.631499       0.484561                 NaN            NaN            NaN            NaN  0.426935                 NaN            NaN            NaN
  1409.19        500.000        98.4772       0.521571       0.503850                 NaN            NaN  0.663051E-001            NaN  0.431058                 NaN            NaN            NaN
  1408.12        500.000        98.4967       0.402479       0.525805                 NaN            NaN  0.138519                 NaN  0.436461                 NaN            NaN            NaN
  1407.05        500.000        98.5183       0.391845       0.520708                 NaN            NaN  0.139101                 NaN  0.430066                 NaN            NaN            NaN
  1405.98        500.000        97.0242        1.06398       0.764750                 NaN            NaN  0.283384                 NaN  0.863688                 NaN            NaN            NaN
  1404.91        500.000        99.8639       0.313152E-001  0.477856E-001            NaN            NaN  0.166495E-001            NaN  0.403186E-001            NaN            NaN            NaN
  1403.84        500.000        98.7775       0.435719       0.310092                 NaN            NaN  0.121691                 NaN  0.354965                 NaN            NaN            NaN
  1402.78        500.000        98.5903       0.503046       0.352800                 NaN            NaN  0.143530                 NaN  0.410352                 NaN            NaN            NaN
  1401.71        500.000        98.6075       0.498571       0.343713                 NaN            NaN  0.144660                 NaN  0.405595                 NaN            NaN            NaN
  1400.64        500.000        98.6184       0.332701       0.498049                 NaN            NaN  0.147965                 NaN  0.402865                 NaN            NaN            NaN
  1399.57        500.000        98.6445       0.490257       0.325116                 NaN            NaN  0.144971                 NaN  0.395182                 NaN            NaN            NaN
  1398.50        500.000        98.6562       0.316864       0.487081                 NaN            NaN  0.147781                 NaN  0.392123                 NaN            NaN            NaN
  1397.43        500.000        98.6733       0.307648       0.483030                 NaN            NaN  0.148671                 NaN  0.387304                 NaN            NaN            NaN
  1396.37        500.000        98.6877       0.480161       0.299060                 NaN            NaN  0.149751                 NaN  0.383359                 NaN            NaN            NaN
  1395.30        500.000        98.7018       0.469794       0.315007                 NaN            NaN  0.136100                 NaN  0.377317                 NaN            NaN            NaN
  1394.23        500.000        98.7171       0.480560       0.258350                 NaN            NaN  0.166769                 NaN  0.377212                 NaN            NaN            NaN
  1393.16        500.000        98.7303       0.273136       0.471863                 NaN            NaN  0.153040                 NaN  0.371709                 NaN            NaN            NaN
