|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1426.28        500.000        95.0902        1.81130        3.09846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.4592       0.183036       0.357715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.4629       0.355734       0.181322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4664       0.353069       0.180571                 NaN            NaN  0.943966E-005            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4524       0.366143       0.181436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.4886       0.336511       0.174913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.4764       0.342225       0.180015                 NaN            NaN            NaN  0.134757E-002            NaN            NaN            NaN            NaN
  1418.80        500.000        99.4784       0.345121       0.176523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        98.8449       0.432846       0.412298                 NaN            NaN            NaN            NaN  0.309926                 NaN            NaN            NaN
  1416.66        500.000        98.4996       0.445931       0.573188                 NaN            NaN            NaN            NaN  0.481309                 NaN            NaN            NaN
  1415.60        500.000        98.5220       0.564132       0.439699                 NaN            NaN            NaN            NaN  0.474212                 NaN            NaN            NaN
  1414.53        500.000        98.5421       0.556458       0.433687                 NaN            NaN            NaN            NaN  0.467799                 NaN            NaN            NaN
  1413.46        500.000        98.5615       0.427868       0.549045                 NaN            NaN  0.829157E-006            NaN  0.461582                 NaN            NaN            NaN
  1412.39        500.000        98.5816       0.422369       0.540960                 NaN            NaN            NaN            NaN  0.455088                 NaN            NaN            NaN
  1411.32        500.000        98.6002       0.416863       0.533817                 NaN            NaN  0.401861E-005            NaN  0.449159                 NaN            NaN            NaN
  1410.25        500.000        98.6189       0.526979       0.410941                 NaN            NaN            NaN            NaN  0.443219                 NaN            NaN            NaN
  1409.19        500.000        98.6395       0.434878       0.426978                 NaN            NaN  0.513360E-001            NaN  0.447354                 NaN            NaN            NaN
  1408.12        500.000        98.6597       0.335256       0.445237                 NaN            NaN  0.107075                 NaN  0.452780                 NaN            NaN            NaN
  1407.05        500.000        98.6801       0.326064       0.440502                 NaN            NaN  0.107346                 NaN  0.445956                 NaN            NaN            NaN
  1405.98        500.000        97.3495       0.899756       0.636247                 NaN            NaN  0.218203                 NaN  0.896300                 NaN            NaN            NaN
  1404.91        500.000        99.8794       0.259512E-001  0.402431E-001            NaN            NaN  0.127343E-001            NaN  0.417073E-001            NaN            NaN            NaN
  1403.84        500.000        98.9143       0.367533       0.257223                 NaN            NaN  0.933941E-001            NaN  0.367506                 NaN            NaN            NaN
