|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1451.92        500.000        92.8169        2.63417        4.54890                 NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.9254       0.470648E-001  0.275654E-001            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        98.4137       0.997020       0.589302                 NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1753       0.518652       0.306063                 NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1777       0.516951       0.305311                 NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.1940       0.298637       0.507378                 NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1934       0.507848       0.298740                 NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1981       0.297803       0.504079                 NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2033       0.501686       0.295015                 NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2075       0.499581       0.292882                 NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2147       0.290484       0.494838                 NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2187       0.288762       0.492526                 NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2233       0.489641       0.287105                 NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2276       0.487856       0.284582                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.2335       0.483618       0.282835       0.706979E-004            NaN            NaN            NaN            NaN
  1434.93        500.000        98.5229       0.599278       0.586921                 NaN  0.290877                 NaN            NaN            NaN
  1433.80        500.000        97.6934       0.942935       0.732371                 NaN  0.631297                 NaN            NaN            NaN
  1432.67        500.000        97.7773       0.907636       0.708003                 NaN  0.607106                 NaN            NaN            NaN
  1431.53        500.000        97.7878       0.902897       0.704509                 NaN  0.604790                 NaN            NaN            NaN
  1430.40        500.000        97.8335       0.883484       0.690995                 NaN  0.592052                 NaN            NaN            NaN
  1429.27        500.000        97.8647       0.681768       0.870077                 NaN  0.583481                 NaN            NaN            NaN
  1428.13        500.000        97.9016       0.670925       0.854135                 NaN  0.573310                 NaN            NaN            NaN
  1427.00        500.000        97.9358       0.839707       0.660783                 NaN  0.563733                 NaN            NaN            NaN
  1425.87        500.000        97.9674       0.826743       0.651022       0.100866E-005  0.554857                 NaN            NaN            NaN
