|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1451.92        500.000        93.7248        2.28504        3.99013                 NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.9354       0.408811E-001  0.236720E-001            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        98.6258       0.867363       0.506885                 NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2867       0.450504       0.262803                 NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2890       0.448914       0.262061                 NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.3034       0.256207       0.440427                 NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.3032       0.440666       0.256174                 NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.3076       0.255227       0.437194                 NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.3123       0.434971       0.252693                 NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.3162       0.433016       0.250756                 NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.3226       0.248595       0.428757                 NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.3265       0.246982       0.426565                 NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.3307       0.423866       0.245414                 NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.3347       0.422179       0.243158                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.3401       0.418320       0.241510       0.569074E-004            NaN            NaN            NaN            NaN
  1434.93        500.000        98.6756       0.518412       0.501120                 NaN  0.304885                 NaN            NaN            NaN
  1433.80        500.000        97.8994       0.804994       0.633582                 NaN  0.662048                 NaN            NaN            NaN
  1432.67        500.000        97.9771       0.774165       0.612108                 NaN  0.636615                 NaN            NaN            NaN
  1431.53        500.000        97.9875       0.769527       0.608791                 NaN  0.634157                 NaN            NaN            NaN
  1430.40        500.000        98.0301       0.752451       0.596748                 NaN  0.620747                 NaN            NaN            NaN
  1429.27        500.000        98.0594       0.588421       0.740444                 NaN  0.611712                 NaN            NaN            NaN
  1428.13        500.000        98.0938       0.578774       0.726387                 NaN  0.600994                 NaN            NaN            NaN
  1427.00        500.000        98.1259       0.713547       0.569684                 NaN  0.590897                 NaN            NaN            NaN
  1425.87        500.000        98.1556       0.701956       0.560915       0.802599E-006  0.581535                 NaN            NaN            NaN
  1424.74        500.000        98.1854       0.552328       0.689895                 NaN  0.572336                 NaN            NaN            NaN
  1423.60        500.000        98.2139       0.544369       0.678498                 NaN  0.563218                 NaN            NaN            NaN
  1422.47        500.000        98.2421       0.535932       0.667425                 NaN  0.554532                 NaN            NaN            NaN
  1421.34        500.000        98.2709       0.528048       0.655713                 NaN  0.545352                 NaN            NaN            NaN
  1420.21        500.000        98.0947       0.720983       0.583264                 NaN  0.601072                 NaN            NaN            NaN
  1419.07        500.000        98.5232       0.451156       0.559601                 NaN  0.466025                 NaN            NaN            NaN
  1417.94        500.000        98.3445       0.625552       0.507866                 NaN  0.522042                 NaN            NaN            NaN
  1416.81        500.000        98.3767       0.496663       0.614847                 NaN  0.511747                 NaN            NaN            NaN
  1415.68        500.000        98.3955       0.607196       0.491284                 NaN  0.506062                 NaN            NaN            NaN
  1414.54        500.000        98.4168       0.485301       0.598449       0.236481E-004  0.499382                 NaN            NaN            NaN
  1413.41        500.000        98.4440       0.486717       0.546107       0.265646E-001  0.496649                 NaN            NaN            NaN
  1412.28        500.000        98.4650       0.515078       0.392178       0.117893       0.509826                 NaN            NaN            NaN
  1411.15        500.000        98.4872       0.381791       0.509022       0.118858       0.503087                 NaN            NaN            NaN
  1410.01        500.000        98.5091       0.503918       0.371002       0.119663       0.496338                 NaN            NaN            NaN
  1408.88        500.000        98.5305       0.498459       0.360861       0.120454       0.489759                 NaN            NaN            NaN
  1407.75        500.000        98.5508       0.350889       0.493404       0.121302       0.483574                 NaN            NaN            NaN
  1406.61        500.000        98.5700       0.488657       0.341577       0.122112       0.477690                 NaN            NaN            NaN
  1405.48        500.000        98.5907       0.483615       0.331580       0.122773       0.471328                 NaN            NaN            NaN
  1404.35        500.000        98.5950       0.482799       0.325719       0.125182       0.471308                 NaN            NaN            NaN
  1403.22        500.000        98.6444       0.470163       0.309094       0.122760       0.453538                 NaN            NaN            NaN
  1402.08        500.000        98.6452       0.470915       0.303964       0.125307       0.454593                 NaN            NaN            NaN
  1400.95        500.000        98.6647       0.466084       0.294944       0.125760       0.448486                 NaN            NaN            NaN
  1399.82        500.000        98.6831       0.461459       0.286248       0.126365       0.442846                 NaN            NaN            NaN
  1398.69        500.000        98.7010       0.276224       0.457164       0.127875       0.437779                 NaN            NaN            NaN
  1397.55        500.000        98.7179       0.453109       0.269741       0.127343       0.431954                 NaN            NaN            NaN
  1396.42        500.000        98.7251       0.259314       0.454077       0.130871       0.430597                 NaN            NaN            NaN
  1395.29        500.000        98.7560       0.442901       0.254760       0.127040       0.419274                 NaN            NaN            NaN
  1394.16        500.000        98.7646       0.441705       0.245091       0.130615       0.417974                 NaN            NaN            NaN
  1393.02        500.000        98.7830       0.237267       0.437811       0.130122       0.411756                 NaN            NaN            NaN
  1391.89        500.000        98.7958       0.229955       0.435356       0.130928       0.407955                 NaN            NaN            NaN
  1390.76        500.000        98.8097       0.432690       0.222148       0.131760       0.403695                 NaN            NaN            NaN
  1389.63        500.000        98.8237       0.215808       0.429228       0.132128       0.399147                 NaN            NaN            NaN
  1388.49        500.000        98.8392       0.207784       0.425806       0.132765       0.394418                 NaN            NaN            NaN
  1387.36        500.000        98.8531       0.200916       0.422670       0.133213       0.390079                 NaN            NaN            NaN
  1386.23        500.000        98.8670       0.193810       0.419541       0.133884       0.385743                 NaN            NaN            NaN
  1385.09        500.000        98.8808       0.187002       0.416572       0.134256       0.381405                 NaN            NaN            NaN
  1383.96        500.000        98.8936       0.414080       0.180022       0.134858       0.377448                 NaN            NaN            NaN
  1382.83        500.000        98.9069       0.410942       0.173956       0.135050       0.373164                 NaN            NaN            NaN
  1381.70        500.000        98.9185       0.408314       0.167825       0.135813       0.369596                 NaN            NaN            NaN
  1380.56        500.000        98.9319       0.161637       0.405412       0.135774       0.365297                 NaN            NaN            NaN
  1379.43        500.000        98.9442       0.402950       0.155285       0.136222       0.361306                 NaN            NaN            NaN
  1378.30        500.000        98.9554       0.150136       0.400124       0.136550       0.357792                 NaN            NaN            NaN
  1377.17        500.000        98.9669       0.143957       0.398105       0.136790       0.354206                 NaN            NaN            NaN
  1376.03        500.000        98.9651       0.397205       0.144663       0.137181       0.355889                 NaN            NaN            NaN
  1374.90        500.000        99.0085       0.390293       0.123626       0.137551       0.340070                 NaN            NaN            NaN
  1373.77        500.000        99.0595       0.368639       0.116708       0.131651       0.323492                 NaN            NaN            NaN
  1372.64        500.000        99.8861       0.103876E-001            NaN  0.574897E-001  0.460232E-001            NaN            NaN            NaN
  1371.50        500.000        98.0882       0.787020       0.254713       0.221218       0.648875                 NaN            NaN            NaN
  1370.37        500.000        99.0333       0.384366       0.112091       0.137624       0.332631                 NaN            NaN            NaN
  1369.24        500.000        99.0446       0.381735       0.107141       0.137554       0.328931                 NaN            NaN            NaN
  1368.11        500.000        99.0553       0.380076       0.100921       0.138081       0.325641                 NaN            NaN            NaN
  1366.97        500.000        99.0647       0.970446E-001  0.378014       0.137798       0.322432                 NaN            NaN            NaN
  1365.84        500.000        99.0745       0.925481E-001  0.375910       0.137812       0.319218                 NaN            NaN            NaN
  1364.71        500.000        99.0844       0.374215       0.875708E-001  0.137815       0.316045                 NaN            NaN            NaN
  1363.57        500.000        99.0872       0.854086E-001  0.374696       0.137773       0.314957                 NaN            NaN            NaN
  1362.44        500.000        99.1052       0.368904       0.814867E-001  0.135991       0.308452                 NaN            NaN            NaN
  1361.31        500.000        99.1114       0.754795E-001  0.368900       0.137268       0.306906                 NaN            NaN            NaN
  1360.18        500.000        99.1206       0.366123       0.728300E-001  0.136673       0.303769                 NaN            NaN            NaN
  1359.04        500.000        99.1308       0.364596       0.677872E-001  0.136458       0.300359                 NaN            NaN            NaN
  1357.91        500.000        99.1395       0.641033E-001  0.362423       0.136407       0.297614                 NaN            NaN            NaN
  1356.78        500.000        99.1437       0.363809       0.610246E-001  0.135678       0.295817                 NaN            NaN            NaN
  1355.65        500.000        99.1585       0.574256E-001  0.358219       0.135093       0.290773                 NaN            NaN            NaN
  1354.51        500.000        99.1656       0.357611       0.524445E-001  0.135584       0.288724                 NaN            NaN            NaN
  1353.38        500.000        99.1727       0.356127       0.506951E-001  0.134432       0.286045                 NaN            NaN            NaN
  1352.25        500.000        99.1804       0.355096       0.464274E-001  0.134469       0.283579                 NaN            NaN            NaN
  1351.12        500.000        99.1887       0.352717       0.450241E-001  0.133173       0.280357                 NaN            NaN            NaN
  1349.98        500.000        99.1967       0.414639E-001  0.351262       0.132851       0.277694                 NaN            NaN            NaN
  1348.85        500.000        99.2039       0.350036       0.385607E-001  0.132322       0.275173                 NaN            NaN            NaN
  1347.72        500.000        99.2126       0.347606       0.358071E-001  0.131728       0.272243                 NaN            NaN            NaN
  1346.59        500.000        99.2193       0.327148E-001  0.347099       0.131036       0.269819                 NaN            NaN            NaN
  1345.45        500.000        99.2265       0.316203E-001  0.344274       0.130304       0.267268                 NaN            NaN            NaN
  1344.32        500.000        99.2336       0.343540       0.287880E-001  0.129411       0.264653                 NaN            NaN            NaN
  1343.19        500.000        99.2425       0.341058       0.259974E-001  0.128864       0.261570                 NaN            NaN            NaN
  1342.05        500.000        99.2487       0.339527       0.247853E-001  0.127745       0.259273                 NaN            NaN            NaN
  1340.92        500.000        99.2543       0.226276E-001  0.339414       0.126578       0.257068                 NaN            NaN            NaN
  1339.79        500.000        99.2618       0.337788       0.197710E-001  0.126112       0.254525                 NaN            NaN            NaN
  1338.66        500.000        99.2687       0.196650E-001  0.335429       0.124432       0.251811                 NaN            NaN            NaN
  1337.52        500.000        99.2742       0.175143E-001  0.334751       0.123691       0.249817                 NaN            NaN            NaN
  1336.39        500.000        99.2814       0.160853E-001  0.332781       0.122623       0.247142                 NaN            NaN            NaN
  1335.26        500.000        99.2873       0.331382       0.151660E-001  0.121269       0.244851                 NaN            NaN            NaN
  1334.13        500.000        99.2937       0.329527       0.140452E-001  0.120196       0.242536                 NaN            NaN            NaN
  1332.99        500.000        99.2996       0.328547       0.126281E-001  0.118974       0.240265                 NaN            NaN            NaN
  1331.86        500.000        99.3053       0.116450E-001  0.327221       0.117770       0.238097                 NaN            NaN            NaN
  1330.73        500.000        99.3122       0.324964       0.106349E-001  0.116597       0.235605                 NaN            NaN            NaN
  1329.60        500.000        99.3175       0.325534       0.709256E-002  0.116111       0.233716                 NaN            NaN            NaN
  1328.46        500.000        99.3248       0.321982       0.850119E-002  0.113937       0.230787                 NaN            NaN            NaN
  1327.33        500.000        99.3290       0.321283       0.809361E-002  0.112568       0.229082                 NaN            NaN            NaN
  1326.20        500.000        99.3344       0.319710       0.772811E-002  0.111207       0.226995                 NaN            NaN            NaN
  1325.07        500.000        99.3399       0.318132       0.795271E-002  0.109324       0.224691                 NaN            NaN            NaN
  1323.93        500.000        99.3451       0.581378E-002  0.317802       0.108468       0.222768                 NaN            NaN            NaN
  1322.80        500.000        99.3504       0.692031E-002  0.315387       0.106613       0.220639                 NaN            NaN            NaN
  1321.67        500.000        99.3554       0.760451E-002  0.313227       0.105090       0.218660                 NaN            NaN            NaN
  1320.53        500.000        99.3486       0.289771       0.538969E-001  0.897841E-001  0.217958                 NaN            NaN            NaN
  1319.40        500.000        99.3678       0.124299E-001  0.307561       0.991979E-001  0.212974                 NaN            NaN            NaN
  1318.27        500.000        99.2981       0.346721                 NaN  0.952163E-001  0.233088       0.269103E-001            NaN            NaN
  1317.14        500.000        99.2889       0.348863                 NaN  0.937206E-001  0.234995       0.335437E-001            NaN            NaN
  1316.00        500.000        99.2941       0.339085                 NaN  0.982326E-001  0.235491       0.330538E-001            NaN            NaN
  1314.87        500.000        99.3114       0.343412                 NaN  0.864745E-001  0.226145       0.325198E-001            NaN            NaN
  1313.74        500.000        99.3131       0.337460                 NaN  0.904599E-001  0.227032       0.319647E-001            NaN            NaN
  1312.61        500.000        99.3210       0.332369                 NaN  0.905090E-001  0.224568       0.315104E-001            NaN            NaN
  1311.47        500.000        99.3290       0.327339                 NaN  0.905088E-001  0.222059       0.310578E-001            NaN            NaN
  1310.34        500.000        99.3365       0.324737                 NaN  0.887990E-001  0.219425       0.305306E-001            NaN            NaN
  1309.21        500.000        99.3444       0.319815                 NaN  0.887430E-001  0.216920       0.300862E-001            NaN            NaN
