|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          an             Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1394.23        500.000       0.151491E-002   99.9372       0.851344E-002  0.337863E-001  0.189736E-001            NaN            NaN            NaN            NaN            NaN
  1393.24        500.000                 NaN   98.9591                 NaN  0.106589       0.306070       0.332108       0.296097                 NaN            NaN            NaN
  1392.25        500.000                 NaN   98.8962                 NaN  0.102134       0.315278       0.347132       0.339269                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.9560                 NaN  0.106488       0.298593       0.299745       0.339196                 NaN            NaN            NaN
  1390.28        500.000                 NaN   98.9314                 NaN  0.105782       0.305566       0.342988       0.314222                 NaN            NaN            NaN
  1389.29        500.000                 NaN   98.9612                 NaN  0.104387       0.297112       0.303454       0.333815                 NaN            NaN            NaN
  1388.30        500.000                 NaN   98.9579                 NaN  0.106467       0.298480       0.301873       0.335297                 NaN            NaN            NaN
  1387.31        500.000                 NaN   98.9781                 NaN  0.106087       0.292370       0.329522       0.293892                 NaN            NaN            NaN
  1386.33        500.000                 NaN   98.9831                 NaN  0.106859       0.291286       0.290222       0.328525                 NaN            NaN            NaN
  1385.34        500.000                 NaN   98.9953                 NaN  0.107599       0.287812       0.283763       0.325512                 NaN            NaN            NaN
  1384.35        500.000                 NaN   99.0041                 NaN  0.108075       0.285667       0.279364       0.322776                 NaN            NaN            NaN
  1383.36        500.000                 NaN   99.0155                 NaN  0.108733       0.282296       0.319787       0.273723                 NaN            NaN            NaN
  1382.37        500.000       0.245411E-003   98.9559                 NaN  0.116923       0.300162       0.339135       0.287649                 NaN            NaN            NaN
  1381.39        500.000                 NaN   99.1018                 NaN  0.101235       0.257569       0.292229       0.247215                 NaN            NaN            NaN
  1380.40        500.000                 NaN   99.0437                 NaN  0.110225       0.274453       0.259142       0.312511                 NaN            NaN            NaN
  1379.41        500.000                 NaN   99.0518                 NaN  0.110889       0.272351       0.254583       0.310346                 NaN            NaN            NaN
  1378.42        500.000                 NaN   98.9863                 NaN  0.120253       0.291548       0.270344       0.331564                 NaN            NaN            NaN
  1377.43        500.000                 NaN   99.1446                 NaN  0.102272       0.245616       0.280839       0.226640                 NaN            NaN            NaN
  1376.45        500.000                 NaN   99.0786                 NaN  0.112343       0.265035       0.303325       0.240742                 NaN            NaN            NaN
  1375.46        500.000                 NaN   99.0870                 NaN  0.112723       0.262609       0.236846       0.300872                 NaN            NaN            NaN
  1374.47        500.000                 NaN   99.0319                 NaN  0.120901       0.278530       0.320142       0.248552                 NaN            NaN            NaN
  1373.48        500.000                 NaN   99.1674                 NaN  0.105334       0.239439       0.212336       0.275499                 NaN            NaN            NaN
  1372.49        500.000                 NaN   99.1117                 NaN  0.114230       0.255737       0.294516       0.223855                 NaN            NaN            NaN
  1371.50        500.000                 NaN   99.1198                 NaN  0.115239       0.253589       0.219007       0.292339                 NaN            NaN            NaN
  1370.52        500.000                 NaN   99.0001                 NaN  0.131486       0.287532       0.248110       0.332812                 NaN            NaN            NaN
