|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          an             Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1394.23        500.000       0.953682E-003   99.9467       0.696244E-002  0.260187E-001  0.193365E-001            NaN            NaN            NaN            NaN            NaN
  1393.24        500.000                 NaN   99.0844                 NaN  0.820537E-001  0.312155       0.273663       0.247728                 NaN            NaN            NaN
  1392.25        500.000                 NaN   99.0303                 NaN  0.785008E-001  0.321429       0.290291       0.279431                 NaN            NaN            NaN
  1391.27        500.000                 NaN   99.0840                 NaN  0.817459E-001  0.304265       0.246576       0.283366                 NaN            NaN            NaN
  1390.28        500.000                 NaN   99.0631                 NaN  0.810995E-001  0.311238       0.286315       0.258242                 NaN            NaN            NaN
  1389.29        500.000                 NaN   99.0900                 NaN  0.799224E-001  0.302481       0.249183       0.278446                 NaN            NaN            NaN
  1388.30        500.000                 NaN   99.0878                 NaN  0.813767E-001  0.303736       0.247644       0.279449                 NaN            NaN            NaN
  1387.31        500.000                 NaN   99.1062                 NaN  0.809923E-001  0.297375       0.274471       0.240920                 NaN            NaN            NaN
  1386.33        500.000                 NaN   99.1113                 NaN  0.814633E-001  0.296134       0.237704       0.273408                 NaN            NaN            NaN
  1385.34        500.000                 NaN   99.1227                 NaN  0.819136E-001  0.292462       0.232195       0.270703                 NaN            NaN            NaN
  1384.35        500.000                 NaN   99.1310                 NaN  0.821780E-001  0.290142       0.228416       0.268250                 NaN            NaN            NaN
  1383.36        500.000                 NaN   99.1418                 NaN  0.825396E-001  0.286579       0.265530       0.223579                 NaN            NaN            NaN
  1382.37        500.000       0.153206E-003   99.0905                 NaN  0.886807E-001  0.304584       0.281331       0.234790                 NaN            NaN            NaN
  1381.39        500.000                 NaN   99.2184                 NaN  0.766182E-001  0.261198       0.242267       0.201533                 NaN            NaN            NaN
  1380.40        500.000                 NaN   99.1685                 NaN  0.833166E-001  0.278207       0.211088       0.258896                 NaN            NaN            NaN
  1379.41        500.000                 NaN   99.1763                 NaN  0.837035E-001  0.275938       0.207196       0.256899                 NaN            NaN            NaN
  1378.42        500.000                 NaN   99.1201                 NaN  0.906255E-001  0.295257       0.219828       0.274233                 NaN            NaN            NaN
  1377.43        500.000                 NaN   99.2583                 NaN  0.769585E-001  0.248575       0.232078       0.184105                 NaN            NaN            NaN
  1376.45        500.000                 NaN   99.2015                 NaN  0.844347E-001  0.268119       0.250502       0.195409                 NaN            NaN            NaN
  1375.46        500.000                 NaN   99.2096                 NaN  0.845961E-001  0.265529       0.192076       0.248239                 NaN            NaN            NaN
  1374.47        500.000                 NaN   99.1626                 NaN  0.906062E-001  0.281496       0.263964       0.201366                 NaN            NaN            NaN
  1373.48        500.000                 NaN   99.2805                 NaN  0.788166E-001  0.241831       0.171857       0.226950                 NaN            NaN            NaN
  1372.49        500.000                 NaN   99.2330                 NaN  0.853497E-001  0.258179       0.242446       0.181034                 NaN            NaN            NaN
  1371.50        500.000                 NaN   99.2407                 NaN  0.859919E-001  0.255877       0.176963       0.240460                 NaN            NaN            NaN
  1370.52        500.000                 NaN   99.1384                 NaN  0.978852E-001  0.290001       0.200227       0.273478                 NaN            NaN            NaN
  1369.53        500.000                 NaN   99.3645                 NaN  0.729703E-001  0.214005       0.146934       0.201633                 NaN            NaN            NaN
  1368.54        500.000                 NaN   99.2637                 NaN  0.856699E-001  0.248433       0.234063       0.168084                 NaN            NaN            NaN
  1367.55        500.000                 NaN   99.2714                 NaN  0.863548E-001  0.245988       0.163665       0.232584                 NaN            NaN            NaN
  1366.56        500.000                 NaN   99.2774                 NaN  0.863558E-001  0.244088       0.160996       0.231201                 NaN            NaN            NaN
  1365.58        500.000                 NaN   99.2839                 NaN  0.862848E-001  0.242066       0.228988       0.158769                 NaN            NaN            NaN
  1364.59        500.000                 NaN   99.2911                 NaN  0.128661       0.248325       0.882333E-001  0.243694                 NaN            NaN            NaN
  1363.60        500.000                 NaN   99.2984                 NaN  0.452746E-001  0.229145       0.217266       0.209917                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.3066                 NaN  0.857930E-001  0.234541       0.149939       0.223106                 NaN            NaN            NaN
  1361.62        500.000                 NaN   99.3121                 NaN  0.868995E-001  0.233043       0.222384       0.145600                 NaN            NaN            NaN
  1360.64        500.000                 NaN   99.3188                 NaN  0.871309E-001  0.230982       0.220866       0.142218                 NaN            NaN            NaN
  1359.65        500.000                 NaN   99.3246                 NaN  0.875978E-001  0.229299       0.139350       0.219176                 NaN            NaN            NaN
  1358.66        500.000                 NaN   99.3319                 NaN  0.867200E-001  0.226452       0.137402       0.217476                 NaN            NaN            NaN
  1357.67        500.000                 NaN   99.3375                 NaN  0.872583E-001  0.224937       0.216106       0.134215                 NaN            NaN            NaN
  1356.68        500.000                 NaN   99.3366                 NaN  0.880261E-001  0.225479       0.133323       0.216533                 NaN            NaN            NaN
  1355.70        500.000                 NaN   99.3542                 NaN  0.862346E-001  0.219087       0.129097       0.211406                 NaN            NaN            NaN
  1354.71        500.000                 NaN   99.3558                 NaN  0.871952E-001  0.218989       0.126681       0.211365                 NaN            NaN            NaN
  1353.72        500.000                 NaN   99.3602                 NaN  0.876557E-001  0.217706       0.210350       0.124061                 NaN            NaN            NaN
  1352.73        500.000                 NaN   99.3682                 NaN  0.869656E-001  0.214875       0.207951       0.121998                 NaN            NaN            NaN
  1351.74        500.000                 NaN   99.3732                 NaN  0.872578E-001  0.213321       0.206971       0.119212                 NaN            NaN            NaN
  1350.76        500.000                 NaN   99.3783                 NaN  0.872491E-001  0.211703       0.205637       0.117118                 NaN            NaN            NaN
  1349.77        500.000                 NaN   99.3845                 NaN  0.872626E-001  0.209680       0.204046       0.114541                 NaN            NaN            NaN
  1348.78        500.000                 NaN   99.3892                 NaN  0.882437E-001  0.208594       0.202980       0.111017                 NaN            NaN            NaN
  1347.79        500.000                 NaN   99.3956                 NaN  0.872736E-001  0.206072       0.201310       0.109720                 NaN            NaN            NaN
  1346.80        500.000                 NaN   99.4026                 NaN  0.861542E-001  0.203445       0.198649       0.109130                 NaN            NaN            NaN
  1345.82        500.000                 NaN   99.6015                 NaN  0.591222E-001  0.136363       0.133482       0.694868E-001            NaN            NaN            NaN
  1344.83        500.000                 NaN   99.2142                 NaN  0.114444       0.267558       0.262452       0.141387                 NaN            NaN            NaN
  1343.84        500.000                 NaN   99.4125                 NaN  0.892810E-001  0.201208       0.995180E-001  0.197451                 NaN            NaN            NaN
  1342.85        500.000                 NaN   99.4253                 NaN  0.835279E-001  0.195427       0.104259       0.191529                 NaN            NaN            NaN
  1341.86        500.000                 NaN   99.4267                 NaN  0.866941E-001  0.195921       0.979097E-001  0.192798                 NaN            NaN            NaN
  1340.88        500.000                 NaN   99.4314                 NaN  0.865719E-001  0.194250       0.192458       0.953402E-001            NaN            NaN            NaN
  1339.89        500.000                 NaN   99.4367                 NaN  0.856022E-001  0.192276       0.190347       0.950796E-001            NaN            NaN            NaN
  1338.90        500.000                 NaN   99.4409                 NaN  0.858682E-001  0.190999       0.189414       0.927829E-001            NaN            NaN            NaN
  1337.91        500.000                 NaN   99.4460                 NaN  0.856158E-001  0.189292       0.187937       0.911732E-001            NaN            NaN            NaN
  1336.92        500.000                 NaN   99.4506                 NaN  0.854469E-001  0.187759       0.186656       0.895579E-001            NaN            NaN            NaN
  1335.94        500.000                 NaN   99.4552                 NaN  0.851481E-001  0.186156       0.880772E-001  0.185406                 NaN            NaN            NaN
  1334.95        500.000                 NaN   99.4587                 NaN  0.844983E-001  0.184931       0.876540E-001  0.184179                 NaN            NaN            NaN
  1333.96        500.000                 NaN   99.4655                 NaN  0.850662E-001  0.182753       0.838598E-001  0.182827                 NaN            NaN            NaN
  1332.97        500.000                 NaN   99.4688                 NaN  0.842576E-001  0.181550       0.837738E-001  0.181662                 NaN            NaN            NaN
  1331.98        500.000                 NaN   99.4733                 NaN  0.840576E-001  0.180095       0.180453       0.821366E-001            NaN            NaN            NaN
  1331.00        500.000                 NaN   99.4777                 NaN  0.841546E-001  0.178673       0.179375       0.801352E-001            NaN            NaN            NaN
  1330.01        500.000                 NaN   99.5491                 NaN  0.733329E-001  0.154373       0.155862       0.673269E-001            NaN            NaN            NaN
  1329.02        500.000                 NaN   99.4175                 NaN  0.927313E-001  0.198588       0.200417       0.907833E-001            NaN            NaN            NaN
  1328.03        500.000                 NaN   99.4911                 NaN  0.837791E-001  0.174258       0.750061E-001  0.175830                 NaN            NaN            NaN
  1327.04        500.000                 NaN   99.4955                 NaN  0.812610E-001  0.172056       0.173660       0.774766E-001            NaN            NaN            NaN
  1326.05        500.000                 NaN   99.5004                 NaN  0.825129E-001  0.170951       0.725525E-001  0.173591                 NaN            NaN            NaN
