|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         San(TH)        ilm            q             
  1397.44        500.000        99.6637       0.183918                 NaN            NaN  0.152413                 NaN            NaN            NaN            NaN            NaN
  1396.44        500.000        99.0891       0.461620       0.137567                 NaN  0.311753                 NaN            NaN            NaN            NaN            NaN
  1395.45        500.000        99.0200       0.294880       0.300617                 NaN  0.326073       0.584678E-001            NaN            NaN            NaN            NaN
  1394.45        500.000        99.0404       0.296230       0.263596                 NaN  0.322867       0.769052E-001            NaN            NaN            NaN            NaN
  1393.46        500.000        99.0494       0.293835       0.259310                 NaN  0.320181       0.772267E-001            NaN            NaN            NaN            NaN
  1392.46        500.000        99.0602       0.254371       0.290935                 NaN  0.316821       0.776291E-001            NaN            NaN            NaN            NaN
  1391.46        500.000        99.0700       0.289192       0.249072                 NaN  0.313893       0.778858E-001            NaN            NaN            NaN            NaN
  1390.47        500.000        99.0825       0.285307       0.244411                 NaN  0.309751       0.779944E-001            NaN            NaN            NaN            NaN
  1389.47        500.000        99.0700       0.244826       0.290052                 NaN  0.314406       0.807424E-001            NaN            NaN            NaN            NaN
  1388.48        500.000        99.1246       0.273640       0.229329                 NaN  0.295842       0.766167E-001            NaN            NaN            NaN            NaN
  1387.48        500.000        99.1109       0.278826       0.229711                 NaN  0.301049       0.794898E-001            NaN            NaN            NaN            NaN
  1386.48        500.000        99.1249       0.274384       0.225886                 NaN  0.296220       0.786346E-001            NaN            NaN            NaN            NaN
  1385.49        500.000        99.0874       0.232966       0.286846                 NaN  0.309273       0.835423E-001            NaN            NaN            NaN            NaN
  1384.49        500.000        99.3582       0.202190       0.161632                 NaN  0.217970       0.599803E-001            NaN            NaN            NaN            NaN
  1383.49        500.000        98.9789       0.322905       0.256241                 NaN  0.346201       0.957811E-001            NaN            NaN            NaN            NaN
  1382.50        500.000        99.1612       0.208170       0.265662                 NaN  0.284894       0.801216E-001            NaN            NaN            NaN            NaN
  1381.50        500.000        99.1016       0.220416       0.285236                 NaN  0.305578       0.872156E-001            NaN            NaN            NaN            NaN
  1380.51        500.000        99.2452       0.239884       0.184669                 NaN  0.256643       0.735832E-001            NaN            NaN            NaN            NaN
  1379.51        500.000        99.1911       0.194996       0.257875                 NaN  0.275348       0.807150E-001            NaN            NaN            NaN            NaN
  1378.51        500.000        99.1952       0.256878       0.192479                 NaN  0.274392       0.810878E-001            NaN            NaN            NaN            NaN
  1377.52        500.000        99.2083       0.187227       0.253626                 NaN  0.269778       0.811111E-001            NaN            NaN            NaN            NaN
