|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.75/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1634.62        2500.00       0.375501E-002   99.3804       0.591279       0.245599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   99.0421       0.911116       0.467651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   99.0442       0.837150       0.118669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   99.0630       0.819498       0.117528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   99.0722       0.811163       0.116683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   99.2986       0.624077       0.772749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   98.8739       0.975416       0.150689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   99.0952       0.793035       0.111720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   99.0676       0.817655       0.114720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.1654       0.730681       0.103921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.1322       0.760512       0.107309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   99.1400       0.754143       0.105898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.1480       0.747847       0.104120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.1579       0.738342       0.103784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.1593       0.728175       0.112495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   99.1838       0.728400       0.878053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   99.1839       0.718301       0.978347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.1939       0.708222       0.978904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00                 NaN   99.1982       0.706851       0.949960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00                 NaN   99.2110       0.694511       0.944767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
