|6.6.6
Archiving\03_Data\eq/QFM_m5/GRV/GRV_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        97.9124       0.690124        1.39743                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        97.9012       0.690265        1.40857                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        97.8899       0.690406        1.41971                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        97.8786       0.690547        1.43086                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        97.8673       0.690689        1.44201                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        97.8560       0.690830        1.45316                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        97.8447       0.690971        1.46432                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        97.8334       0.691112        1.47548                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        97.8221       0.691254        1.48664                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        97.8112       0.691392        1.49740                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        97.8003       0.691531        1.50817                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        97.7894       0.691669        1.51894                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.7785       0.691808        1.52972                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.7676       0.691947        1.54050                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.7566       0.692085        1.55128                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.7457       0.692224        1.56206                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.7348       0.692362        1.57285                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.7243       0.692498        1.58324                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        97.7137       0.692635        1.59364                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.7032       0.692771        1.60404                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        97.6926       0.692907        1.61445                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        97.6821       0.693043        1.62486                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        97.6716       0.693179        1.63527                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        97.6610       0.693315        1.64568                 NaN            NaN            NaN            NaN            NaN
