|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1576.92        2500.00       0.227637E-002   99.6694       0.266904       0.614554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00                 NaN   99.4282       0.511477       0.603265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN   99.4289       0.510955       0.601854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN   99.4377       0.502840       0.594923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN   99.4338       0.506787       0.593772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.4511       0.491306       0.575663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN   99.4500       0.492820       0.571326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN   99.4544       0.488402       0.571499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN   99.4545       0.488185       0.572856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   99.0093       0.825388       0.165361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN   99.9341       0.659437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN   99.4737       0.526274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN   99.4728       0.472618       0.545805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN   99.4827       0.466114       0.511809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN   99.4843       0.464647       0.510992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN   99.4875       0.462872       0.495992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00                 NaN   99.4912       0.459414       0.493610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN   99.8913       0.984344E-001  0.102867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00                 NaN   99.1038       0.806855       0.893053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN   99.5079       0.444674       0.473959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00                 NaN   99.5084       0.445426       0.461608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.5128       0.440729       0.465088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN   99.5035       0.450932       0.455792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.5297       0.426218       0.441027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00                 NaN   99.5181       0.438857       0.430190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00                 NaN   99.6623       0.307714       0.300186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00                 NaN   99.3951       0.550474       0.544290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.5315       0.426942       0.415732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00                 NaN   99.5288       0.429838       0.413299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.8277       0.159031       0.132625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00                 NaN   99.2600       0.671804       0.682341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
