|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/T13/T13_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1589.74        500.000       0.333910E-002            NaN            NaN   99.9967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        500.000                 NaN            NaN            NaN   99.0493       0.950702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        500.000                 NaN            NaN            NaN   99.0460       0.953990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        500.000                 NaN            NaN            NaN   99.0563       0.940964       0.275862E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        500.000                 NaN            NaN            NaN   99.0656       0.890248       0.441021E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        500.000                 NaN            NaN            NaN   99.0738       0.867989       0.582236E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        500.000                 NaN            NaN            NaN   99.0829       0.861622       0.554499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        500.000                 NaN            NaN            NaN   99.0931       0.850307       0.565590E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        500.000                 NaN            NaN            NaN   99.1018       0.843847       0.543860E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000                 NaN            NaN            NaN   99.1083       0.838712       0.529636E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        500.000                 NaN            NaN            NaN   99.1202       0.827695       0.521142E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        500.000                 NaN            NaN            NaN   99.1262       0.823288       0.505303E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        500.000                 NaN            NaN            NaN   99.0712       0.874141       0.546368E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        500.000                 NaN            NaN            NaN   99.7327       0.253221       0.140336E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        500.000                 NaN            NaN            NaN   98.6225        1.30163       0.759228E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        500.000                 NaN            NaN            NaN   99.1590       0.794251       0.467755E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        500.000                 NaN            NaN            NaN   99.1662       0.789395       0.444304E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        500.000                 NaN            NaN            NaN   99.1726       0.783634       0.437376E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        500.000                 NaN            NaN            NaN   99.1794       0.777542       0.430272E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000                 NaN            NaN            NaN   99.1877       0.770694       0.416361E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        500.000                 NaN            NaN            NaN   99.1876       0.775034       0.373635E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        500.000                 NaN            NaN            NaN   99.2037       0.757072       0.392631E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        500.000                 NaN            NaN            NaN   99.1982       0.761989       0.397797E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000                 NaN            NaN            NaN   99.2272       0.736002       0.368466E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        500.000                 NaN            NaN            NaN   99.2212       0.742889       0.358852E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN            NaN            NaN   99.2262       0.738344       0.354790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        500.000                 NaN            NaN            NaN   99.2364       0.728726       0.348297E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000                 NaN            NaN            NaN   99.2403       0.727269       0.324140E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        500.000                 NaN            NaN            NaN   99.2452       0.724561       0.302651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN            NaN            NaN   99.2530       0.716994       0.300334E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN            NaN            NaN   99.2577       0.712969       0.293568E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        500.000                 NaN            NaN            NaN   99.2611       0.710918       0.279912E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN            NaN            NaN   99.1449       0.825854       0.292429E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        500.000                 NaN            NaN            NaN   99.8712       0.123153       0.569674E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        500.000                 NaN            NaN            NaN   99.8037       0.189994       0.627422E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000                 NaN            NaN            NaN   98.2930        1.65130       0.556673E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        500.000                 NaN            NaN            NaN   99.2869       0.691004       0.221260E-001            NaN            NaN            NaN            NaN            NaN            NaN
