|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/T13/T13_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1589.74        500.000       0.214042E-002            NaN            NaN   99.9979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        500.000                 NaN            NaN            NaN   99.1585       0.841493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        500.000                 NaN            NaN            NaN   99.1557       0.844269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        500.000                 NaN            NaN            NaN   99.1651       0.832522       0.237108E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        500.000                 NaN            NaN            NaN   99.1747       0.787436       0.378857E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        500.000                 NaN            NaN            NaN   99.1823       0.767648       0.500105E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        500.000                 NaN            NaN            NaN   99.1905       0.761895       0.476025E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        500.000                 NaN            NaN            NaN   99.1998       0.751620       0.485363E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        500.000                 NaN            NaN            NaN   99.2077       0.745696       0.466452E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000                 NaN            NaN            NaN   99.2136       0.740977       0.454068E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        500.000                 NaN            NaN            NaN   99.2242       0.731095       0.446691E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        500.000                 NaN            NaN            NaN   99.2297       0.727027       0.432957E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        500.000                 NaN            NaN            NaN   99.1816       0.771650       0.467817E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        500.000                 NaN            NaN            NaN   99.7647       0.223273       0.120017E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        500.000                 NaN            NaN            NaN   98.7856        1.14935       0.650211E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        500.000                 NaN            NaN            NaN   99.2593       0.700681       0.400117E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        500.000                 NaN            NaN            NaN   99.2658       0.696186       0.379848E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        500.000                 NaN            NaN            NaN   99.2717       0.690956       0.373790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        500.000                 NaN            NaN            NaN   99.2779       0.685372       0.367513E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000                 NaN            NaN            NaN   99.2853       0.679183       0.355535E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        500.000                 NaN            NaN            NaN   99.2853       0.682773       0.318891E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        500.000                 NaN            NaN            NaN   99.2996       0.666874       0.335007E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        500.000                 NaN            NaN            NaN   99.2950       0.671092       0.339418E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000                 NaN            NaN            NaN   99.3206       0.647965       0.314090E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        500.000                 NaN            NaN            NaN   99.3155       0.653876       0.305799E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN            NaN            NaN   99.3201       0.649688       0.302152E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        500.000                 NaN            NaN            NaN   99.3293       0.641065       0.296535E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000                 NaN            NaN            NaN   99.3328       0.639629       0.275858E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        500.000                 NaN            NaN            NaN   99.3371       0.637152       0.257564E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN            NaN            NaN   99.3442       0.630297       0.255392E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN            NaN            NaN   99.3485       0.626558       0.249507E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        500.000                 NaN            NaN            NaN   99.3517       0.624522       0.237733E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN            NaN            NaN   99.2497       0.725487       0.248254E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        500.000                 NaN            NaN            NaN   99.8871       0.108027       0.482953E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        500.000                 NaN            NaN            NaN   99.8280       0.166691       0.531774E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000                 NaN            NaN            NaN   98.5015        1.45120       0.472643E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        500.000                 NaN            NaN            NaN   99.3749       0.606371       0.187629E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        500.000                 NaN            NaN            NaN   99.3885       0.592869       0.186242E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        500.000                 NaN            NaN            NaN   99.3871       0.593520       0.193318E-001            NaN            NaN            NaN            NaN            NaN            NaN
