|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1612.18        500.000       0.215363E-002   99.6220       0.330409       0.394072E-001  0.603743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.65        500.000                 NaN   98.9004        1.05564       0.419822E-001  0.202249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.11        500.000                 NaN   98.8958        1.07994       0.999563E-002  0.142260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        500.000                 NaN   98.7211        1.22161       0.572813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.04        500.000                 NaN   99.1096       0.865979       0.182253E-001  0.616914E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        500.000                 NaN   98.9752       0.983647       0.411987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.97        500.000                 NaN   98.9581       0.999519       0.424144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        500.000                 NaN   98.9694       0.989484       0.411299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.91        500.000                 NaN   98.9756       0.985320       0.390505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        500.000                 NaN   98.9979       0.965591       0.365436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.84        500.000                 NaN   99.0036       0.959605       0.368035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        500.000                 NaN   99.0120       0.953606       0.344122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.77        500.000                 NaN   99.0230       0.943591       0.334311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        500.000                 NaN   99.0342       0.932408       0.334391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        500.000                 NaN   98.9501       0.985050       0.648098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.17        500.000                 NaN   99.1484       0.805478       0.461037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.63        500.000                 NaN   99.0141       0.962859       0.230088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        500.000                 NaN   99.1197       0.879837       0.501501E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.56        500.000                 NaN   99.0795       0.908383       0.121111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.03        500.000                 NaN   99.0923       0.881080       0.266631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.49        500.000                 NaN   99.1028       0.871707       0.254600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        500.000                 NaN   96.6099        3.32400       0.661357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.43        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.36        500.000                 NaN   99.8706       0.118433       0.109543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000                 NaN   99.6823       0.315643       0.201568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.29        500.000                 NaN   98.6597        1.30737       0.329230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000                 NaN   99.1593       0.822998       0.177336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.22        500.000                 NaN   99.1677       0.814892       0.173873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000                 NaN   99.1743       0.807337       0.183540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.15        500.000                 NaN   99.1841       0.800334       0.155732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.62        500.000                 NaN   99.1892       0.796472       0.143586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.08        500.000                 NaN   99.1920       0.794666       0.133140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        500.000                 NaN   99.2090       0.778140       0.128125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.01        500.000                 NaN   99.2061       0.784972       0.897677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        500.000                 NaN   99.2207       0.768511       0.107828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.95        500.000                 NaN   99.1331       0.856525       0.103738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        500.000                 NaN   99.3226       0.670407       0.701067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000                 NaN   99.2357       0.757687       0.665232E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        500.000                 NaN   99.2456       0.747076       0.734781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.81        500.000                 NaN   99.2523       0.741329       0.636577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.27        500.000                 NaN   99.2556       0.744368       0.518410E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.74        500.000                 NaN   99.2630       0.729537       0.746781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.21        500.000                 NaN   99.2666       0.733367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.67        500.000                 NaN   99.2750       0.721799       0.319682E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000                 NaN   99.2804       0.714793       0.480028E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.60        500.000                 NaN   99.2853       0.714599       0.685832E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.2938       0.701071       0.509767E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.53        500.000                 NaN   99.3062       0.623365       0.704001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.3039       0.696123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.47        500.000                 NaN   99.3086       0.691433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        500.000                 NaN   99.3133       0.685377       0.135359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.40        500.000                 NaN   99.3186       0.681425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.86        500.000                 NaN   99.3261       0.673911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.33        500.000                 NaN   99.3288       0.671156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN   99.3356       0.664409       0.146821E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.26        500.000                 NaN   99.3391       0.660947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000                 NaN   99.3315       0.668454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        500.000                 NaN   99.3603       0.638854       0.874254E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.66        500.000                 NaN   99.3567       0.643350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.12        500.000                 NaN   99.3581       0.641851       0.385910E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        500.000                 NaN   99.3616       0.638379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.05        500.000                 NaN   99.3674       0.632565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        500.000                 NaN   99.3703       0.628921       0.823252E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.99        500.000                 NaN   99.3757       0.624293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        500.000                 NaN   99.3787       0.621305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.92        500.000                 NaN   99.3820       0.618008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.38        500.000                 NaN   99.3866       0.613409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.85        500.000                 NaN   99.3917       0.608320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.31        500.000                 NaN   99.3945       0.605486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.78        500.000                 NaN   99.3448       0.349247                 NaN            NaN  0.305909                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.25        500.000                 NaN   99.2629                 NaN            NaN            NaN  0.737105                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.71        500.000                 NaN   99.2331       0.447958E-001            NaN            NaN  0.722058                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        500.000                 NaN   99.3856       0.214660E-001            NaN            NaN  0.592957                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.64        500.000                 NaN   99.1851                 NaN            NaN            NaN  0.814930                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        500.000                 NaN   99.2730                 NaN            NaN            NaN  0.727012                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.57        500.000                 NaN   99.2704                 NaN            NaN            NaN  0.729606                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        500.000                 NaN   99.3004                 NaN            NaN            NaN  0.699633                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.51        500.000                 NaN   99.2435                 NaN            NaN            NaN  0.756522                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.97        500.000                 NaN   99.2737       0.153128E-001            NaN            NaN  0.710972                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.44        500.000                 NaN   99.2318                 NaN            NaN            NaN  0.768180                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.90        500.000                 NaN   99.5352       0.688176E-001            NaN            NaN  0.395935                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.37        500.000                 NaN   99.0438                 NaN            NaN            NaN  0.956203                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.83        500.000                 NaN   99.2665                 NaN            NaN            NaN  0.733524                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.30        500.000                 NaN   99.2599                 NaN            NaN            NaN  0.740084                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.77        500.000                 NaN   99.2593                 NaN            NaN            NaN  0.740701                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.23        500.000                 NaN   99.2497                 NaN            NaN            NaN  0.750348                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000                 NaN   98.8370                 NaN            NaN            NaN  0.640196       0.522759                 NaN            NaN            NaN            NaN            NaN
  1477.16        500.000                 NaN   98.7734                 NaN            NaN            NaN  0.751255       0.475385                 NaN            NaN            NaN            NaN            NaN
  1475.63        500.000                 NaN   98.9726                 NaN            NaN            NaN  0.630705       0.396682                 NaN            NaN            NaN            NaN            NaN
  1474.09        500.000                 NaN   98.6162                 NaN            NaN            NaN  0.850970       0.532827                 NaN            NaN            NaN            NaN            NaN
  1472.56        500.000                 NaN   98.8180                 NaN            NaN            NaN  0.455890       0.726098                 NaN            NaN            NaN            NaN            NaN
  1471.03        500.000                 NaN   98.8279                 NaN            NaN            NaN  0.451652       0.720464                 NaN            NaN            NaN            NaN            NaN
