|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00        99.4729       0.358608       0.168499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00        98.8978       0.957726       0.144438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00        98.9058       0.950854       0.143324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00        98.9247       0.932913       0.142373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00        98.9369       0.923794       0.139320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00        98.9417       0.920832       0.137500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.9571       0.906523       0.136346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        98.9729       0.892134       0.135007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00        98.9800       0.888341       0.131673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00        98.9901       0.879235       0.130631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00        99.0007       0.870849       0.128408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00        99.0145       0.858461       0.127053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00        99.0230       0.851739       0.125308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.0323       0.844101       0.123581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00        99.0426       0.835519       0.121918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00        99.0533       0.825511       0.121235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00        99.0625       0.818304       0.119161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.0705       0.813238       0.116306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00        99.0765       0.808146       0.115365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00        99.0919       0.795672       0.112462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00        98.9634       0.895456       0.141106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.2357       0.688542       0.757094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00        99.1158       0.774192       0.110044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
