|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             q             
  1580.13        2500.00       0.927604E-002   99.6931       0.297655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        2500.00                 NaN   99.4253       0.572364       0.236573E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        2500.00                 NaN   99.4219       0.516501       0.616481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00                 NaN   99.4369       0.502973       0.601077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        2500.00                 NaN   99.4250       0.513720       0.612705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN   99.4529       0.488935       0.581634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        2500.00                 NaN   99.4479       0.493064       0.590372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN   99.4528       0.489689       0.574670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        2500.00                 NaN   99.4282       0.513082       0.586812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN   99.4870       0.458971       0.540216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        2500.00                 NaN   99.4662       0.478535       0.552408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        2500.00                 NaN   99.4679       0.478806       0.532837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        2500.00                 NaN   99.4733       0.473604       0.530534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00                 NaN   99.4784       0.468531       0.530393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        2500.00                 NaN   99.4812       0.467045       0.517329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        2500.00                 NaN   99.4859       0.463063       0.509894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        2500.00                 NaN   99.4911       0.458274       0.506599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00                 NaN   99.4902       0.461357       0.484634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        2500.00                 NaN   99.5011       0.449479       0.493772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00                 NaN   99.5020       0.449909       0.480483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        2500.00                 NaN   99.5060       0.446629       0.473541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.5102       0.442627       0.471904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        2500.00                 NaN   99.5141       0.439381       0.465623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        2500.00                 NaN   99.5170       0.436874       0.461389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        2500.00                 NaN   99.5221       0.432871       0.450003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN   99.5242       0.432154       0.436683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        2500.00                 NaN   99.5284       0.428049       0.435958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.5314       0.426238       0.423950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        2500.00                 NaN   99.4698       0.482446       0.477862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00                 NaN   99.6028       0.361560       0.355909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        2500.00                 NaN   99.5387       0.419328       0.419615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        2500.00                 NaN   99.5473       0.414209       0.384874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        2500.00                 NaN   99.5323       0.424791       0.429332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00                 NaN   99.5661       0.398496       0.354207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00                 NaN   99.5544       0.408070       0.375337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN   99.5584       0.403845       0.377334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00                 NaN   99.5548       0.408516       0.366376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        2500.00                 NaN   99.5693       0.394123       0.365303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        2500.00                 NaN   99.5526       0.419776       0.276711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        2500.00                 NaN   99.5816       0.377027       0.414191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00                 NaN   99.5714       0.395080       0.334781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00                 NaN   99.5743       0.393184       0.324751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        2500.00                 NaN   99.5733       0.394027       0.326916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00                 NaN   99.5864       0.380661       0.329824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        2500.00                 NaN   99.5817       0.387567       0.306999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00                 NaN   99.5849       0.385074       0.300623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        2500.00                 NaN   99.5871       0.382894       0.299628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.5913       0.377272       0.313823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        2500.00                 NaN   99.4748       0.490147       0.350044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN   99.7941       0.191416       0.144823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        2500.00                 NaN   99.5158       0.450432       0.337310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        2500.00                 NaN   99.3893       0.567858       0.428325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        2500.00                 NaN   99.8168       0.171558       0.116018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00                 NaN   99.6058       0.366436       0.277549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        2500.00                 NaN   99.6074       0.368401       0.242179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00                 NaN   99.4348       0.525704       0.394897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        2500.00                 NaN   99.7608       0.113961       0.820961E-005  0.125218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        2500.00                 NaN   99.7492                 NaN  0.107558E-001  0.240003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        2500.00                 NaN   99.2127                 NaN            NaN  0.787318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        2500.00                 NaN   99.4784                 NaN            NaN  0.521572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        2500.00                 NaN   99.4775                 NaN            NaN  0.522484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        2500.00                 NaN   99.4760                 NaN  0.194122E-005  0.523982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        2500.00                 NaN   99.4744                 NaN            NaN  0.525644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        2500.00                 NaN   99.4725                 NaN            NaN  0.527454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.4690                 NaN  0.186164E-005  0.530960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        2500.00                 NaN   99.4658                 NaN            NaN  0.534170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.17        2500.00                 NaN   99.2783                 NaN            NaN  0.388613       0.333058                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.71        2500.00                 NaN   99.1897                 NaN            NaN  0.317457       0.492813                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.26        2500.00                 NaN   99.2094                 NaN            NaN  0.480183       0.310464                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        2500.00                 NaN   99.2106                 NaN            NaN  0.479866       0.309570                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.35        2500.00                 NaN   99.2172                 NaN            NaN  0.475297       0.307454                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        2500.00                 NaN   99.2256                 NaN  0.202539E-005  0.303620       0.470825                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.44        2500.00                 NaN   99.2313                 NaN            NaN  0.300870       0.467818                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.99        2500.00                 NaN   99.2368                 NaN            NaN  0.298526       0.464637                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.54        2500.00                 NaN   99.2456                 NaN  0.855354E-006  0.459490       0.294914                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.08        2500.00                 NaN   99.2501                 NaN            NaN  0.457419       0.292472                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.63        2500.00                 NaN   98.9932                 NaN            NaN  0.616173       0.390599                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.18        2500.00                 NaN   99.5306                 NaN            NaN  0.285802       0.183601                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.72        2500.00                 NaN   99.2696                 NaN            NaN  0.446176       0.284266                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.27        2500.00                 NaN   99.2757                 NaN            NaN  0.442407       0.281892                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.81        2500.00                 NaN   99.2811                 NaN            NaN  0.279171       0.439751                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.36        2500.00                 NaN   99.2869                 NaN            NaN  0.436262       0.276829                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.91        2500.00                 NaN   99.2935                 NaN            NaN  0.274035       0.432506                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.45        2500.00                 NaN   99.2938                 NaN            NaN  0.273004       0.433208                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.00        2500.00                 NaN   99.3082                 NaN            NaN  0.424110       0.267642                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.54        2500.00                 NaN   99.5016                 NaN            NaN  0.190926       0.307428                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.09        2500.00                 NaN   99.1218                 NaN            NaN  0.340120       0.538087                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.64        2500.00                 NaN   99.3202                 NaN            NaN  0.262300       0.417484                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.18        2500.00                 NaN   99.3254                 NaN            NaN  0.414574       0.260070                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.73        2500.00                 NaN   99.3302                 NaN            NaN  0.257760       0.412032                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.27        2500.00                 NaN   99.3349                 NaN            NaN  0.255694       0.409397                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.82        2500.00                 NaN   99.3402                 NaN            NaN  0.406453       0.253351                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN   99.3450                 NaN            NaN  0.404064       0.250976                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.91        2500.00                 NaN   99.3495                 NaN            NaN  0.250096       0.400432                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.46        2500.00                 NaN   99.9977                 NaN            NaN  0.227542E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.00        2500.00                 NaN   98.7165                 NaN  0.111203E-005  0.490573       0.792892                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.55        2500.00                 NaN   98.7339                 NaN            NaN  0.513116       0.425130       0.327896                 NaN            NaN            NaN            NaN            NaN
  1439.10        2500.00                 NaN   98.2845                 NaN  0.107070       0.469646       0.553453       0.585322                 NaN            NaN            NaN            NaN            NaN
  1437.64        2500.00                 NaN   98.3077                 NaN  0.151922       0.479815       0.474136       0.586448                 NaN            NaN            NaN            NaN            NaN
  1436.19        2500.00                 NaN   98.3320                 NaN  0.151747       0.470328       0.466810       0.579091                 NaN            NaN            NaN            NaN            NaN
  1434.73        2500.00                 NaN   98.3866                 NaN  0.137589       0.450829       0.467447       0.557509                 NaN            NaN            NaN            NaN            NaN
  1433.28        2500.00                 NaN   98.4022                 NaN  0.158405       0.430991       0.451485       0.556892                 NaN            NaN            NaN            NaN            NaN
  1431.83        2500.00                 NaN   98.4352                 NaN  0.146337       0.434285       0.440392       0.543746                 NaN            NaN            NaN            NaN            NaN
  1430.37        2500.00                 NaN   98.4638                 NaN  0.145049       0.432493       0.424254       0.534357                 NaN            NaN            NaN            NaN            NaN
  1428.92        2500.00                 NaN   98.4910                 NaN  0.143794       0.414334       0.425555       0.525333                 NaN            NaN            NaN            NaN            NaN
  1427.46        2500.00                 NaN   98.5219                 NaN  0.142305       0.417313       0.403707       0.514825                 NaN            NaN            NaN            NaN            NaN
  1426.01        2500.00                 NaN   98.5459                 NaN  0.141210       0.394875       0.411025       0.507026                 NaN            NaN            NaN            NaN            NaN
  1424.56        2500.00                 NaN   98.5732                 NaN  0.139815       0.403733       0.385740       0.497479                 NaN            NaN            NaN            NaN            NaN
  1423.10        2500.00                 NaN   98.5979                 NaN  0.138743       0.376739       0.397291       0.489313                 NaN            NaN            NaN            NaN            NaN
  1421.65        2500.00                 NaN   98.6199                 NaN  0.138404       0.392252       0.367377       0.482101                 NaN            NaN            NaN            NaN            NaN
  1420.19        2500.00                 NaN   98.6455                 NaN  0.135866       0.383372       0.361506       0.473806                 NaN            NaN            NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6724                 NaN  0.134716       0.377570       0.351565       0.463790                 NaN            NaN            NaN            NaN            NaN
  1417.29        2500.00                 NaN   98.6926                 NaN  0.134340       0.372187       0.343656       0.457176                 NaN            NaN            NaN            NaN            NaN
  1415.83        2500.00                 NaN   98.7112                 NaN  0.133685       0.368037       0.335956       0.451126                 NaN            NaN            NaN            NaN            NaN
  1414.38        2500.00                 NaN   98.7400                 NaN  0.131292       0.328392       0.359461       0.440825                 NaN            NaN            NaN            NaN            NaN
  1412.92        2500.00                 NaN   98.7561                 NaN  0.130929       0.354591       0.322580       0.435777                 NaN            NaN            NaN            NaN            NaN
  1411.47        2500.00                 NaN   98.7774                 NaN  0.130142       0.314230       0.349879       0.428395                 NaN            NaN            NaN            NaN            NaN
  1410.02        2500.00                 NaN   98.7971                 NaN  0.128754       0.307654       0.344748       0.421713                 NaN            NaN            NaN            NaN            NaN
  1408.56        2500.00                 NaN   98.8157                 NaN  0.127893       0.339983       0.301045       0.415361                 NaN            NaN            NaN            NaN            NaN
  1407.11        2500.00                 NaN   98.8348                 NaN  0.126929       0.334222       0.295013       0.409076                 NaN            NaN            NaN            NaN            NaN
  1405.65        2500.00                 NaN   98.8539                 NaN  0.125786       0.329414       0.288721       0.402204                 NaN            NaN            NaN            NaN            NaN
  1404.20        2500.00                 NaN   98.8714                 NaN  0.124844       0.324780       0.282720       0.396264                 NaN            NaN            NaN            NaN            NaN
  1402.75        2500.00                 NaN   98.8886                 NaN  0.124117       0.276531       0.320374       0.390419                 NaN            NaN            NaN            NaN            NaN
  1401.29        2500.00                 NaN   98.9045                 NaN  0.123229       0.270977       0.316158       0.385125                 NaN            NaN            NaN            NaN            NaN
  1399.84        2500.00                 NaN   98.9237                 NaN  0.121635       0.310794       0.265703       0.378166                 NaN            NaN            NaN            NaN            NaN
  1398.39        2500.00                 NaN   98.9385                 NaN  0.121106       0.260193       0.306979       0.373236                 NaN            NaN            NaN            NaN            NaN
  1396.93        2500.00                 NaN   98.9541                 NaN  0.120699       0.254621       0.302325       0.368216                 NaN            NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN   98.9705                 NaN  0.119393       0.298557       0.249495       0.362041                 NaN            NaN            NaN            NaN            NaN
  1394.02        2500.00                 NaN   98.9867                 NaN  0.118189       0.244723       0.293967       0.356434                 NaN            NaN            NaN            NaN            NaN
  1392.57        2500.00                 NaN   99.0002                 NaN  0.117233       0.240222       0.290532       0.351810                 NaN            NaN            NaN            NaN            NaN
  1391.12        2500.00                 NaN   99.0145                 NaN  0.116433       0.286597       0.235409       0.347057                 NaN            NaN            NaN            NaN            NaN
  1389.66        2500.00                 NaN   99.0288                 NaN  0.115523       0.282851       0.230838       0.341950                 NaN            NaN            NaN            NaN            NaN
  1388.21        2500.00                 NaN   99.0420                 NaN  0.114828       0.226409       0.279396       0.337344                 NaN            NaN            NaN            NaN            NaN
  1386.75        2500.00                 NaN   99.0373                 NaN  0.112431       0.231602       0.279571       0.339124                 NaN            NaN            NaN            NaN            NaN
  1385.30        2500.00                 NaN   99.0897                 NaN  0.115113       0.206221       0.268563       0.320390                 NaN            NaN            NaN            NaN            NaN
  1383.85        2500.00                 NaN   99.0810                 NaN  0.111958       0.268783       0.214436       0.323785                 NaN            NaN            NaN            NaN            NaN
  1382.39        2500.00                 NaN   99.0949                 NaN  0.111138       0.265487       0.209819       0.318706                 NaN            NaN            NaN            NaN            NaN
  1380.94        2500.00                 NaN   99.1074                 NaN  0.109885       0.261565       0.206764       0.314376                 NaN            NaN            NaN            NaN            NaN
  1379.48        2500.00                 NaN   99.1184                 NaN  0.109372       0.259019       0.202696       0.310545                 NaN            NaN            NaN            NaN            NaN
  1378.03        2500.00                 NaN   99.1312                 NaN  0.108379       0.255389       0.199002       0.306028                 NaN            NaN            NaN            NaN            NaN
  1376.58        2500.00                 NaN   99.1419                 NaN  0.107552       0.252505       0.195721       0.302325                 NaN            NaN            NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.1544                 NaN  0.106490       0.192225       0.248994       0.297884                 NaN            NaN            NaN            NaN            NaN
  1373.67        2500.00                 NaN   99.1935                 NaN  0.104588       0.175684       0.241006       0.285210                 NaN            NaN            NaN            NaN            NaN
  1372.21        2500.00                 NaN   99.1492                 NaN  0.106094       0.248969       0.196912       0.298785                 NaN            NaN            NaN            NaN            NaN
  1370.76        2500.00                 NaN   99.1875                 NaN  0.103356       0.183303       0.239780       0.286090                 NaN            NaN            NaN            NaN            NaN
  1369.31        2500.00                 NaN   99.1984                 NaN  0.103106       0.178886       0.237459       0.282154                 NaN            NaN            NaN            NaN            NaN
  1367.85        2500.00                 NaN   99.2081                 NaN  0.101717       0.234077       0.177395       0.278696                 NaN            NaN            NaN            NaN            NaN
  1366.40        2500.00                 NaN   99.2178                 NaN  0.101070       0.231353       0.174450       0.275377                 NaN            NaN            NaN            NaN            NaN
  1364.94        2500.00                 NaN   99.2273                 NaN  0.100041       0.171751       0.229022       0.271849                 NaN            NaN            NaN            NaN            NaN
  1363.49        2500.00                 NaN   99.2380                 NaN  0.991993E-001  0.168541       0.226186       0.268053                 NaN            NaN            NaN            NaN            NaN
  1362.04        2500.00                 NaN   99.2459                 NaN  0.983251E-001  0.166397       0.224110       0.265294                 NaN            NaN            NaN            NaN            NaN
  1360.58        2500.00                 NaN   99.2564                 NaN  0.978946E-001  0.163332       0.220599       0.261729                 NaN            NaN            NaN            NaN            NaN
  1359.13        2500.00                 NaN   99.2667                 NaN  0.951956E-001  0.163333       0.217514       0.257281                 NaN            NaN            NaN            NaN            NaN
  1357.67        2500.00                 NaN   99.2743                 NaN  0.952981E-001  0.159665       0.215779       0.254911                 NaN            NaN            NaN            NaN            NaN
  1356.22        2500.00                 NaN   99.5161                 NaN  0.152549       0.143076                 NaN  0.188245                 NaN            NaN            NaN            NaN            NaN
  1354.77        2500.00                 NaN   99.0558                 NaN  0.339261E-001  0.279269       0.318173       0.312881                 NaN            NaN            NaN            NaN            NaN
