|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1586.54        2500.00       0.121798E-001   99.4933       0.494506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00       0.980943E-003   99.1884       0.810578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN   99.1904       0.802411       0.716283E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00       0.125620E-002   99.2002       0.791211       0.731163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN   99.2037       0.754067       0.422093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.2078       0.751249       0.409985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00       0.171512E-001   98.6645        1.21349       0.104825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.8113       0.185116       0.356514E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN   99.2240       0.738498       0.375229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN   99.2262       0.737694       0.360742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00                 NaN   99.2308       0.733835       0.353506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN   99.2218       0.744230       0.339523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN   99.2476       0.719765       0.326645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN   99.2403       0.728106       0.316226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00                 NaN   97.9390        1.99637       0.645982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN   99.9757                 NaN  0.242726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN   99.8616       0.130776       0.762855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00                 NaN   99.2511       0.741371       0.757033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN   99.1116       0.681088       0.240792E-001  0.183280                 NaN            NaN            NaN            NaN            NaN            NaN
