|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1586.54        2500.00       0.190859E-001   99.4307       0.550251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00       0.153667E-002   99.0967       0.901723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN   99.0990       0.892708       0.824738E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00       0.196822E-002   99.1092       0.880361       0.842335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN   99.1122       0.839117       0.486374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.1167       0.836050       0.472458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00       0.268688E-001   98.5025        1.34981       0.120828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.7896       0.206262       0.411544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN   99.1344       0.822291       0.433008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN   99.1369       0.821493       0.416427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00                 NaN   99.1419       0.817322       0.408083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN   99.1318       0.828995       0.392191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN   99.1604       0.801878       0.377384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN   99.1523       0.811182       0.365479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00                 NaN   97.7062        2.21935       0.744580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN   99.9719                 NaN  0.281032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN   99.8453       0.145845       0.882918E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00                 NaN   99.1649       0.826321       0.875912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN   99.0110       0.758115       0.278337E-001  0.203016                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00                 NaN   99.2892       0.694439       0.163563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00                 NaN   99.1750       0.797324       0.276398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.1769       0.796744       0.263282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.1256       0.601074       0.239190E-001  0.249393                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00                 NaN   98.8693                 NaN  0.334034E-003   1.13039                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00       0.794343E-004   98.8194                 NaN            NaN   1.18052                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00       0.280893E-002   98.7430                 NaN  0.803475E-002  0.730501E-001   1.17307                 NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00       0.458322E-002   98.1190       0.333801       0.132614        1.41003                 NaN            NaN            NaN            NaN            NaN            NaN
