|6.6.6
Archiving\03_Data\DfracLP/QFM_m4.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.4935       0.492399       0.141485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.4829       0.502901       0.141503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.4724       0.513407       0.141521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.4620       0.523853       0.141538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.4515       0.534313       0.141556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.4534       0.532438       0.141556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.4307       0.555130       0.141591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.4203       0.565524       0.141608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.4100       0.575887       0.141626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.3996       0.586235       0.141643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.3893       0.596565       0.141661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.3790       0.606878       0.141678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.3687       0.617168       0.141695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.3584       0.627440       0.141713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.3481       0.637700       0.141730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.3379       0.647928       0.141747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.3277       0.658153       0.141765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.3175       0.668341       0.141782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.3073       0.678513       0.141799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.2971       0.688679       0.141816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.2870       0.698812       0.141834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.2769       0.708930       0.141851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.2668       0.719027       0.141868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.2567       0.729109       0.141885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.2466       0.739163       0.141902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.2366       0.749206       0.141919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.2266       0.759226       0.141936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.2166       0.769227       0.141953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.2066       0.779215       0.141970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.1966       0.789175       0.141987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.1867       0.799116       0.142004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.1768       0.809039       0.142021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.1669       0.818945       0.142038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.1570       0.828831       0.142055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.1471       0.838690       0.142072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.1373       0.848528       0.142089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.1274       0.858374       0.142105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        98.8661       0.863587       0.141246E-001  0.256215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.6053       0.244564E-002            NaN  0.392303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4525       0.440455E-004            NaN  0.547417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3224                 NaN            NaN  0.677633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.6290                 NaN            NaN  0.371009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4316       0.132908E-002            NaN  0.567121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        98.9037                 NaN            NaN   1.09634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.8876       0.662541E-003            NaN  0.111775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.7892       0.363380E-002            NaN  0.207188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3161                 NaN            NaN  0.683890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4798                 NaN            NaN  0.520193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4529       0.591975E-003            NaN  0.546498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5179                 NaN            NaN  0.482119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4878                 NaN            NaN  0.512172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4929                 NaN            NaN  0.507069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4380                 NaN            NaN  0.562042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.5881                 NaN            NaN  0.411847       0.607272E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4504                 NaN            NaN  0.537967       0.116503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4083                 NaN            NaN  0.578751       0.129643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.5828                 NaN            NaN  0.408733       0.845689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4971                 NaN            NaN  0.492165       0.107151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4988                 NaN            NaN  0.490496       0.106852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4957                 NaN            NaN  0.493553       0.107704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5065                 NaN            NaN  0.482978       0.104822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5049                 NaN            NaN  0.484535       0.105711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5053                 NaN            NaN  0.484177       0.105659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5075                 NaN            NaN  0.481944       0.105248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5090                 NaN            NaN  0.480539       0.104916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5096                 NaN            NaN  0.479938       0.104561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5111                 NaN            NaN  0.478432       0.104198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5113                 NaN            NaN  0.478254       0.104122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.5135                 NaN            NaN  0.476141       0.103475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5187                 NaN            NaN  0.471096       0.102321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5076                 NaN            NaN  0.481960       0.104528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5153                 NaN            NaN  0.474466       0.102727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5144                 NaN            NaN  0.475352       0.102600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5153                 NaN            NaN  0.474490       0.102408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5152                 NaN            NaN  0.474621       0.102137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5159                 NaN            NaN  0.473912       0.101752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
