|6.6.6
Archiving\03_Data\eq/QFM_m1.5/GRV/GRV_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.3207       0.679337                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3206       0.679409                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3205       0.679482                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.3204       0.679555                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.3204       0.679627                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.3203       0.679700                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.3202       0.679773                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.3202       0.679846                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.3201       0.679919                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3200       0.679992                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3199       0.680065                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3199       0.680138                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3198       0.680211                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3197       0.680284                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3196       0.680357                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3196       0.680430                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.3195       0.680504                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.3194       0.680577                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.3194       0.680650                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3193       0.680723                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3192       0.680797                 NaN            NaN            NaN            NaN            NaN
