|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q              hed           
  1410.26        500.000        99.8455                 NaN  0.649480E-001  0.895419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.23        500.000        99.4246                 NaN  0.346872       0.228556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.20        500.000        98.5336                 NaN  0.581114       0.882390       0.288118E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1407.18        500.000        99.9171                 NaN  0.497654E-001  0.331378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.15        500.000        99.8397                 NaN  0.634899E-001  0.968309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.12        500.000        99.9372                 NaN  0.368692E-001  0.253963E-001  0.494107E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1404.09        500.000        98.5030                 NaN  0.619970       0.670912                 NaN  0.206157                 NaN            NaN            NaN            NaN            NaN
  1403.06        500.000        98.6820                 NaN  0.565959       0.402152                 NaN  0.349913                 NaN            NaN            NaN            NaN            NaN
  1402.03        500.000        98.6966                 NaN  0.397697       0.559883                 NaN  0.345778                 NaN            NaN            NaN            NaN            NaN
  1401.01        500.000        98.7107                 NaN  0.554246       0.393051                 NaN  0.342049                 NaN            NaN            NaN            NaN            NaN
  1399.98        500.000        98.7270                 NaN  0.547098       0.388423                 NaN  0.337512                 NaN            NaN            NaN            NaN            NaN
  1398.95        500.000        98.7359                 NaN  0.542941       0.386057                 NaN  0.335114                 NaN            NaN            NaN            NaN            NaN
  1397.92        500.000        98.7573                 NaN  0.534624       0.379270                 NaN  0.328829                 NaN            NaN            NaN            NaN            NaN
  1396.89        500.000        98.7668                 NaN  0.531070       0.375824                 NaN  0.326352                 NaN            NaN            NaN            NaN            NaN
  1395.86        500.000        98.7811                 NaN  0.371533       0.524837                 NaN  0.322501                 NaN            NaN            NaN            NaN            NaN
  1394.84        500.000        98.7922                 NaN  0.520336       0.368039                 NaN  0.319393                 NaN            NaN            NaN            NaN            NaN
  1393.81        500.000        98.7546                 NaN  0.515181       0.383013                 NaN  0.331495       0.157349E-001            NaN            NaN            NaN            NaN
  1392.78        500.000        98.8693                 NaN  0.348800       0.460517                 NaN  0.301653       0.197009E-001            NaN            NaN            NaN            NaN
