|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q              hed           
  1410.26        500.000        99.8694                 NaN  0.553328E-001  0.752626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.23        500.000        99.5123                 NaN  0.295610       0.192129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.20        500.000        98.7577                 NaN  0.488649       0.751805       0.183825E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1407.18        500.000        99.9299                 NaN  0.423383E-001  0.278064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.15        500.000        99.8644                 NaN  0.532441E-001  0.823506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.12        500.000        99.9470                 NaN  0.313462E-001  0.212880E-001  0.315826E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1404.09        500.000        98.6950                 NaN  0.520299       0.571150                 NaN  0.213581                 NaN            NaN            NaN            NaN            NaN
  1403.06        500.000        98.8214                 NaN  0.474368       0.341980                 NaN  0.362241                 NaN            NaN            NaN            NaN            NaN
  1402.03        500.000        98.8352                 NaN  0.337988       0.468936                 NaN  0.357879                 NaN            NaN            NaN            NaN            NaN
  1401.01        500.000        98.8483                 NaN  0.463865       0.333864                 NaN  0.353936                 NaN            NaN            NaN            NaN            NaN
  1399.98        500.000        98.8635                 NaN  0.457583       0.329736                 NaN  0.349158                 NaN            NaN            NaN            NaN            NaN
  1398.95        500.000        98.8721                 NaN  0.453779       0.327538                 NaN  0.346596                 NaN            NaN            NaN            NaN            NaN
  1397.92        500.000        98.8919                 NaN  0.446480       0.321599                 NaN  0.340011                 NaN            NaN            NaN            NaN            NaN
  1396.89        500.000        98.9010                 NaN  0.443172       0.318480                 NaN  0.337368                 NaN            NaN            NaN            NaN            NaN
  1395.86        500.000        98.9144                 NaN  0.314656       0.437662                 NaN  0.333304                 NaN            NaN            NaN            NaN            NaN
  1394.84        500.000        98.9249                 NaN  0.433606       0.311506                 NaN  0.330009                 NaN            NaN            NaN            NaN            NaN
  1393.81        500.000        98.8923                 NaN  0.428985       0.324030                 NaN  0.342437       0.122350E-001            NaN            NaN            NaN            NaN
  1392.78        500.000        98.9952                 NaN  0.294857       0.383117                 NaN  0.311492       0.152940E-001            NaN            NaN            NaN            NaN
  1391.75        500.000        98.9645                 NaN  0.324794       0.277941                 NaN  0.337429       0.953322E-001            NaN            NaN            NaN            NaN
  1390.72        500.000        98.9751                 NaN  0.321495       0.276611                 NaN  0.333679       0.931093E-001            NaN            NaN            NaN            NaN
  1389.70        500.000        98.9865                 NaN  0.320183       0.262406                 NaN  0.331490       0.993749E-001            NaN            NaN            NaN            NaN
  1388.67        500.000        98.9981                 NaN  0.316148       0.261693                 NaN  0.327269       0.968021E-001            NaN            NaN            NaN            NaN
  1387.64        500.000        99.0081                 NaN  0.313020       0.260442                 NaN  0.323721       0.947341E-001            NaN            NaN            NaN            NaN
  1386.61        500.000        99.0185                 NaN  0.247472       0.311601                 NaN  0.321821       0.100608                 NaN            NaN            NaN            NaN
  1385.58        500.000        98.9142                 NaN  0.344678       0.275579                 NaN  0.355685       0.109871                 NaN            NaN            NaN            NaN
  1384.55        500.000        99.1559                 NaN  0.268683       0.211627                 NaN  0.276719       0.871075E-001            NaN            NaN            NaN            NaN
  1383.53        500.000        99.0515                 NaN  0.236067       0.302208                 NaN  0.311124       0.991036E-001            NaN            NaN            NaN            NaN
  1382.50        500.000        99.0609                 NaN  0.299605       0.231835                 NaN  0.308182       0.994607E-001            NaN            NaN            NaN            NaN
  1381.47        500.000        99.0704                 NaN  0.226921       0.297197                 NaN  0.305456       0.100074                 NaN            NaN            NaN            NaN
  1380.44        500.000        99.0795                 NaN  0.294987       0.222054                 NaN  0.302796       0.100687                 NaN            NaN            NaN            NaN
  1379.41        500.000        99.0868                 NaN  0.293515       0.217722                 NaN  0.300608       0.101381                 NaN            NaN            NaN            NaN
  1378.39        500.000        99.1021                 NaN  0.212641       0.288766                 NaN  0.295602       0.100865                 NaN            NaN            NaN            NaN
  1377.36        500.000        99.1108                 NaN  0.208386       0.286551                 NaN  0.292988       0.101240                 NaN            NaN            NaN            NaN
  1376.33        500.000        99.1170                 NaN  0.285385       0.203736                 NaN  0.291393       0.102494                 NaN            NaN            NaN            NaN
  1375.30        500.000        99.0912                 NaN  0.296035       0.160465                 NaN  0.314422       0.137916                 NaN            NaN            NaN            NaN
  1374.27        500.000        99.1657                 NaN  0.235597       0.269045                 NaN  0.261416       0.682880E-001            NaN            NaN            NaN            NaN
  1373.24        500.000        99.1489                 NaN  0.191934       0.276954                 NaN  0.280705       0.101469                 NaN            NaN            NaN            NaN
  1372.22        500.000        99.1503                 NaN  0.276417       0.187870                 NaN  0.281408       0.104005                 NaN            NaN            NaN            NaN
  1371.19        500.000        99.1611                 NaN  0.182978       0.274327                 NaN  0.277825       0.103809                 NaN            NaN            NaN            NaN
  1370.16        500.000        99.1704                 NaN  0.271331       0.180089                 NaN  0.274699       0.103459                 NaN            NaN            NaN            NaN
  1369.13        500.000        99.1774                 NaN  0.175467       0.269928                 NaN  0.272791       0.104458                 NaN            NaN            NaN            NaN
  1368.10        500.000        99.1857                 NaN  0.171693       0.267579                 NaN  0.270238       0.104797                 NaN            NaN            NaN            NaN
  1367.07        500.000        99.1931                 NaN  0.265917       0.167976                 NaN  0.267974       0.105045                 NaN            NaN            NaN            NaN
  1366.05        500.000        99.2005                 NaN  0.164530       0.263787                 NaN  0.265683       0.105458                 NaN            NaN            NaN            NaN
  1365.02        500.000        99.2077                 NaN  0.161111       0.262037                 NaN  0.263517       0.105646                 NaN            NaN            NaN            NaN
  1363.99        500.000        99.2168                 NaN  0.259704       0.157279                 NaN  0.260563       0.105697                 NaN            NaN            NaN            NaN
  1362.96        500.000        99.2232                 NaN  0.153547       0.258206                 NaN  0.258720       0.106303                 NaN            NaN            NaN            NaN
  1361.93        500.000        99.2311                 NaN  0.256100       0.150398                 NaN  0.256190       0.106196                 NaN            NaN            NaN            NaN
  1360.91        500.000        99.2373                 NaN  0.254782       0.146800                 NaN  0.254398       0.106715                 NaN            NaN            NaN            NaN
  1359.88        500.000        99.2448                 NaN  0.143572       0.252743                 NaN  0.252046       0.106832                 NaN            NaN            NaN            NaN
  1358.85        500.000        99.2518                 NaN  0.250835       0.140807                 NaN  0.249676       0.106840                 NaN            NaN            NaN            NaN
  1357.82        500.000        99.2561                 NaN  0.249413       0.137890                 NaN  0.248838       0.107780                 NaN            NaN            NaN            NaN
  1356.79        500.000        99.2681                 NaN  0.134165       0.246513                 NaN  0.244417       0.106759                 NaN            NaN            NaN            NaN
  1355.76        500.000        99.2727                 NaN  0.131293       0.245618                 NaN  0.243130       0.107246                 NaN            NaN            NaN            NaN
  1354.74        500.000        99.2786                 NaN  0.244087       0.128327                 NaN  0.241353       0.107602                 NaN            NaN            NaN            NaN
  1353.71        500.000        99.2845                 NaN  0.242701       0.124968                 NaN  0.239674       0.108137                 NaN            NaN            NaN            NaN
  1352.68        500.000        99.2922                 NaN  0.122986       0.240451                 NaN  0.236954       0.107386                 NaN            NaN            NaN            NaN
  1351.65        500.000        99.2962                 NaN  0.120415       0.239764                 NaN  0.235774       0.107889                 NaN            NaN            NaN            NaN
  1350.62        500.000        99.3044                 NaN  0.237762       0.116600                 NaN  0.233288       0.107912                 NaN            NaN            NaN            NaN
  1349.59        500.000        99.3097                 NaN  0.236392       0.114315                 NaN  0.231474       0.108112                 NaN            NaN            NaN            NaN
  1348.57        500.000        99.3163                 NaN  0.112522       0.234292                 NaN  0.229246       0.107595                 NaN            NaN            NaN            NaN
  1347.54        500.000        99.3194                 NaN  0.235229       0.107427                 NaN  0.228556       0.109353                 NaN            NaN            NaN            NaN
  1346.51        500.000        99.3290                 NaN  0.108810       0.230634                 NaN  0.224919       0.106642                 NaN            NaN            NaN            NaN
  1345.48        500.000        99.3333                 NaN  0.104728       0.230074                 NaN  0.223957       0.107963                 NaN            NaN            NaN            NaN
  1344.45        500.000        99.3396                 NaN  0.228321       0.102085                 NaN  0.221945       0.108069                 NaN            NaN            NaN            NaN
  1343.43        500.000        99.3446                 NaN  0.100220       0.227141                 NaN  0.220245       0.107784                 NaN            NaN            NaN            NaN
  1342.40        500.000        99.3506                 NaN  0.225557       0.978381E-001            NaN  0.218302       0.107680                 NaN            NaN            NaN            NaN
  1341.37        500.000        99.3556                 NaN  0.224107       0.955832E-001            NaN  0.216788       0.107947                 NaN            NaN            NaN            NaN
  1340.34        500.000        99.3615                 NaN  0.936528E-001  0.222880                 NaN  0.214682       0.107322                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.3654                 NaN  0.221760       0.915155E-001            NaN  0.213588       0.107736                 NaN            NaN            NaN            NaN
  1338.28        500.000        99.3729                 NaN  0.219730       0.896088E-001            NaN  0.210923       0.106886                 NaN            NaN            NaN            NaN
  1337.26        500.000        99.3748                 NaN  0.219718       0.869147E-001            NaN  0.210587       0.108000                 NaN            NaN            NaN            NaN
  1336.23        500.000        99.3838                 NaN  0.216390       0.868096E-001            NaN  0.207138       0.105863                 NaN            NaN            NaN            NaN
  1335.20        500.000        99.3857                 NaN  0.843550E-001  0.216228                 NaN  0.206850       0.106910                 NaN            NaN            NaN            NaN
  1334.17        500.000        99.3927                 NaN  0.213993       0.832246E-001            NaN  0.204302       0.105757                 NaN            NaN            NaN            NaN
  1333.14        500.000        99.3968                 NaN  0.213184       0.809885E-001            NaN  0.203072       0.105997                 NaN            NaN            NaN            NaN
  1332.12        500.000        99.4020                 NaN  0.788520E-001  0.211897                 NaN  0.201383       0.105850                 NaN            NaN            NaN            NaN
  1331.09        500.000        99.4066                 NaN  0.210839       0.771788E-001            NaN  0.199777       0.105590                 NaN            NaN            NaN            NaN
  1330.06        500.000        99.4111                 NaN  0.209436       0.761951E-001            NaN  0.198298       0.104964                 NaN            NaN            NaN            NaN
  1329.03        500.000        99.4161                 NaN  0.741612E-001  0.208232                 NaN  0.196553       0.104910                 NaN            NaN            NaN            NaN
  1328.00        500.000        99.4206                 NaN  0.732276E-001  0.206818                 NaN  0.195014       0.104311                 NaN            NaN            NaN            NaN
