|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.25/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc             hed           
  1618.59        2500.00        99.5988       0.399621       0.160217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.0562       0.909549       0.342570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00        99.0578       0.834527       0.107692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.0650       0.828433       0.106558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00        99.0746       0.819849       0.105595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.0838       0.812860       0.103302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00        99.0933       0.804432       0.102236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.1022       0.797058       0.100777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00        99.1110       0.789340       0.996269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.7258       0.247323       0.268432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        98.5242        1.30913       0.166712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00        98.2163        1.60429       0.179426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00        99.9996                 NaN  0.392906E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00        99.2120       0.699124       0.888725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00        99.1634       0.744830       0.917659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.1676       0.741792       0.906037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00        99.1781       0.732682       0.892271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.1839       0.728160       0.879492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.68        2500.00        98.8888       0.993777       0.117379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00        99.5005       0.446599       0.528563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00        99.2059       0.709687       0.844577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.2112       0.705902       0.828803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00        99.2230       0.694868       0.820913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00        99.2282       0.690465       0.812950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00        99.2305       0.689727       0.797733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.2427       0.679042       0.782858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.28        2500.00        99.2465       0.676033       0.774478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.2538       0.669712       0.765291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00        99.2548       0.669753       0.754724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.2697       0.657468       0.728028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00        99.2712       0.656217       0.725580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.2778       0.650828       0.713294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00        99.2832       0.646076       0.706956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        98.8010        1.06742       0.131550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00        99.7905       0.201045       0.849324E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00        99.2990       0.632591       0.683811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00        99.3105       0.622599       0.669424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.3119       0.622051       0.660966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.6456       0.222292       0.132104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00        98.9881       0.919482       0.924639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.1922       0.799118       0.868189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.4813       0.497370       0.213394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.3328       0.592207       0.749886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.3430       0.616849       0.401068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.3475       0.595438       0.571022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.3521       0.591941       0.559547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.3557       0.589104       0.551839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.3619       0.582923       0.551633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.3584       0.586270       0.553580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.3777       0.570253       0.520641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.9408                 NaN  0.592423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        98.8140        1.14516       0.408521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.3826       0.565513       0.518871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.3861       0.566009       0.478930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.6680       0.308744       0.232444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.1124       0.817301       0.702594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.4016       0.552305       0.460579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.6755       0.299285       0.252112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.1338       0.802883       0.633425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4092       0.548605       0.422323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4133       0.545288       0.414053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.4073       0.516424       0.370907E-001  0.392291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.2385                 NaN  0.353605E-001  0.726155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.2296                 NaN  0.160315E-001  0.754385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.0598                 NaN            NaN  0.940173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.6167                 NaN            NaN  0.383263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.0159                 NaN  0.769241E-001  0.907196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.2171                 NaN            NaN  0.782906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.2170                 NaN            NaN  0.783028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.2661                 NaN            NaN  0.733909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.1414                 NaN            NaN  0.858623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.1922                 NaN            NaN  0.807774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.1774                 NaN            NaN  0.822589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        98.9141                 NaN            NaN  0.629316       0.456568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.7086                 NaN            NaN  0.462233       0.829161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.7221                 NaN            NaN  0.455726       0.822176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
